,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ma_20,ma_20_lower,ma_20_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-09-10 23:00:00,0.6538759126858116,0.6611847720586099,0.6702601466813654,0.6538759126858116,0.6538759126858116,0.01163557941477782,0.01163557941477782,0.01163557941477782,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.001510104824356845,-0.001510104824356845,-0.001510104824356845,0.01259889455480355,0.01259889455480355,0.01259889455480355,0.0,0.0,0.0,0.6655114921005894
1,2024-09-11 23:00:00,0.6538241492940973,0.6622796470160922,0.6715135409169803,0.6538241492940973,0.6538241492940973,0.01321424655942608,0.01321424655942608,0.01321424655942608,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.0020417950976712265,-0.0020417950976712265,-0.0020417950976712265,0.014709251972766194,0.014709251972766194,0.014709251972766194,0.0,0.0,0.0,0.6670383958535233
2,2024-09-12 23:00:00,0.6537723859023831,0.6653037328231008,0.6744896702593048,0.6537723859023831,0.6537723859023831,0.015939793680937266,0.015939793680937266,0.015939793680937266,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.0013831321895082928,-0.0013831321895082928,-0.0013831321895082928,0.016776136186114444,0.016776136186114444,0.016776136186114444,0.0,0.0,0.0,0.6697121795833203
3,2024-09-15 23:00:00,0.6536170957272402,0.6704534796534737,0.6798088785420083,0.6536170957272402,0.6536170957272402,0.021543535876047504,0.021543535876047504,0.021543535876047504,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.0014359282171873067,-0.0014359282171873067,-0.0014359282171873067,0.022432674408903695,0.022432674408903695,0.022432674408903695,0.0,0.0,0.0,0.6751606316032878
4,2024-09-16 23:00:00,0.653565332335526,0.6723889140023507,0.6812584409664659,0.653565332335526,0.653565332335526,0.023146098964780856,0.023146098964780856,0.023146098964780856,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.0014558164244980571,-0.0014558164244980571,-0.0014558164244980571,0.0240551257049478,0.0240551257049478,0.0240551257049478,0.0,0.0,0.0,0.6767114313003069
5,2024-09-17 23:00:00,0.6535135689438117,0.6732496769046783,0.6830716683591929,0.6535135689438117,0.6535135689438117,0.024549949115599958,0.024549949115599958,0.024549949115599958,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.0015101048243599078,-0.0015101048243599078,-0.0015101048243599078,0.02551326425562875,0.02551326425562875,0.02551326425562875,0.0,0.0,0.0,0.6780635180594117
6,2024-09-18 23:00:00,0.6534618055520975,0.6736564415400116,0.6832287661074727,0.6534618055520975,0.6534618055520975,0.025298029630830457,0.025298029630830457,0.025298029630830457,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.0020417950976586675,-0.0020417950976586675,-0.0020417950976586675,0.026793035044158007,0.026793035044158007,0.026793035044158007,0.0,0.0,0.0,0.678759835182928
7,2024-09-19 23:00:00,0.6534100421603833,0.6762490620857322,0.685166322328431,0.6534100421603833,0.6534100421603833,0.02704812023621899,0.02704812023621899,0.02704812023621899,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.0013831321894890447,-0.0013831321894890447,-0.0013831321894890447,0.02788446274137692,0.02788446274137692,0.02788446274137692,0.0,0.0,0.0,0.6804581623966023
8,2024-09-22 23:00:00,0.6532547519852405,0.6776195911644216,0.6875454423986034,0.6532547519852405,0.6532547519852405,0.02910241095097244,0.02910241095097244,0.02910241095097244,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.0014359282171627586,-0.0014359282171627586,-0.0014359282171627586,0.029991549483804086,0.029991549483804086,0.029991549483804086,0.0,0.0,0.0,0.682357162936213
9,2024-09-23 23:00:00,0.6532029885935263,0.6779119044909231,0.6878055246797583,0.6532029885935263,0.6532029885935263,0.02940381237062417,0.02940381237062417,0.02940381237062417,0.0005467896843311138,0.0005467896843311138,0.0005467896843311138,0.0001940729710190743,0.0001940729710190743,0.0001940729710190743,0.00035271671331203947,0.00035271671331203947,0.00035271671331203947,0.0,0.0,0.0,-0.001455816424486151,-0.001455816424486151,-0.001455816424486151,0.030312839110779206,0.030312839110779206,0.030312839110779206,0.0,0.0,0.0,0.6826068009641505
