ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hour_sin,hour_sin_lower,hour_sin_upper,market_session,market_session_lower,market_session_upper,momentum_lag_10,momentum_lag_10_lower,momentum_lag_10_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,returns_lag_1,returns_lag_1_lower,returns_lag_1_upper,returns_lag_2,returns_lag_2_lower,returns_lag_2_upper,volatility_lag_20,volatility_lag_20_lower,volatility_lag_20_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,0.6445305331513882,0.6426228680172005,0.6444473178216736,0.6445305331513882,0.6445305331513882,-0.00010281528168275749,-0.00010281528168275749,-0.00010281528168275749,9.088724767840837e-05,9.088724767840837e-05,9.088724767840837e-05,-7.361969430459932e-05,-7.361969430459932e-05,-7.361969430459932e-05,-0.00010666944849288492,-0.00010666944849288492,-0.00010666944849288492,-0.0016312579498355582,-0.0016312579498355582,-0.0016312579498355582,-2.9458290466062205e-05,-2.9458290466062205e-05,-2.9458290466062205e-05,-1.2408685070629745e-05,-1.2408685070629745e-05,-1.2408685070629745e-05,2.845358897301033e-05,2.845358897301033e-05,2.845358897301033e-05,-0.001528442668152801,-0.001528442668152801,-0.001528442668152801,0.0,0.0,0.0,0.6434791375952733
2025-08-20 23:00:00,0.6445800489398253,0.6423290903631842,0.6441184652403608,0.6445800489398253,0.6445800489398253,-0.0004917966153056134,-0.0004917966153056134,-0.0004917966153056134,4.91753068805322e-05,4.91753068805322e-05,4.91753068805322e-05,-7.361969430459932e-05,-7.361969430459932e-05,-7.361969430459932e-05,-0.00047746698362845973,-0.00047746698362845973,-0.00047746698362845973,-0.00217946768539093,-0.00217946768539093,-0.00217946768539093,2.357068360307799e-05,2.357068360307799e-05,2.357068360307799e-05,-2.2476617067920422e-05,-2.2476617067920422e-05,-2.2476617067920422e-05,9.02068921175583e-06,9.02068921175583e-06,9.02068921175583e-06,-0.001687671070085316,-0.001687671070085316,-0.001687671070085316,0.0,0.0,0.0,0.6431752075525133
2025-08-21 00:00:00,0.6446295647282625,0.6428685114708963,0.6444748939411503,0.6446295647282625,0.6446295647282625,0.00014549534108478765,0.00014549534108478765,0.00014549534108478765,4.4128807127267e-06,4.4128807127267e-06,4.4128807127267e-06,-1.8590208041681545e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,0.00011152786416316906,0.00011152786416316906,0.00011152786416316906,-0.001713144658905409,-0.001713144658905409,-0.001713144658905409,2.356300407024912e-05,2.356300407024912e-05,2.356300407024912e-05,1.7797055284762505e-05,1.7797055284762505e-05,1.7797055284762505e-05,6.784744895561816e-06,6.784744895561816e-06,6.784744895561816e-06,-0.0018586399999901966,-0.0018586399999901966,-0.0018586399999901966,0.0,0.0,0.0,0.6435252210324758
2025-08-21 01:00:00,0.6446790805166998,0.6422151005451009,0.6438720715809995,0.6446790805166998,0.6446790805166998,-0.000546982902814351,-0.000546982902814351,-0.000546982902814351,-4.034954545507865e-05,-4.034954545507865e-05,-4.034954545507865e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,-0.0002309224147593265,-0.0002309224147593265,-0.0002309224147593265,-0.002586524965520185,-0.002586524965520185,-0.002586524965520185,-0.0002677863628881488,-0.0002677863628881488,-0.0002677863628881488,1.7791222945095358e-05,1.7791222945095358e-05,1.7791222945095358e-05,-7.125594615210822e-06,-7.125594615210822e-06,-7.125594615210822e-06,-0.0020395420627058337,-0.0020395420627058337,-0.0020395420627058337,0.0,0.0,0.0,0.6430116019801947
2025-08-21 02:00:00,0.644728596305137,0.6422533229507825,0.6439875140456311,0.644728596305137,0.644728596305137,-0.00019463453744945683,-0.00019463453744945683,-0.00019463453744945683,-8.206148625295488e-05,-8.206148625295488e-05,-8.206148625295488e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,2.0094780304185555e-06,2.0094780304185555e-06,2.0094780304185555e-06,-0.0024229738535705347,-0.0024229738535705347,-0.0024229738535705347,0.00011631196437374262,0.00011631196437374262,0.00011631196437374262,-0.0002034785479870269,-0.0002034785479870269,-0.0002034785479870269,-8.825737571954699e-06,-8.825737571954699e-06,-8.825737571954699e-06,-0.0022283393161210783,-0.0022283393161210783,-0.0022283393161210783,0.0,0.0,0.0,0.6431664357736404
2025-08-21 03:00:00,0.6447781120935742,0.6417032876789603,0.6433302251252605,0.6447781120935742,0.6447781120935742,-0.001079867454105683,-0.001079867454105683,-0.001079867454105683,-0.00011788034184776814,-0.00011788034184776814,-0.00011788034184776814,-1.8590208041681545e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,-0.0006415209424517067,-0.0006415209424517067,-0.0006415209424517067,-0.0035026584632468667,-0.0035026584632468667,-0.0035026584632468667,-0.0003997309335861637,-0.0003997309335861637,-0.0003997309335861637,8.823085154218425e-05,8.823085154218425e-05,8.823085154218425e-05,9.624120279452915e-06,9.624120279452915e-06,9.624120279452915e-06,-0.0024227910091411836,-0.0024227910091411836,-0.0024227910091411836,0.0,0.0,0.0,0.6425196745823333
2025-08-21 04:00:00,0.6448276278820114,0.6414422453616276,0.643180599814251,0.6448276278820114,0.6448276278820114,-0.001117020811990615,-0.001117020811990615,-0.001117020811990615,-0.00014536511642418955,-0.00014536511642418955,-0.00014536511642418955,-1.8590208041681545e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,-0.0007103071166382064,-0.0007103071166382064,-0.0007103071166382064,-0.003737505143032712,-0.003737505143032712,-0.003737505143032712,4.993537016918718e-05,4.993537016918718e-05,4.993537016918718e-05,-0.0003036858875082273,-0.0003036858875082273,-0.0003036858875082273,1.099214645250282e-05,1.099214645250282e-05,1.099214645250282e-05,-0.0026204843310420976,-0.0026204843310420976,-0.0026204843310420976,0.0,0.0,0.0,0.6424175813064328
2025-08-21 05:00:00,0.6448771436704487,0.6417719630833055,0.6434885702201428,0.6448771436704487,0.6448771436704487,-0.0007670538745489166,-0.0007670538745489166,-0.0007670538745489166,-0.0001626427680155735,-0.0001626427680155735,-0.0001626427680155735,-1.8590208041681545e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,-0.0005457187636840231,-0.0005457187636840231,-0.0005457187636840231,-0.003585921641770425,-0.003585921641770425,-0.003585921641770425,-8.231751141589256e-05,-8.231751141589256e-05,-8.231751141589256e-05,3.7820123184591454e-05,3.7820123184591454e-05,3.7820123184591454e-05,4.3952534236627484e-06,4.3952534236627484e-06,4.3952534236627484e-06,-0.0028188677672215086,-0.0028188677672215086,-0.0028188677672215086,0.0,0.0,0.0,0.6425646647646778
2025-08-21 06:00:00,0.6449266594588859,0.6419111327929035,0.6432856919740296,0.6449266594588859,0.6449266594588859,-0.00047996407590525055,-0.00047996407590525055,-0.00047996407590525055,-0.0001685358532186365,-0.0001685358532186365,-0.0001685358532186365,-1.8590208041681545e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,-0.0004088516781920472,-0.0004088516781920472,-0.0004088516781920472,-0.003495250696154857,-0.003495250696154857,-0.003495250696154857,0.00016911587635458125,0.00016911587635458125,0.00016911587635458125,-6.262136779562495e-05,-6.262136779562495e-05,-6.262136779562495e-05,9.519154988158358e-06,9.519154988158358e-06,9.519154988158358e-06,-0.003015286620249606,-0.003015286620249606,-0.003015286620249606,0.0,0.0,0.0,0.6426724791034435
2025-08-21 07:00:00,0.6449761752473231,0.6417898086612946,0.6431449860665468,0.6449761752473231,0.6449761752473231,-0.0007095794822027139,-0.0007095794822027139,-0.0007095794822027139,-0.0001626427680155735,-0.0001626427680155735,-0.0001626427680155735,-1.8590208041681545e-05,-1.8590208041681545e-05,-1.8590208041681545e-05,-0.0005320209486563095,-0.0005320209486563095,-0.0005320209486563095,-0.003916599707940017,-0.003916599707940017,-0.003916599707940017,-0.00013527504448094995,-0.00013527504448094995,-0.00013527504448094995,0.00012833359702022217,0.00012833359702022217,0.00012833359702022217,1.061588997157837e-05,1.061588997157837e-05,1.061588997157837e-05,-0.0032070202257373035,-0.0032070202257373035,-0.0032070202257373035,0.0,0.0,0.0,0.6424500617477211
