"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2007-01-03",76.9166574192011,77.882270941031,76.1884898453622,76.9878888291389,9196800,97.269997
"2007-01-04",76.9720614737323,78.1909506734192,76.6792114712101,77.8110355736607,10524500,98.309998
"2007-01-05",77.2490817463884,77.5261020190445,76.7029560660092,77.1066125946209,7221300,97.419998
"2007-01-08",77.9614195903613,78.7529060836644,77.8426966163658,78.2780157706555,10340000,98.900002
"2007-01-09",78.4204817564771,79.4098398731061,78.4125668915441,79.2040533848472,11108200,100.07
"2007-01-10",77.9614195903613,78.396737161678,77.5102722891785,78.270098531263,8744800,98.889999
"2007-01-11",78.3571628370129,79.0695006809857,77.9614195903613,78.0801441473297,8000700,98.650002
"2007-01-12",78.3492479720798,78.903288517392,77.9614195903613,78.62626507879,6636500,99.339996
"2007-01-16",78.6737574343341,79.8134979846907,78.5946087850038,79.7976682548246,9602200,100.82
"2007-01-17",79.6947750106952,79.8609871742889,79.0695006809857,79.1644766857226,8200700,100.019997
"2007-01-18",78.9903520316554,79.1090750056509,78.2859290526156,78.7133293845398,14636100,99.449997
"2007-01-19",75.1912168638002,76.655466876411,74.8350479418138,76.1172544779919,26035800,96.169998
"2007-01-22",76.3151276842907,76.9562317438663,76.0776817362998,76.8612541561564,13539300,97.110001
"2007-01-23",76.7029560660092,77.0749547178617,76.141000655764,76.8375103528438,10337400,97.080002
"2007-01-24",76.8375087698708,77.2332520165224,76.4417655232192,77.0907860307008,5700000,97.400002
"2007-01-25",76.9483168789332,77.5023574242454,76.9483168789332,77.1778495449641,6201300,97.510002
"2007-01-26",77.1857628269242,77.4311236398482,76.647552011478,77.1303563979335,5771100,97.449997
"2007-01-29",77.3282303957187,78.0880574292898,77.130358772393,77.9930798415799,7294800,98.540001
"2007-01-30",78.0168236448925,78.7133317589993,77.9614195903613,78.6500152139945,7177900,99.370003
"2007-01-31",78.1988655383522,78.7370763537984,77.8426966163658,78.4758873939813,6432600,99.150002
"2007-02-01",78.3334182422138,78.4996304058074,77.5340168839776,78.3571628370129,6610700,99
"2007-02-02",78.4363114863432,78.9349479771242,78.2621844578165,78.4917139579014,6656300,99.169998
"2007-02-05",78.4917155408744,79.4969033873694,78.2780141876825,79.4494118233117,8184800,100.379997
"2007-02-06",79.148649330316,79.4652439276373,78.7845655433966,79.0299247733475,6532800,99.849998
"2007-02-07",79.2283942826406,79.672962426912,78.6885615360254,79.0219884381006,7698200,99.540001
"2007-02-08",78.5139097650617,79.1807619814687,78.315441843512,79.0854997607399,6152200,99.620003
"2007-02-09",79.006110210505,79.1490071140207,77.648589627105,78.2360570565072,6100400,98.550003
"2007-02-12",78.4345225964418,78.7520712709213,77.9740770184465,78.2598724132215,5331000,98.580002
"2007-02-13",78.275748259202,78.3868902952699,77.640650910243,78.0296488303521,5702800,98.290001
"2007-02-14",78.1963610905822,78.9346617587471,77.9978931690325,78.7520688893063,5644800,99.199997
"2007-02-15",78.6409292348535,79.006110210505,78.1804836568582,78.5297856110423,5568600,98.919998
"2007-02-16",78.6885615360254,78.7917648552313,78.299564409788,78.5853566290762,4800700,98.989998
"2007-02-20",78.323380560374,78.958477909333,78.2360546748921,78.8711504361078,4124200,99.349998
