Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,PairCode,BaseCurrency,QuoteCurrency,Category,IsCommodityLinked,IsSafeHaven
2025-06-10 00:00:00+01:00,144.5399932861328,145.28799438476562,144.41000366210938,144.5399932861328,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-11 00:00:00+01:00,144.83799743652344,145.41299438476562,144.3769989013672,144.83799743652344,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-12 00:00:00+01:00,144.2030029296875,144.3249969482422,143.20599365234375,144.2030029296875,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-13 00:00:00+01:00,143.19400024414062,144.46400451660156,142.81700134277344,143.19400024414062,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-16 00:00:00+01:00,144.09100341796875,144.5709991455078,143.66000366210938,144.09100341796875,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-17 00:00:00+01:00,144.72900390625,145.26300048828125,144.41400146484375,144.72900390625,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-18 00:00:00+01:00,145.37600708007812,145.43800354003906,144.5500030517578,145.37600708007812,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-19 00:00:00+01:00,144.9550018310547,145.76499938964844,144.7480010986328,144.9550018310547,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-20 00:00:00+01:00,145.21800231933594,145.9530029296875,145.14700317382812,145.21800231933594,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-23 00:00:00+01:00,146.2239990234375,148.0019989013672,146.14100646972656,146.2239990234375,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-24 00:00:00+01:00,145.92799377441406,145.8990020751953,144.5260009765625,145.92799377441406,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-25 00:00:00+01:00,144.95700073242188,145.94900512695312,144.6280059814453,144.95700073242188,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-26 00:00:00+01:00,144.9040069580078,144.93499755859375,143.77099609375,144.9040069580078,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-27 00:00:00+01:00,144.69400024414062,144.93099975585938,144.1959991455078,144.69400024414062,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-06-30 00:00:00+01:00,144.51699829101562,144.7259979248047,143.79800415039062,144.51699829101562,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-01 00:00:00+01:00,143.8000030517578,143.9239959716797,142.69500732421875,143.8000030517578,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-02 00:00:00+01:00,143.40199279785156,144.2209930419922,143.375,143.40199279785156,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-03 00:00:00+01:00,143.5260009765625,145.21600341796875,143.4550018310547,143.5260009765625,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-04 00:00:00+01:00,144.6820068359375,144.77999877929688,144.1929931640625,144.6820068359375,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-07 00:00:00+01:00,144.4980010986328,145.88800048828125,144.23399353027344,144.4980010986328,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-08 00:00:00+01:00,145.89199829101562,146.96400451660156,145.85000610351562,145.89199829101562,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-09 00:00:00+01:00,146.8489990234375,147.1719970703125,146.27099609375,146.8489990234375,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-10 00:00:00+01:00,146.11399841308594,146.76300048828125,145.76499938964844,146.11399841308594,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-11 00:00:00+01:00,146.28799438476562,147.49200439453125,146.26199340820312,146.28799438476562,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-14 00:00:00+01:00,147.2949981689453,147.70799255371094,146.88099670410156,147.2949981689453,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-15 00:00:00+01:00,147.79200744628906,149.01300048828125,147.552001953125,147.79200744628906,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
2025-07-16 00:00:00+01:00,148.76100158691406,149.16700744628906,146.9669952392578,148.76100158691406,0,0.0,0.0,USDJPY=X,USDJPY,USD,JPY,major,False,True
