,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2024-09-10 23:00:00,0.9276124804258347,1.3574542385524078,1.3619183773539412,0.9276124804258347,0.9276124804258347,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590035005755,0.5146590035005755,0.5146590035005755,-0.000932472768542002,-0.000932472768542002,-0.000932472768542002,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.000695770024811724,-0.000695770024811724,-0.000695770024811724,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,3.865571979664469e-05,3.865571979664469e-05,3.865571979664469e-05,0.4657322934881495,0.4657322934881495,0.4657322934881495,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.006081837255417664,-0.006081837255417664,-0.006081837255417664,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.041912399988466326,-0.041912399988466326,-0.041912399988466326,0.0,0.0,0.0,1.3596315684027898
1,2024-09-11 23:00:00,0.9277067094057656,1.3571570458067643,1.3617359197335672,0.9277067094057656,0.9277067094057656,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590034954485,0.5146590034954485,0.5146590034954485,-0.0010462805411952623,-0.0010462805411952623,-0.0010462805411952623,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0008095777974649845,-0.0008095777974649845,-0.0008095777974649845,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,3.865571979664469e-05,3.865571979664469e-05,3.865571979664469e-05,0.46545798558828966,0.46545798558828966,0.46545798558828966,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.005413872056860536,-0.005413872056860536,-0.005413872056860536,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.042740865309103024,-0.042740865309103024,-0.042740865309103024,0.0,0.0,0.0,1.3595152055825142
2,2024-09-12 23:00:00,0.9278009383856965,1.3560709730499483,1.3604335399771568,0.9278009383856965,0.9278009383856965,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590034983496,0.5146590034983496,0.5146590034983496,-0.001090594313372567,-0.001090594313372567,-0.001090594313372567,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0008538915696422887,-0.0008538915696422887,-0.0008538915696422887,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,3.865571979664469e-05,3.865571979664469e-05,3.865571979664469e-05,0.463983494470105,0.463983494470105,0.463983494470105,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.0061638194070771455,-0.0061638194070771455,-0.0061638194070771455,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.04342109530779487,-0.04342109530779487,-0.04342109530779487,0.0,0.0,0.0,1.3582852599505346
3,2024-09-15 23:00:00,0.9280836253254894,1.3562640795140868,1.3604933436245021,0.9280836253254894,0.9280836253254894,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590034960179,0.5146590034960179,0.5146590034960179,-0.0010957200457505042,-0.0010957200457505042,-0.0010957200457505042,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0008590173020202262,-0.0008590173020202262,-0.0008590173020202262,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,3.865571979664469e-05,3.865571979664469e-05,3.865571979664469e-05,0.46354050332269986,0.46354050332269986,0.46354050332269986,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.005337963572989629,-0.005337963572989629,-0.005337963572989629,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.044684816554577886,-0.044684816554577886,-0.044684816554577886,0.0,0.0,0.0,1.3582879761344226
4,2024-09-16 23:00:00,0.9281778543054202,1.3557307008853219,1.3601234300530047,0.9281778543054202,0.9281778543054202,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590034989191,0.5146590034989191,0.5146590034989191,-0.001039433260018326,-0.001039433260018326,-0.001039433260018326,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0008027305162880482,-0.0008027305162880482,-0.0008027305162880482,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,3.865571979664469e-05,3.865571979664469e-05,3.865571979664469e-05,0.463016413796125,0.463016413796125,0.463016413796125,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.00570774822073123,-0.00570774822073123,-0.00570774822073123,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.04489540822204454,-0.04489540822204454,-0.04489540822204454,0.0,0.0,0.0,1.357939435770898
5,2024-09-17 23:00:00,0.9282720832853513,1.3551692824006436,1.3596852403515576,0.9282720832853513,0.9282720832853513,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590035018201,0.5146590035018201,0.5146590035018201,-0.0013082662613176073,-0.0013082662613176073,-0.0013082662613176073,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0007265575053761577,-0.0007265575053761577,-0.0007265575053761577,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,-0.00030635029241452683,-0.00030635029241452683,-0.00030635029241452683,0.4622398998553755,0.4622398998553755,0.4622398998553755,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.006081837255412578,-0.006081837255412578,-0.006081837255412578,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.045029000129714496,-0.045029000129714496,-0.045029000129714496,0.0,0.0,0.0,1.3573564781017127
6,2024-09-18 23:00:00,0.9283663122652821,1.3566801459215068,1.3612193508699038,0.9283663122652821,0.9283663122652821,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590034966931,0.5146590034966931,0.5146590034966931,-0.00036430173710375144,-0.00036430173710375144,-0.00036430173710375144,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0005401840036743901,-0.0005401840036743901,-0.0005401840036743901,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,0.0004512407300975613,0.0004512407300975613,0.0004512407300975613,0.46377663968406774,0.46377663968406774,0.46377663968406774,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.005413872056874467,-0.005413872056874467,-0.005413872056874467,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.04510419001864722,-0.04510419001864722,-0.04510419001864722,0.0,0.0,0.0,1.3589209209635644
7,2024-09-19 23:00:00,0.9280495456769854,1.3547302250765518,1.3590504721851282,0.9280495456769854,0.9280495456769854,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590034965873,0.5146590034965873,0.5146590034965873,-0.001304238949454135,-0.001304238949454135,-0.001304238949454135,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0007888699651876665,-0.0007888699651876665,-0.0007888699651876665,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,-0.00024001052073954564,-0.00024001052073954564,-0.00024001052073954564,0.4620509454672624,0.4620509454672624,0.4620509454672624,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.0061638194070644595,-0.0061638194070644595,-0.0061638194070644595,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.045139999672806366,-0.045139999672806366,-0.045139999672806366,0.0,0.0,0.0,1.3568557156974999
8,2024-09-22 23:00:00,0.927099245912095,1.3537011660424447,1.3581992630426236,0.927099245912095,0.927099245912095,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590034972627,0.5146590034972627,0.5146590034972627,-0.0014689790998879393,-0.0014689790998879393,-0.0014689790998879393,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0009475577306548654,-0.0009475577306548654,-0.0009475577306548654,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,-0.00024606290570615126,-0.00024606290570615126,-0.00024606290570615126,0.4626542163731106,0.4626542163731106,0.4626542163731106,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.005337963572961235,-0.005337963572961235,-0.005337963572961235,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.04519784445130285,-0.04519784445130285,-0.04519784445130285,0.0,0.0,0.0,1.356025621029657
9,2024-09-23 23:00:00,0.9267824793237983,1.3519855016770532,1.3562994483545372,0.9267824793237983,0.9267824793237983,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590035001638,0.5146590035001638,0.5146590035001638,-0.002527200520628763,-0.002527200520628763,-0.002527200520628763,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.001347058442606937,-0.001347058442606937,-0.001347058442606937,5.087297203091191e-05,5.087297203091191e-05,5.087297203091191e-05,-0.0009047836144949035,-0.0009047836144949035,-0.0009047836144949035,0.4611655491464916,0.4611655491464916,0.4611655491464916,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.005707748220751141,-0.005707748220751141,-0.005707748220751141,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.045258505612292305,-0.045258505612292305,-0.045258505612292305,0.0,0.0,0.0,1.354182630340505
10,2024-09-24 23:00:00,0.9264657127355017,1.3451029139622965,1.3494234989182543,0.9264657127355017,0.9264657127355017,0.00025048908563566035,0.00025048908563566035,0.00025048908563566035,5.738335823396062e-05,5.738335823396062e-05,5.738335823396062e-05,0.5146590035030649,0.5146590035030649,0.5146590035030649,-0.009139334714831436,-0.009139334714831436,-0.009139334714831436,-0.0007311372240502555,-0.0007311372240502555,-0.0007311372240502555,4.9918010940593086e-06,4.9918010940593086e-06,4.9918010940593086e-06,-0.0025663786055897804,-0.0025663786055897804,-0.0025663786055897804,-0.003603880448081002,-0.003603880448081002,-0.003603880448081002,-0.0026428442256028195,-0.0026428442256028195,-0.0026428442256028195,0.45407261247512914,0.45407261247512914,0.45407261247512914,7.146138307461555e-05,7.146138307461555e-05,7.146138307461555e-05,0.0,0.0,0.0,-0.006081837255394811,-0.006081837255394811,-0.006081837255394811,2.0580160454125145e-05,2.0580160454125145e-05,2.0580160454125145e-05,-0.0453652190577095,-0.0453652190577095,-0.0453652190577095,0.0,0.0,0.0,1.3471484192859435
