Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,PairCode,BaseCurrency,QuoteCurrency,Category,IsCommodityLinked,IsSafeHaven
2025-08-11 00:00:00+01:00,0.8079299926757812,0.8080499768257141,0.8072699904441833,0.8075299859046936,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 01:00:00+01:00,0.807479977607727,0.8080199956893921,0.807449996471405,0.8076099753379822,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 02:00:00+01:00,0.8076099753379822,0.8077300190925598,0.80690997838974,0.8069999814033508,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 03:00:00+01:00,0.8069499731063843,0.8070300221443176,0.8065400123596191,0.8068199753761292,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 04:00:00+01:00,0.8067799806594849,0.8069499731063843,0.8062400221824646,0.8064699769020081,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 05:00:00+01:00,0.8064699769020081,0.8065099716186523,0.8062000274658203,0.806410014629364,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 06:00:00+01:00,0.8063799738883972,0.8065999746322632,0.8062400221824646,0.806439995765686,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 07:00:00+01:00,0.8064500093460083,0.8070899844169617,0.8060700297355652,0.8068299889564514,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 08:00:00+01:00,0.8068400025367737,0.8080000281333923,0.8068199753761292,0.8079599738121033,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 09:00:00+01:00,0.8079400062561035,0.8085600137710571,0.8078500032424927,0.8083000183105469,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 10:00:00+01:00,0.8083299994468689,0.809719979763031,0.8081499934196472,0.809469997882843,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 11:00:00+01:00,0.8094599843025208,0.8100000023841858,0.8093500137329102,0.8095399737358093,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 12:00:00+01:00,0.8095600008964539,0.811269998550415,0.8094300031661987,0.8109099864959717,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 13:00:00+01:00,0.8108800053596497,0.8117200136184692,0.810670018196106,0.8114500045776367,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 14:00:00+01:00,0.8114100098609924,0.811739981174469,0.8109099864959717,0.8116400241851807,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 15:00:00+01:00,0.8115900158882141,0.8131600022315979,0.8115800023078918,0.8125500082969666,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 16:00:00+01:00,0.8125100135803223,0.8131999969482422,0.8122299909591675,0.8127099871635437,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 17:00:00+01:00,0.812690019607544,0.8129000067710876,0.8122900128364563,0.8125900030136108,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 18:00:00+01:00,0.8125900030136108,0.8130199909210205,0.8121399879455566,0.8122299909591675,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 19:00:00+01:00,0.8122199773788452,0.8126199841499329,0.8121899962425232,0.8123000264167786,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 20:00:00+01:00,0.812279999256134,0.8128499984741211,0.8122299909591675,0.8126400113105774,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 21:00:00+01:00,0.8126699924468994,0.8127099871635437,0.8118900060653687,0.8120899796485901,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 22:00:00+01:00,0.812030017375946,0.8125200271606445,0.8104100227355957,0.8111900091171265,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-11 23:00:00+01:00,0.8111799955368042,0.8126299977302551,0.8111799955368042,0.8124899864196777,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 00:00:00+01:00,0.812470018863678,0.8125100135803223,0.8119300007820129,0.8120499849319458,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 01:00:00+01:00,0.8120599985122681,0.8122900128364563,0.8116400241851807,0.8118900060653687,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 02:00:00+01:00,0.8119000196456909,0.8119400143623352,0.8108500242233276,0.8110600113868713,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 03:00:00+01:00,0.8111000061035156,0.8113999962806702,0.8107699751853943,0.810949981212616,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 04:00:00+01:00,0.8109999895095825,0.8113200068473816,0.8107399940490723,0.8112199902534485,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 05:00:00+01:00,0.8112999796867371,0.8115299940109253,0.8108800053596497,0.810920000076294,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 06:00:00+01:00,0.8109300136566162,0.8111000061035156,0.8104199767112732,0.8110399842262268,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 07:00:00+01:00,0.8111000061035156,0.811710000038147,0.8106899857521057,0.8116300106048584,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 08:00:00+01:00,0.8116099834442139,0.8116999864578247,0.809719979763031,0.809939980506897,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 09:00:00+01:00,0.809909999370575,0.8101500272750854,0.8091300129890442,0.809909999370575,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 10:00:00+01:00,0.8099300265312195,0.8109599947929382,0.8096699714660645,0.8107900023460388,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 11:00:00+01:00,0.8108000159263611,0.8111199736595154,0.8101300001144409,0.8109800219535828,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 12:00:00+01:00,0.810949981212616,0.8118100166320801,0.8109400272369385,0.8113099932670593,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 13:00:00+01:00,0.8113099932670593,0.8118600249290466,0.8082000017166138,0.8096299767494202,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 14:00:00+01:00,0.8096200227737427,0.8111600279808044,0.8078299760818481,0.8092700242996216,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 15:00:00+01:00,0.8093000054359436,0.8104100227355957,0.8086100220680237,0.809149980545044,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 16:00:00+01:00,0.8091800212860107,0.8093699812889099,0.8065999746322632,0.8080999851226807,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 17:00:00+01:00,0.8081099987030029,0.8085299730300903,0.8069999814033508,0.8073599934577942,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 18:00:00+01:00,0.8073800206184387,0.8078600168228149,0.8071799874305725,0.8075600266456604,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 19:00:00+01:00,0.8075600266456604,0.8079000115394592,0.8070799708366394,0.8073300123214722,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 20:00:00+01:00,0.8073400259017944,0.8075000047683716,0.8061299920082092,0.8063899874687195,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 21:00:00+01:00,0.8064699769020081,0.8068600296974182,0.8060200214385986,0.8066800236701965,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 22:00:00+01:00,0.8062099814414978,0.8071100115776062,0.8054100275039673,0.8063499927520752,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-12 23:00:00+01:00,0.8062199950218201,0.806410014629364,0.8058300018310547,0.8062400221824646,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 00:00:00+01:00,0.8062300086021423,0.8062999844551086,0.8060500025749207,0.8061800003051758,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 01:00:00+01:00,0.8061599731445312,0.8069700002670288,0.8060500025749207,0.8064299821853638,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 02:00:00+01:00,0.806410014629364,0.8068000078201294,0.8060899972915649,0.8067399859428406,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 03:00:00+01:00,0.8067499995231628,0.8071500062942505,0.8063499927520752,0.8065900206565857,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 04:00:00+01:00,0.8065999746322632,0.8067499995231628,0.8062300086021423,0.8065099716186523,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 05:00:00+01:00,0.8065199851989746,0.8068400025367737,0.8064299821853638,0.8064500093460083,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 06:00:00+01:00,0.806439995765686,0.806879997253418,0.8063899874687195,0.8065000176429749,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 07:00:00+01:00,0.806439995765686,0.8068199753761292,0.8054900169372559,0.8057799935340881,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 08:00:00+01:00,0.8057799935340881,0.8059200048446655,0.8033699989318848,0.8036400079727173,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 09:00:00+01:00,0.8036500215530396,0.8037099838256836,0.8025299906730652,0.8033699989318848,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 10:00:00+01:00,0.8033599853515625,0.8033999800682068,0.8021699786186218,0.802619993686676,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 11:00:00+01:00,0.8026599884033203,0.803849995136261,0.8024799823760986,0.8037499785423279,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 12:00:00+01:00,0.8037400245666504,0.8040099740028381,0.8030300140380859,0.80308997631073,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 13:00:00+01:00,0.8030999898910522,0.8044000267982483,0.8027799725532532,0.8044000267982483,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 14:00:00+01:00,0.8043799996376038,0.8049499988555908,0.8041399717330933,0.8045200109481812,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 15:00:00+01:00,0.8045399785041809,0.804610013961792,0.8034300208091736,0.8038399815559387,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 16:00:00+01:00,0.8038399815559387,0.8047599792480469,0.8037700057029724,0.8043500185012817,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 17:00:00+01:00,0.8043500185012817,0.8050000071525574,0.8041899800300598,0.8049499988555908,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 18:00:00+01:00,0.8049600124359131,0.8053200244903564,0.8047000169754028,0.8051599860191345,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 19:00:00+01:00,0.8051400184631348,0.8058099746704102,0.8051199913024902,0.8055099844932556,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 20:00:00+01:00,0.8055400252342224,0.8057199716567993,0.8052999973297119,0.8055099844932556,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 21:00:00+01:00,0.8055300116539001,0.8056600093841553,0.8045499920845032,0.8047000169754028,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 22:00:00+01:00,0.8047000169754028,0.8051999807357788,0.8029000163078308,0.8041499853134155,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-13 23:00:00+01:00,0.8042899966239929,0.8053200244903564,0.8042899966239929,0.8052600026130676,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-14 00:00:00+01:00,0.8051300048828125,0.8051999807357788,0.8047199845314026,0.8047500252723694,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
2025-08-14 01:00:00+01:00,0.8047500252723694,0.8051999807357788,0.8046000003814697,0.8049100041389465,0,0.0,0.0,USDCHF=X,USDCHF,USD,CHF,major,False,True
