Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,pips_change,pips_range,ma_21,ma_50,ma_183,volatility_20,volatility_annualized,atr,rsi,stoch_k,stoch_d,macd,macd_signal,macd_histogram,resistance_50,support_50,distance_to_resistance,distance_to_support,price_position,hour,day_of_week,day_of_month,month,trading_session,base_currency,quote_currency,is_usd_base,is_usd_quote,decimal_places,williams_r,cci,adx,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,spread_proxy,spread_ma,spread_normalized,session_overlap,trend_strength,market_regime,data_quality_flag,processing_timestamp,silver_processing_timestamp
2025-08-11 13:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.343273639678955,1.343273639678955,1.341381549835205,1.3423179388046265,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,,,0.00189208984375,0.0009557008743286,,18.9208984375,,,,,,,,,,0.0,0.0,0.0,,,,,,13,0,11,8,London,GBP,USD,False,True,5,,,,,,,,,,,0.00189208984375,,,1,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 14:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.3423539400100708,1.3426964282989502,1.3420476913452148,1.3421196937561035,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,-0.0001476885935827,-0.0001982450485229,0.0006487369537353,0.0002342462539672,-1.982450485229492,6.487369537353516,,,,,,,,,,-4.447805575846786e-06,-2.471003097692659e-06,-1.976802478154127e-06,,,,,,14,0,11,8,London,GBP,USD,False,True,5,,,,,,,,,,,0.0006487369537353516,,,1,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 15:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.342029690742493,1.342029690742493,1.3401591777801514,1.3407701253890991,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,-0.001005549932158,-0.0013495683670043,0.0018705129623415,0.0012595653533937,-13.495683670043944,18.705129623415303,,,,,,,,,,-4.751742144137872e-05,-2.0932649959859075e-05,-2.658477148151964e-05,,,,,,15,0,11,8,London,GBP,USD,False,True,5,,,,,,,,,,,0.0018705129623415306,,,1,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 16:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.3407701253890991,1.341705560684204,1.3402849435806274,1.3415435552597046,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0005768549402762,0.0007734298706054,0.0014206171035766,0.0007734298706054,7.734298706054687,14.206171035766602,,,,,,,,,,-3.80174048053572e-05,-2.6720168538957355e-05,-1.1297236266399849e-05,,,,,,16,0,11,8,NewYork,GBP,USD,False,True,5,,,,,,,,,,,0.0014206171035766602,,,1,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 17:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.3415435552597046,1.3426063060760498,1.3415435552597046,1.3424440622329712,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0006712469153431,0.0009005069732666,0.0010627508163452,0.0009005069732666,9.005069732666016,10.627508163452148,,,,,,,,,,3.7783691182458057e-06,-1.764754310547236e-05,2.1425912223718166e-05,,,,,,17,0,11,8,NewYork,GBP,USD,False,True,5,,,,,,,,,,,0.0010627508163452148,,,1,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 18:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.342426061630249,1.3432012796401978,1.3418315649032593,1.3430931568145752,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.000483517041689,0.000649094581604,0.0013697147369384,0.0006670951843261,6.490945816040039,13.697147369384766,,,,,,,,,,5.65879410130421e-05,2.4744005037181715e-06,5.4113540509323926e-05,,,,,,18,0,11,8,NewYork,GBP,USD,False,True,5,,,,0.0005775219026269429,,,,,,,0.0013697147369384766,,,0,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 19:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.3430570363998413,1.343652606010437,1.3428946733474731,1.343562364578247,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0003493486369812,0.0004692077636718,0.0007579326629638,0.0005053281784057,4.69207763671875,7.579326629638672,,,,,,,,,,0.0001107364287182,2.9872631676724428e-05,8.086379704155884e-05,,,,,,19,0,11,8,NewYork,GBP,USD,False,True,5,,,,0.0010749196430506203,,,,,,,0.0007579326629638672,,,0,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 20:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.343508243560791,1.343508243560791,1.3424079418182373,1.342822551727295,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,-0.000550635289032,-0.0007398128509521,0.0011003017425537,0.000685691833496,-7.398128509521484,11.00301742553711,,,,,,,,,,0.0001100787998562,4.91476821675914e-05,6.093111768865884e-05,,,,,,20,0,11,8,NewYork,GBP,USD,False,True,5,,,,0.0015307816748975078,,,,,,,0.001100301742553711,,,0,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 21:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.342822551727295,1.343652606010437,1.3427865505218506,1.3430931568145752,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0002015196177127,0.0002706050872802,0.0008660554885864,0.0002706050872802,2.7060508728027344,8.660554885864258,,,,,,,,,,0.0001213742117254,6.58323688131112e-05,5.55418429123112e-05,,,,,,21,0,11,8,Sydney,GBP,USD,False,True,5,,,,0.0011550885163551516,,,,,,,0.0008660554885864258,,,0,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
2025-08-11 22:00:00+01:00,GBPUSD,forex,1h,yahoo_finance,1.3426603078842163,1.3437608480453491,1.3423539400100708,1.3431833982467651,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,6.718925767135175e-05,9.02414321899414e-05,0.0014069080352783,0.0005230903625488,0.902414321899414,14.069080352783203,,,,,,,,,,0.0001322692938168,8.071809667214624e-05,5.155119714467616e-05,,,,,,22,0,11,8,Sydney,GBP,USD,False,True,5,,,,0.0005507387865115732,,,,,,,0.0014069080352783203,,,0,,sideways,1,2025-09-11 12:47:24.629697,2025-09-15T14:50:03.122366
