Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,pips_change,pips_range,ma_21,ma_50,ma_20,volatility_20,volatility_annualized,atr,rsi,stoch_k,stoch_d,macd,macd_signal,macd_histogram,resistance_50,support_50,distance_to_resistance,distance_to_support,price_position,williams_r,cci,adx,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,spread_proxy,spread_ma,spread_normalized,silver_processing_timestamp
2024-09-11 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3609600067138672,1.362239956855774,1.357200026512146,1.3609600067138672,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,,,0.0050399303436279,0.0,,50.3993034362793,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.00503993034362793,,,2025-09-15T14:55:03.007761
2024-09-12 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3578399419784546,1.3603700399398804,1.3564000129699707,1.3578399419784546,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,-0.0022925469668622,-0.0031200647354125,0.0039700269699096,0.0,-31.200647354125977,39.70026969909668,,,,,,,,,,-7.000145239710598e-05,-3.888969577616999e-05,-3.111175662093599e-05,,,,,,,,,,,,,,,,0.003970026969909668,,,2025-09-15T14:55:03.007761
2024-09-13 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3575799465179443,1.3594399690628052,1.3562999963760376,1.3575799465179443,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,-0.0001914772518264,-0.0002599954605102,0.0031399726867675,0.0,-2.599954605102539,31.39972686767578,,,,,,,,,,-9.725818839401156e-05,-6.281120914413785e-05,-3.444697924987372e-05,,,,,,,,,,,,,,,,0.003139972686767578,,,2025-09-15T14:55:03.007761
2024-09-16 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3577699661254885,1.3607100248336792,1.3565000295639038,1.3577699661254885,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,0.0001399693683097,0.0001900196075441,0.0042099952697753,0.0,1.9001960754416736,42.09995269775391,,,,,,,,,,-0.0001004109494286,-7.554824853592637e-05,-2.4862700892771183e-05,,,,,,,,,,,,,,,,0.004209995269775391,,,2025-09-15T14:55:03.007761
2024-09-17 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3586299419403076,1.3614699840545654,1.357800006866455,1.3586299419403076,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,0.0006333737203461,0.0008599758148191,0.0036699771881103,0.0,8.599758148191139,36.69977188110352,,,,,,,,,,-6.578979254134865e-05,-7.264532849946226e-05,6.855535958113612e-06,,,,,,,,,,,,,,,,0.0036699771881103516,,,2025-09-15T14:55:03.007761
2024-09-18 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3592100143432615,1.3607100248336792,1.3575999736785889,1.3592100143432615,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,0.0004269539372327,0.0005800724029538,0.0031100511550903,0.0,5.800724029538795,31.10051155090332,,,,,,,,,,-1.8936917091982863e-05,-5.80873628781271e-05,3.915044578614424e-05,,,,,,,,,-0.0012858514298529355,,,,,,,0.003110051155090332,,,2025-09-15T14:55:03.007761
2024-09-19 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3610700368881226,1.3646999597549438,1.3532700538635254,1.3610700368881226,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,0.0013684585349085,0.001860022544861,0.0114299058914184,0.0,18.60022544861062,114.29905891418456,,,,,,,,,,9.569862583536092e-05,-1.9168231771597405e-05,0.0001148668576069,,,,,,,,,0.0023788480584550076,,,,,,,0.011429905891418457,,,2025-09-15T14:55:03.007761
2024-09-20 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3562699556350708,1.3588900566101074,1.354300022125244,1.3562699556350708,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,-0.0035266967334218,-0.0048000812530517,0.0045900344848635,0.0,-48.00081253051758,45.90034484863503,,,,,,,,,,-5.726437564379516e-05,-2.8323451542230828e-05,-2.894092410156433e-05,,,,,,,,,-0.0009649456639614362,,,,,,,0.004590034484863503,,,2025-09-15T14:55:03.007761
2024-09-23 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3564200401306152,1.358180046081543,1.3489400148391724,1.3564200401306152,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,0.0001106597509743,0.0001500844955444,0.0092400312423706,0.0,1.500844955444336,92.40031242370604,,,,,,,,,,-0.0001548708378509,-5.7556525584360914e-05,-9.7314312266568e-05,,,,,,,,,-0.000994222901192443,,,,,,,0.009240031242370605,,,2025-09-15T14:55:03.007761
2024-09-24 00:00:00+01:00,USDCAD,forex,1d,yahoo_finance,1.3529499769210815,1.3531099557876587,1.3464900255203247,1.3529499769210815,0,0.0,0.0,USDCAD=X,USDCAD,USD/CAD,-0.0025582512104432,-0.0034700632095336,0.0066199302673339,0.0,-34.700632095336914,66.19930267333984,,,,,,,,,,-0.0004005977281884,-0.0001344176684821,-0.0002661800597062,,,,,,,,,-0.004180656442117181,,,,,,,0.006619930267333984,,,2025-09-15T14:55:03.007761
