Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,pips_change,pips_range,ma_21,ma_50,ma_20,volatility_20,volatility_annualized,atr,rsi,stoch_k,stoch_d,macd,macd_signal,macd_histogram,resistance_50,support_50,distance_to_resistance,distance_to_support,price_position,williams_r,cci,adx,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,spread_proxy,spread_ma,spread_normalized,silver_processing_timestamp
2024-09-11 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8466200232505798,0.8514000177383423,0.8421000242233276,0.8466200232505798,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,,,0.0092999935150146,0.0,,92.99993515014648,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.009299993515014648,,,2025-09-13T14:35:03.162258
2024-09-12 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8525999784469604,0.8549000024795532,0.8515999913215637,0.8525999784469604,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,0.007063328331665,0.0059799551963806,0.0033000111579895,0.0,59.79955196380615,33.00011157989502,,,,,,,,,,0.0001341656614572,7.453647858738736e-05,5.962918286990988e-05,,,,,,,,,,,,,,,,0.003300011157989502,,,2025-09-13T14:35:03.162258
2024-09-13 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8498799800872803,0.8500099778175354,0.8442999720573425,0.8498799800872803,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,-0.0031902397706304,-0.0027199983596801,0.0057100057601928,0.0,-27.19998359680176,57.10005760192871,,,,,,,,,,8.660669643656416e-05,7.948328918131226e-05,7.123407255251894e-06,,,,,,,,,,,,,,,,0.005710005760192871,,,2025-09-13T14:35:03.162258
2024-09-16 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8476999998092651,0.8480799794197083,0.8434000015258789,0.8476999998092651,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,-0.0025650448640892,-0.0021799802780151,0.0046799778938293,0.0,-21.799802780151367,46.79977893829346,,,,,,,,,,-1.5853921058184284e-05,4.718748625465355e-05,-6.304140731283783e-05,,,,,,,,,,,,,,,,0.004679977893829346,,,2025-09-13T14:35:03.162258
2024-09-17 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8445799946784973,0.8476399779319763,0.8428000211715698,0.8445799946784973,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,-0.0036805534168571,-0.0031200051307678,0.0048399567604064,0.0,-31.200051307678223,48.39956760406494,,,,,,,,,,-0.000195347907696,-2.4961310137152532e-05,-0.0001703865975588,,,,,,,,,,,,,,,,0.004839956760406494,,,2025-09-13T14:35:03.162258
2024-09-18 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8463299870491028,0.8463500142097473,0.8422999978065491,0.8463299870491028,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,0.0020720267844749,0.0017499923706054,0.0040500164031982,0.0,17.499923706054688,40.50016403198242,,,,,,,,,,-0.0002247455462875,-7.911394592257527e-05,-0.000145631600365,,,,,,,,,-0.00034258131571640593,,,,,,,0.004050016403198242,,,2025-09-13T14:35:03.162258
2024-09-19 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8472999930381775,0.8514599800109863,0.8447999954223633,0.8472999930381775,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,0.001146132128033,0.0009700059890747,0.006659984588623,0.0,9.70005989074707,66.59984588623047,,,,,,,,,,-0.0001957844686115,-0.0001086401427288,-8.714432588273125e-05,,,,,,,,,-0.006216262658646832,,,,,,,0.006659984588623047,,,2025-09-13T14:35:03.162258
2024-09-20 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8477799892425537,0.8516499996185303,0.8452000021934509,0.8477799892425537,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,0.0005665008949842,0.0004799962043762,0.0064499974250793,0.0,4.799962043762207,64.49997425079346,,,,,,,,,,-0.0001503886952682,-0.0001186731049857,-3.1715590282515145e-05,,,,,,,,,-0.0024709263589323127,,,,,,,0.006449997425079346,,,2025-09-13T14:35:03.162258
2024-09-23 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.8508999943733215,0.8517400026321411,0.8472999930381775,0.8508999943733215,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,0.003680206150602,0.0031200051307678,0.0044400095939636,0.0,31.200051307678223,44.40009593963623,,,,,,,,,,3.8130063792052304e-05,-8.24507950935641e-05,0.0001205808588856,,,,,,,,,0.003774913961043236,,,,,,,0.004440009593963623,,,2025-09-13T14:35:03.162258
2024-09-24 00:00:00+01:00,USDCHF,forex,1d,yahoo_finance,0.847320020198822,0.8489500284194946,0.8447999954223633,0.847320020198822,0,0.0,0.0,USDCHF=X,USDCHF,USD/CHF,-0.0042072795841726,-0.0035799741744995,0.0041500329971313,0.0,-35.79974174499512,41.50032997131348,,,,,,,,,,-1.3096657022870772e-05,-6.691144216353896e-05,5.381478514066819e-05,,,,,,,,,0.003244246297081421,,,,,,,0.004150032997131348,,,2025-09-13T14:35:03.162258
