Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,pips_change,pips_range,ma_21,ma_50,ma_20,volatility_20,volatility_annualized,atr,rsi,stoch_k,stoch_d,macd,macd_signal,macd_histogram,resistance_50,support_50,distance_to_resistance,distance_to_support,price_position,williams_r,cci,adx,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,spread_proxy,spread_ma,spread_normalized,silver_processing_timestamp
2024-09-11 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.308215618133545,1.3111659288406372,1.3003225326538086,1.3080273866653442,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,,,0.0108433961868286,0.0001882314682006,,108.43396186828612,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.010843396186828613,,,2025-09-13T14:25:03.391087
2024-09-12 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.3039170503616333,1.3083868026733398,1.3032711744308472,1.3039510250091553,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,-0.0031164191956111,-0.0040763616561889,0.0051156282424926,3.3974647521972656e-05,-40.76361656188965,51.15628242492676,,,,,,,,,,-9.145683202982367e-05,-5.080935112767982e-05,-4.064748090214386e-05,,,,,,,,,,,,,,,,0.005115628242492676,,,2025-09-13T14:25:03.391087
2024-09-13 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.313318371772766,1.3156856298446655,1.3116475343704224,1.313232183456421,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0071177201208154,0.0092811584472656,0.0040380954742431,8.61883163449928e-05,92.81158447265624,40.38095474243164,,,,,,,,,,0.0001712740111119,4.020842028200196e-05,0.0001310655908299,,,,,,,,,,,,,,,,0.004038095474243164,,,2025-09-13T14:25:03.391087
2024-09-16 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.3135944604873655,1.3213878870010376,1.3135944604873655,1.3137997388839722,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0004321820883625,0.0005675554275512,0.007793426513672,0.0002052783966066,5.675554275512695,77.93426513672097,,,,,,,,,,0.0003070630304262,0.0001306063234474,0.0001764567069788,,,,,,,,,,,,,,,,0.007793426513672097,,,2025-09-13T14:25:03.391087
2024-09-17 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.3210737705230713,1.323031306266785,1.3159972429275513,1.3210737705230713,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0055366365388975,0.0072740316390991,0.0070340633392336,0.0,72.74031639099121,70.3406333923362,,,,,,,,,,0.0006638347622731,0.0002892297286192,0.0003746050336538,,,,,,,,,,,,,,,,0.0070340633392336205,,,2025-09-13T14:25:03.391087
2024-09-18 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.316759705543518,1.3252933025360107,1.3156163692474363,1.3167423009872437,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,-0.0032787491754624,-0.0043314695358276,0.0096769332885744,1.7404556274414062e-05,-43.31469535827637,96.7693328857444,,,,,,,,,,0.000680608896983,0.0003953152435066,0.0002852936534763,,,,,,,,,0.006662639032441797,,,,,,,0.00967693328857444,,,2025-09-13T14:25:03.391087
2024-09-19 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.3203411102294922,1.3311856985092163,1.3155124187469482,1.3201146125793457,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0025611021910465,0.003372311592102,0.015673279762268,0.0002264976501464,33.72311592102051,156.73279762268066,,,,,,,,,,0.0008324144595539,0.0005059333943422,0.0003264810652117,,,,,,,,,0.01239585479836336,,,,,,,0.015673279762268066,,,2025-09-13T14:25:03.391087
2024-09-20 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.328303575515747,1.334133863449097,1.3270519971847534,1.328179955482483,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0061095777792947,0.0080653429031372,0.0070818662643434,0.0001236200332641,80.65342903137207,70.81866264343483,,,,,,,,,,0.0013044067957435,0.0006978215679946,0.0006065852277488,,,,,,,,,0.011382428952296575,,,,,,,0.007081866264343484,,,2025-09-13T14:25:03.391087
2024-09-23 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.3312742710113523,1.336023211479187,1.3251352310180664,1.331398367881775,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0024231749515621,0.0032184123992919,0.0108879804611206,0.0001240968704225,32.18412399291992,108.87980461120604,,,,,,,,,,0.0017710826617218,0.0009457502051213,0.0008253324566005,,,,,,,,,0.013395214260548016,,,,,,,0.010887980461120605,,,2025-09-13T14:25:03.391087
2024-09-24 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.3349709510803225,1.339925765991211,1.3333333730697632,1.334988713264465,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0026966725131278,0.0035903453826902,0.0065923929214477,1.7762184142622317e-05,35.90345382690208,65.92392921447754,,,,,,,,,,0.0022612990933434,0.0012405095235912,0.0010207895697522,,,,,,,,,0.010533055043462358,,,,,,,0.006592392921447754,,,2025-09-13T14:25:03.391087
2024-09-25 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.3427324295043943,1.3429667949676514,1.3336889743804932,1.3427324295043943,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0058005855502654,0.0077437162399291,0.0092778205871582,0.0,77.43716239929199,92.77820587158205,,,,,,,,,,0.0029963753117745,0.0016246829251408,0.0013716923866336,,,,,,,,,0.019738204277073956,0.026532351839762658,,,,,,0.009277820587158203,,,2025-09-13T14:25:03.391087
2024-09-26 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.331487059593201,1.3432915210723877,1.331416130065918,1.3315792083740234,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,-0.0083063616289416,-0.0111532211303708,0.0118753910064697,9.214878082253186e-05,-111.53221130370872,118.75391006469728,,,,,,,,,,0.0028818741177327,0.0018946748687468,0.0009871992489859,,,,,,,,,0.008684545785215825,0.021188052952122227,,,,,,0.011875391006469727,,,2025-09-13T14:25:03.391087
2024-09-27 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.3412017822265625,1.342822551727295,1.3361660242080688,1.341381549835205,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,0.0073614407611179,0.0098023414611816,0.006656527519226,0.0001797676086425,98.0234146118164,66.56527519226074,,,,,,,,,,0.0033124440177867,0.0021947240782949,0.0011177199394917,,,,,,,,,0.009939612699490397,0.02143517858715227,,,,,,0.006656527519226074,,,2025-09-13T14:25:03.391087
2024-09-30 00:00:00+01:00,GBPUSD,forex,1d,yahoo_finance,1.338329792022705,1.3424620628356934,1.336308836936951,1.338329792022705,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP/USD,-0.0022750855734335,-0.0030517578125,0.0061532258987424,0.0,-30.517578125,61.53225898742454,,,,,,,70.06037170027238,,,0.0034148413926378,0.0024499735308042,0.0009648678618335,,,,,,-11.54723262588431,86.59071724070698,,0.005206123357322401,0.018671074755708394,,,,,,0.006153225898742454,,,2025-09-13T14:25:03.391087
