Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,pips_change,pips_range,ma_21,ma_50,ma_183,volatility_20,volatility_annualized,atr,rsi,stoch_k,stoch_d,macd,macd_signal,macd_histogram,resistance_50,support_50,distance_to_resistance,distance_to_support,price_position,hour,day_of_week,day_of_month,month,trading_session,base_currency,quote_currency,is_usd_base,is_usd_quote,decimal_places,williams_r,cci,adx,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,spread_proxy,spread_ma,spread_normalized,session_overlap,trend_strength,market_regime,data_quality_flag,processing_timestamp,silver_processing_timestamp
2025-08-11 13:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.59357750415802,0.59357750415802,0.5927330851554871,0.5930846333503723,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,,,0.0008444190025329,0.0004928708076477,,8.44419002532959,,,,,,,,,,0.0,0.0,0.0,,,,,,13,0,11,8,London,NZD,USD,False,True,5,,,,,,,,,,,0.000844419002532959,,,1,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 14:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.593155026435852,0.5936127305030823,0.5930494666099548,0.5935422778129578,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,0.0007716343281398,0.0004576444625854,0.0005632638931274,0.0003872513771057,4.576444625854492,5.632638931274414,,,,,,,,,,1.0267664224627993e-05,5.704257902571107e-06,4.563406322056886e-06,,,,,,14,0,11,8,London,NZD,USD,False,True,5,,,,,,,,,,,0.0005632638931274414,,,1,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 15:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.5935422778129578,0.59357750415802,0.5928033590316772,0.5930846333503723,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,-0.0007710393676955,-0.0004576444625854,0.0007741451263427,0.0004576444625854,-4.576444625854492,7.741451263427734,,,,,,,,,,-1.1084851824216813e-06,2.912150080852751e-06,-4.0206352632744325e-06,,,,,,15,0,11,8,London,NZD,USD,False,True,5,,,,,,,,,,,0.0007741451263427734,,,1,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 16:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.593155026435852,0.5936832427978516,0.5928736925125122,0.5935069918632507,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,0.0007121386883564,0.0004223585128784,0.0008095502853393,0.0003519654273986,4.22358512878418,8.095502853393555,,,,,,,,,,8.993678450086584e-06,4.972288417314076e-06,4.021390032772508e-06,,,,,,16,0,11,8,NewYork,NZD,USD,False,True,5,,,,,,,,,,,0.0008095502853393555,,,1,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 17:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.5936479568481445,0.5940358638763428,0.5935069918632507,0.5936127305030823,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,0.0001781590466181,0.0001057386398315,0.000528872013092,3.522634506225586e-05,1.0573863983154297,5.28872013092041,,,,,,,,,,1.8501287321726068e-05,8.996859723957339e-06,9.504427597768727e-06,,,,,,17,0,11,8,NewYork,NZD,USD,False,True,5,,,,,,,,,,,0.000528872013092041,,,1,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 18:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.5936127305030823,0.5938242077827454,0.593155026435852,0.5937889814376831,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,0.0002969123227047,0.0001762509346008,0.0006691813468933,0.0001762509346008,1.7625093460083008,6.6918134689331055,,,,,,,,,,3.140548010582833e-05,1.5070841742636049e-05,1.6334638363192286e-05,,,,,,18,0,11,8,NewYork,NZD,USD,False,True,5,,,,0.001187601309667885,,,,,,,0.0006691813468933105,,,0,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 19:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.5937889814376831,0.5940711498260498,0.5936479568481445,0.5940711498260498,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,0.000475199771615,0.0002821683883666,0.0004231929779052,0.0002821683883666,2.821683883666992,4.231929779052734,,,,,,,,,,5.1922819670147113e-05,2.439709423477839e-05,2.7525725435368723e-05,,,,,,19,0,11,8,NewYork,NZD,USD,False,True,5,,,,0.000891043541229708,,,,,,,0.00042319297790527344,,,0,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 20:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.5940005779266357,0.5940005779266357,0.5935422778129578,0.5936832427978516,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,-0.0006529639224389,-0.0003879070281982,0.0004583001136779,0.0003173351287841,-3.879070281982422,4.583001136779785,,,,,,,,,,4.639669176997874e-05,2.968401122501038e-05,1.6712680544968356e-05,,,,,,20,0,11,8,NewYork,NZD,USD,False,True,5,,,,0.001009315389099985,,,,,,,0.0004583001136779785,,,0,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 21:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.5937184691429138,0.5941770672798157,0.5937184691429138,0.5940711498260498,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,0.0006533905629038,0.0003879070281982,0.0004585981369018,0.0003526806831359,3.879070281982422,4.585981369018555,,,,,,,,,,6.110948631654622e-05,3.694345187374102e-05,2.41660344428052e-05,,,,,,21,0,11,8,Sydney,NZD,USD,False,True,5,,,,0.0009505498174975369,,,,,,,0.00045859813690185547,,,0,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
2025-08-11 22:00:00+01:00,NZDUSD,forex,1h,yahoo_finance,0.5937184691429138,0.5941770672798157,0.5937184691429138,0.5940005779266357,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD/USD,-0.0001187936822629,-7.05718994140625e-05,0.0004585981369018,0.0002821087837219,-0.705718994140625,4.585981369018555,,,,,,,,,,6.70221621171807e-05,4.36828290350049e-05,2.33393330821758e-05,,,,,,22,0,11,8,Sydney,NZD,USD,False,True,5,,,,0.0006533677659250614,,,,,,,0.00045859813690185547,,,0,,sideways,1,2025-09-11 12:47:24.930564,2025-09-15T15:05:03.443651
