Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,pips_change,pips_range,ma_21,ma_50,ma_183,volatility_20,volatility_annualized,atr,rsi,stoch_k,stoch_d,macd,macd_signal,macd_histogram,resistance_50,support_50,distance_to_resistance,distance_to_support,price_position,hour,day_of_week,day_of_month,month,trading_session,base_currency,quote_currency,is_usd_base,is_usd_quote,decimal_places,williams_r,cci,adx,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,spread_proxy,spread_ma,spread_normalized,session_overlap,trend_strength,market_regime,data_quality_flag,processing_timestamp,silver_processing_timestamp
2025-08-11 13:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6514573097229004,0.6515082716941833,0.6503388285636902,0.6508170962333679,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,,,0.0011694431304931,0.0006402134895324,,11.69443130493164,,,,,,,,,,0.0,0.0,0.0,,,,,,13,0,11,8,London,AUD,USD,False,True,5,,,,,,,,,,,0.001169443130493164,,,1,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 14:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6508297920227051,0.6515082716941833,0.6506181359291077,0.6511985063552856,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,0.0005860480988055,0.0003814101219177,0.0008901357650756,0.0003687143325805,3.814101219177246,8.901357650756836,,,,,,,,,,8.557278376453148e-06,4.754043542473971e-06,3.8032348339791768e-06,,,,,,14,0,11,8,London,AUD,USD,False,True,5,,,,,,,,,,,0.0008901357650756836,,,1,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 15:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6513469815254211,0.6513469815254211,0.6503092050552368,0.6506984829902649,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,-0.0007678509089638,-0.0005000233650207,0.0010377764701843,0.0006484985351562,-5.00023365020752,10.377764701843262,,,,,,,,,,-4.602023470856587e-06,9.19589848486038e-07,-5.521613319342624e-06,,,,,,15,0,11,8,London,AUD,USD,False,True,5,,,,,,,,,,,0.0010377764701843262,,,1,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 16:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6506858468055725,0.6515082716941833,0.6504572629928589,0.6513299942016602,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,0.0009705128072423,0.0006315112113952,0.0010510087013244,0.0006441473960876,6.315112113952637,10.510087013244627,,,,,,,,,,1.2326123747241624e-05,4.7835918467094745e-06,7.54253190053215e-06,,,,,,16,0,11,8,NewYork,AUD,USD,False,True,5,,,,,,,,,,,0.0010510087013244629,,,1,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 17:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6514191031455994,0.6518479585647583,0.6511985063552856,0.6513894200325012,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,9.123766964536097e-05,5.942583084106445e-05,0.0006494522094726,2.968311309814453e-05,0.5942583084106445,6.4945220947265625,,,,,,,,,,2.3629820381398936e-05,1.0389918754934565e-05,1.3239901626464371e-05,,,,,,17,0,11,8,NewYork,AUD,USD,False,True,5,,,,,,,,,,,0.0006494522094726562,,,1,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 18:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6513979434967041,0.6515931487083435,0.6508764028549194,0.6515591740608215,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,0.0002606029866309,0.0001697540283203,0.000716745853424,0.0001612305641174,1.697540283203125,7.167458534240723,,,,,,,,,,3.7239494600882495e-05,1.766764661672546e-05,1.9571847984157037e-05,,,,,,18,0,11,8,NewYork,AUD,USD,False,True,5,,,,0.0011402248523408876,,,,,,,0.0007167458534240723,,,0,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 19:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6515379548072815,0.6518055200576782,0.6513894200325012,0.6516780853271484,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,0.0001825026353106,0.0001189112663269,0.000416100025177,0.0001401305198669,1.189112663269043,4.16100025177002,,,,,,,,,,5.071295467584669e-05,2.6030532517889505e-05,2.4682422157957184e-05,,,,,,19,0,11,8,NewYork,AUD,USD,False,True,5,,,,0.0007364558843154789,,,,,,,0.00041610002517700195,,,0,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 20:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6516568660736084,0.6516780853271484,0.6509780883789062,0.6512706279754639,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,-0.0006252432924456,-0.0004074573516845,0.0006999969482421,0.0003862380981445,-4.074573516845703,6.999969482421875,,,,,,,,,,3.95533327151032e-05,2.928031570159403e-05,1.0273017013509169e-05,,,,,,20,0,11,8,NewYork,AUD,USD,False,True,5,,,,0.0008792781912903003,,,,,,,0.0006999969482421875,,,0,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 21:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.6512578725814819,0.6518904566764832,0.6512281894683838,0.6514487862586975,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,0.000273554918003,0.0001781582832336,0.0006622672080993,0.0001909136772155,1.7815828323364258,6.622672080993652,,,,,,,,,,4.006276445200907e-05,3.177111485494399e-05,8.291649597065082e-06,,,,,,21,0,11,8,Sydney,AUD,USD,False,True,5,,,,0.00018238382708446466,,,,,,,0.0006622672080993652,,,0,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
2025-08-11 22:00:00+01:00,AUDUSD,forex,1h,yahoo_finance,0.651296079158783,0.6516780853271484,0.651296079158783,0.6515082716941833,0,0.0,0.0,AUDUSD=X,AUDUSD,AUD/USD,9.131252792338174e-05,5.948543548583984e-05,0.0003820061683654,0.0002121925354003,0.5948543548583984,3.820061683654785,,,,,,,,,,4.290532967143879e-05,3.4265825314121906e-05,8.63950435731688e-06,,,,,,22,0,11,8,Sydney,AUD,USD,False,True,5,,,,0.00018245869218480593,,,,,,,0.0003820061683654785,,,0,,sideways,1,2025-09-11 12:47:24.704715,2025-09-15T15:25:02.732618
