,0
1992-08-01,75.1183
1992-09-01,75.8731
1992-10-01,77.5271
1992-11-01,80.1583
1992-12-01,80.8499
1993-01-01,82.0023
1993-02-01,82.5443
1993-03-01,82.4072
1993-04-01,81.5063
1993-05-01,81.8694
1993-06-01,82.7197
1993-07-01,84.0634
1993-08-01,84.242
1993-09-01,84.4005
1993-10-01,85.4585
1993-11-01,86.6715
1993-12-01,87.518
1994-01-01,90.388
1994-02-01,90.4705
1994-03-01,90.9911
1994-04-01,91.6541
1994-05-01,91.7219
1994-06-01,92.0166
1994-07-01,90.8465
1994-08-01,90.84
1994-09-01,90.0052
1994-10-01,89.5426
1994-11-01,89.9678
1994-12-01,92.0418
1995-01-01,94.1002
1995-02-01,93.6275
1995-03-01,92.738
1995-04-01,90.1878
1995-05-01,90.1369
1995-06-01,90.3097
1995-07-01,90.3452
1995-08-01,92.4834
1995-09-01,93.8448
1995-10-01,93.6617
1995-11-01,94.8835
1995-12-01,95.567
1996-01-01,96.4501
1996-02-01,96.6093
1996-03-01,96.6007
1996-04-01,96.8903
1996-05-01,97.3537
1996-06-01,97.8128
1996-07-01,97.6823
1996-08-01,97.26
1996-09-01,97.7927
1996-10-01,98.2434
1996-11-01,97.8598
1996-12-01,98.9296
1997-01-01,100.0
1997-02-01,101.8516
1997-03-01,102.6546
1997-04-01,103.452
1997-05-01,102.4414
1997-06-01,102.0955
1997-07-01,103.2968
1997-08-01,105.1786
1997-09-01,105.6641
1997-10-01,106.2741
1997-11-01,108.0039
1997-12-01,112.2393
1998-01-01,115.9906
1998-02-01,114.4475
1998-03-01,114.1786
1998-04-01,113.9345
1998-05-01,114.8202
1998-06-01,117.3693
1998-07-01,117.6859
1998-08-01,119.6039
1998-09-01,118.2007
1998-10-01,115.0699
1998-11-01,115.0556
1998-12-01,114.3004
1999-01-01,114.5023
1999-02-01,116.0309
1999-03-01,117.4596
1999-04-01,116.8587
1999-05-01,116.6886
1999-06-01,117.2677
1999-07-01,117.3448
1999-08-01,116.2908
1999-09-01,115.6301
1999-10-01,115.1131
1999-11-01,115.3816
1999-12-01,115.4333
2000-01-01,115.2151
2000-02-01,116.6867
2000-03-01,116.6735
2000-04-01,117.3307
2000-05-01,119.9141
2000-06-01,118.701
2000-07-01,118.9958
2000-08-01,119.8154
2000-09-01,121.2054
2000-10-01,122.9712
2000-11-01,123.9732
2000-12-01,122.9532
2001-01-01,122.8101
2001-02-01,123.537
2001-03-01,125.5514
2001-04-01,126.518
2001-05-01,126.3995
2001-06-01,127.227
2001-07-01,127.6435
2001-08-01,125.555
2001-09-01,125.8961
2001-10-01,126.7357
2001-11-01,127.2734
2001-12-01,127.3909
2002-01-01,128.898
2002-02-01,129.6402
2002-03-01,128.9149
2002-04-01,128.5416
2002-05-01,126.9577
2002-06-01,125.5364
2002-07-01,123.8053
2002-08-01,125.1962
2002-09-01,126.0642
2002-10-01,127.0413
2002-11-01,125.732
2002-12-01,125.0607
2003-01-01,123.5596
2003-02-01,123.3993
2003-03-01,122.8932
2003-04-01,121.9479
2003-05-01,117.9449
