ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,day_sin,day_sin_lower,day_sin_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hour_sin,hour_sin_lower,hour_sin_upper,market_session,market_session_lower,market_session_upper,momentum_lag_10,momentum_lag_10_lower,momentum_lag_10_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,return_regime,return_regime_lower,return_regime_upper,returns_lag_1,returns_lag_1_lower,returns_lag_1_upper,volatility_lag_20,volatility_lag_20_lower,volatility_lag_20_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,147.04304282006837,146.95853722088094,147.3663954821306,147.04304282006837,147.04304282006837,-7.780073444844917e-05,-7.780073444844917e-05,-7.780073444844917e-05,7.344459339442408e-07,7.344459339442408e-07,7.344459339442408e-07,-0.00013348182186085473,-0.00013348182186085473,-0.00013348182186085473,1.1425833364449397e-05,1.1425833364449397e-05,1.1425833364449397e-05,-0.000408858457870964,-0.000408858457870964,-0.000408858457870964,0.001029120496126479,0.001029120496126479,0.001029120496126479,-6.479778208921997e-06,-6.479778208921997e-06,-6.479778208921997e-06,-2.382485804176364e-05,-2.382485804176364e-05,-2.382485804176364e-05,0.0003674033653105879,0.0003674033653105879,0.0003674033653105879,0.00027235089768986047,0.00027235089768986047,0.00027235089768986047,0.0010283860501925346,0.0010283860501925346,0.0010283860501925346,0.0,0.0,0.0,147.1943678292473
2025-08-20 23:00:00,147.0548291664182,147.0876379098299,147.51219183840556,147.0548291664182,147.0548291664182,-7.780073444844917e-05,-7.780073444844917e-05,-7.780073444844917e-05,0.0006347859902148111,0.0006347859902148111,0.0006347859902148111,-7.297596161076003e-05,-7.297596161076003e-05,-7.297596161076003e-05,1.1425833364449397e-05,1.1425833364449397e-05,1.1425833364449397e-05,6.555708212289603e-05,6.555708212289603e-05,6.555708212289603e-05,0.0016158124623727593,0.0016158124623727593,0.0016158124623727593,-6.479778208921997e-06,-6.479778208921997e-06,-6.479778208921997e-06,6.0114173198327934e-05,6.0114173198327934e-05,6.0114173198327934e-05,0.0003825944781074084,0.0003825944781074084,0.0003825944781074084,0.00027235089768986047,0.00027235089768986047,0.00027235089768986047,0.000981026472157948,0.000981026472157948,0.000981026472157948,0.0,0.0,0.0,147.29244219203738
2025-08-21 00:00:00,147.066615512768,147.08276910089907,147.5053597339137,147.066615512768,147.066615512768,-1.5867186148881356e-05,-1.5867186148881356e-05,-1.5867186148881356e-05,0.0007639327076217898,0.0007639327076217898,0.0007639327076217898,-8.045175597026477e-06,-8.045175597026477e-06,-8.045175597026477e-06,2.9707166747568438e-06,2.9707166747568438e-06,2.9707166747568438e-06,0.00019320212922475103,0.00019320212922475103,0.00019320212922475103,0.0017195527076164056,0.0017195527076164056,0.0017195527076164056,-6.479778208921997e-06,-6.479778208921997e-06,-6.479778208921997e-06,-5.900535336282272e-05,-5.900535336282272e-05,-5.900535336282272e-05,0.0003848064573500739,0.0003848064573500739,0.0003848064573500739,0.00027235089768986047,0.00027235089768986047,0.00027235089768986047,0.0009556199999946153,0.0009556199999946153,0.0009556199999946153,0.0,0.0,0.0,147.31950430967296
2025-08-21 01:00:00,147.07840185911783,147.22966732034806,147.64726117574875,147.07840185911783,147.07840185911783,-1.5867186148881356e-05,-1.5867186148881356e-05,-1.5867186148881356e-05,0.001647349547649069,0.001647349547649069,0.001647349547649069,5.688561041670687e-05,5.688561041670687e-05,5.688561041670687e-05,2.9707166747568438e-06,2.9707166747568438e-06,2.9707166747568438e-06,0.0005562747597670157,0.0005562747597670157,0.0005562747597670157,0.002598904245562226,0.002598904245562226,0.002598904245562226,0.00026752227176835095,0.00026752227176835095,0.00026752227176835095,0.00011424742399846616,0.00011424742399846616,0.00011424742399846616,0.00036848035622654476,0.00036848035622654476,0.00036848035622654476,0.00029683559494610905,0.00029683559494610905,0.00029683559494610905,0.0009515546979131572,0.0009515546979131572,0.0009515546979131572,0.0,0.0,0.0,147.46064454214002
2025-08-21 02:00:00,147.09018820546765,147.15218503222843,147.56908822275662,147.09018820546765,147.09018820546765,-1.5867186148881356e-05,-1.5867186148881356e-05,-1.5867186148881356e-05,0.001133965478779016,0.001133965478779016,0.001133965478779016,0.00011739147066680165,0.00011739147066680165,0.00011739147066680165,2.9707166747568438e-06,2.9707166747568438e-06,2.9707166747568438e-06,0.00031425902142130326,0.00031425902142130326,0.00031425902142130326,0.002101820166562223,0.002101820166562223,0.002101820166562223,-6.479778208921997e-06,-6.479778208921997e-06,-6.479778208921997e-06,4.925960446391363e-05,4.925960446391363e-05,4.925960446391363e-05,0.00040008073222018344,0.00040008073222018344,0.00040008073222018344,0.00027235089768986047,0.00027235089768986047,0.00027235089768986047,0.0009678546877832073,0.0009678546877832073,0.0009678546877832073,0.0,0.0,0.0,147.39934532934132
2025-08-21 03:00:00,147.10197455181748,147.20548694765034,147.66589904014023,147.10197455181748,147.10197455181748,-1.5867186148881356e-05,-1.5867186148881356e-05,-1.5867186148881356e-05,0.0010251927319940872,0.0010251927319940872,0.0010251927319940872,0.0001693490307678757,0.0001693490307678757,0.0001693490307678757,2.9707166747568438e-06,2.9707166747568438e-06,2.9707166747568438e-06,0.0003067849817060127,0.0003067849817060127,0.0003067849817060127,0.0020283873229167194,0.0020283873229167194,0.0020283873229167194,-6.479778208921997e-06,-6.479778208921997e-06,-6.479778208921997e-06,-0.00011576657601205074,-0.00011576657601205074,-0.00011576657601205074,0.00039960829689731107,0.00039960829689731107,0.00039960829689731107,0.0002845932463179848,0.0002845932463179848,0.0002845932463179848,0.0010031945909226322,0.0010031945909226322,0.0010031945909226322,0.0,0.0,0.0,147.4003543321744
2025-08-21 04:00:00,147.1137608981673,147.37913474218865,147.7527173250217,147.1137608981673,147.1137608981673,-1.5867186148881356e-05,-1.5867186148881356e-05,-1.5867186148881356e-05,0.0019107637873808344,0.0019107637873808344,0.0019107637873808344,0.00020921746886296865,0.00020921746886296865,0.00020921746886296865,2.9707166747568438e-06,2.9707166747568438e-06,2.9707166747568438e-06,0.0005682742409947239,0.0005682742409947239,0.0005682742409947239,0.0029666825523387897,0.0029666825523387897,0.0029666825523387897,0.00026752227176835095,0.00026752227176835095,0.00026752227176835095,0.00010880585491469207,0.00010880585491469207,0.00010880585491469207,0.0005709436143931087,0.0005709436143931087,0.0005709436143931087,0.00019889680592111449,0.00019889680592111449,0.00019889680592111449,0.0010559187649579558,0.0010559187649579558,0.0010559187649579558,0.0,0.0,0.0,147.55020072583284
2025-08-21 05:00:00,147.12554724451712,147.19288883434135,147.63609019338764,147.12554724451712,147.12554724451712,-1.5867186148881356e-05,-1.5867186148881356e-05,-1.5867186148881356e-05,0.0010623267688939298,0.0010623267688939298,0.0010623267688939298,0.00023427981678160906,0.00023427981678160906,0.00023427981678160906,2.9707166747568438e-06,2.9707166747568438e-06,2.9707166747568438e-06,0.00013098254903748946,0.00013098254903748946,0.00013098254903748946,0.0021863918537666075,0.0021863918537666075,0.0021863918537666075,-6.479778208921997e-06,-6.479778208921997e-06,-6.479778208921997e-06,-5.356755450243387e-05,-5.356755450243387e-05,-5.356755450243387e-05,0.0005711113993391972,0.0005711113993391972,0.0005711113993391972,0.00019889680592111449,0.00019889680592111449,0.00019889680592111449,0.0011240650848726775,0.0011240650848726775,0.0011240650848726775,0.0,0.0,0.0,147.4472213424935
2025-08-21 06:00:00,147.13733359086694,147.27269647055152,147.6985809022372,147.13733359086694,147.13733359086694,-1.5867186148881356e-05,-1.5867186148881356e-05,-1.5867186148881356e-05,0.0011547676007587068,0.0011547676007587068,0.0011547676007587068,0.0002428281169306298,0.0002428281169306298,0.0002428281169306298,2.9707166747568438e-06,2.9707166747568438e-06,2.9707166747568438e-06,8.173256865624027e-05,8.173256865624027e-05,8.173256865624027e-05,0.0023601605586179865,0.0023601605586179865,0.0023601605586179865,-6.479778208921997e-06,-6.479778208921997e-06,-6.479778208921997e-06,5.330623891742736e-05,5.330623891742736e-05,5.330623891742736e-05,0.0005973801180163414,0.0005973801180163414,0.0005973801180163414,0.00019889680592111449,0.00019889680592111449,0.00019889680592111449,0.0012053929578592797,0.0012053929578592797,0.0012053929578592797,0.0,0.0,0.0,147.48460132230835
2025-08-21 07:00:00,147.14911993721677,147.40378814095598,147.83031359197375,147.14911993721677,147.14911993721677,-1.5867186148881356e-05,-1.5867186148881356e-05,-1.5867186148881356e-05,0.001816495693962301,0.001816495693962301,0.001816495693962301,0.00023427981678160906,0.00023427981678160906,0.00023427981678160906,2.9707166747568438e-06,2.9707166747568438e-06,2.9707166747568438e-06,0.0003428909197984196,0.0003428909197984196,0.0003428909197984196,0.00311391090037268,0.00311391090037268,0.00311391090037268,0.00026752227176835095,0.00026752227176835095,0.00026752227176835095,0.00018313752685802435,0.00018313752685802435,0.00018313752685802435,0.0005414530791682855,0.0005414530791682855,0.0005414530791682855,0.0002601085490617362,0.0002601085490617362,0.0002601085490617362,0.0012974152064103794,0.0012974152064103794,0.0012974152064103794,0.0,0.0,0.0,147.60732918576952
