ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_5,ma_5_lower,ma_5_upper,market_session,market_session_lower,market_session_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2024-09-10 23:00:00,0.8606471566638946,0.8466001279481694,0.8530649916099237,0.8606471566638946,0.8606471566638946,-0.011850715599743034,-0.011850715599743034,-0.011850715599743034,-0.0037347264038686974,-0.0037347264038686974,-0.0037347264038686974,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.012622771186529956,-0.012622771186529956,-0.012622771186529956,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,-0.0007720555867869216,-0.0007720555867869216,-0.0007720555867869216,0.0,0.0,0.0,0.8497834045329886
2024-09-11 23:00:00,0.8603128797233947,0.8466428666921412,0.8536018717699558,0.8603128797233947,0.8603128797233947,-0.011850715599743034,-0.011850715599743034,-0.011850715599743034,-0.0037347264038686974,-0.0037347264038686974,-0.0037347264038686974,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.01177091087750726,-0.01177091087750726,-0.01177091087750726,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,7.980472223577525e-05,7.980472223577525e-05,7.980472223577525e-05,0.0,0.0,0.0,0.8501862134893989
2024-09-12 23:00:00,0.8599786027828947,0.8464933083330597,0.8517286151492692,0.8599786027828947,0.8599786027828947,-0.011850715599743034,-0.011850715599743034,-0.011850715599743034,-0.0037347264038686974,-0.0037347264038686974,-0.0037347264038686974,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.012749789112552794,-0.012749789112552794,-0.012749789112552794,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,-0.000899073512809759,-0.000899073512809759,-0.000899073512809759,0.0,0.0,0.0,0.8490140569561051
2024-09-15 23:00:00,0.858975771961395,0.8457509843931267,0.8504304608166761,0.858975771961395,0.858975771961395,-0.011850715599743034,-0.011850715599743034,-0.011850715599743034,-0.0037347264038686974,-0.0037347264038686974,-0.0037347264038686974,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.012590082775107526,-0.012590082775107526,-0.012590082775107526,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,-0.0007393671753644907,-0.0007393671753644907,-0.0007393671753644907,0.0,0.0,0.0,0.8481611958905891
2024-09-16 23:00:00,0.858641495020895,0.8453513014718166,0.850724163039714,0.858641495020895,0.858641495020895,-0.011850715599743034,-0.011850715599743034,-0.011850715599743034,-0.0037347264038686974,-0.0037347264038686974,-0.0037347264038686974,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.012534108739057234,-0.012534108739057234,-0.012534108739057234,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,-0.0006833931393141984,-0.0006833931393141984,-0.0006833931393141984,0.0,0.0,0.0,0.8478791891544365
2024-09-17 23:00:00,0.8583072180803951,0.8443988082092206,0.8506131161602343,0.8583072180803951,0.8583072180803951,-0.011891275340566516,-0.011891275340566516,-0.011891275340566516,-0.0037752861446921798,-0.0037752861446921798,-0.0037752861446921798,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.012663330927353104,-0.012663330927353104,-0.012663330927353104,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,-0.0007720555867865857,-0.0007720555867865857,-0.0007720555867865857,0.0,0.0,0.0,0.8474381897405073
2024-09-18 23:00:00,0.8579729411398952,0.8440843390694983,0.8495565417524934,0.8579729411398952,0.8579729411398952,-0.012632445006469956,-0.012632445006469956,-0.012632445006469956,-0.004516455810595619,-0.004516455810595619,-0.004516455810595619,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.012552640284239983,-0.012552640284239983,-0.012552640284239983,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,7.980472222997238e-05,7.980472222997238e-05,7.980472222997238e-05,0.0,0.0,0.0,0.8472031154361547
2024-09-19 23:00:00,0.8576386641993953,0.8430042804116631,0.8490274179930704,0.8576386641993953,0.8576386641993953,-0.012926115534356124,-0.012926115534356124,-0.012926115534356124,-0.004810126338481787,-0.004810126338481787,-0.004810126338481787,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.01382518904716801,-0.01382518904716801,-0.01382518904716801,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,-0.0008990735128118857,-0.0008990735128118857,-0.0008990735128118857,0.0,0.0,0.0,0.845781647532678
2024-09-22 23:00:00,0.8566358333778955,0.8426758752440738,0.848772686734245,0.8566358333778955,0.8566358333778955,-0.012478616396338855,-0.012478616396338855,-0.012478616396338855,-0.004362627200464517,-0.004362627200464517,-0.004362627200464517,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.013217983571704443,-0.013217983571704443,-0.013217983571704443,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,-0.0007393671753655882,-0.0007393671753655882,-0.0007393671753655882,0.0,0.0,0.0,0.8453128350053731
2024-09-23 23:00:00,0.8563015559137139,0.8418224162168735,0.8477675120352401,0.8563015559137139,0.8563015559137139,-0.012095441039648162,-0.012095441039648162,-0.012095441039648162,-0.003979451843773825,-0.003979451843773825,-0.003979451843773825,-0.001220643066788503,-0.001220643066788503,-0.001220643066788503,-0.01277883417896987,-0.01277883417896987,-0.01277883417896987,-0.006895346129085834,-0.006895346129085834,-0.006895346129085834,-0.0006833931393217095,-0.0006833931393217095,-0.0006833931393217095,0.0,0.0,0.0,0.8453590203234987
