ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hour_sin,hour_sin_lower,hour_sin_upper,market_session,market_session_lower,market_session_upper,momentum_lag_10,momentum_lag_10_lower,momentum_lag_10_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,returns_lag_1,returns_lag_1_lower,returns_lag_1_upper,returns_lag_2,returns_lag_2_lower,returns_lag_2_upper,volatility_lag_20,volatility_lag_20_lower,volatility_lag_20_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,1.1687085357956886,1.1649352400740387,1.166926137810166,1.1687085357956886,1.1687085357956886,3.8073858333241396e-05,3.8073858333241396e-05,3.8073858333241396e-05,0.00011430647476069525,0.00011430647476069525,0.00011430647476069525,-0.0001531010005005071,-0.0001531010005005071,-0.0001531010005005071,0.00016337346797094387,0.00016337346797094387,0.00016337346797094387,-0.002536228287157118,-0.002536228287157118,-0.002536228287157118,4.3066726532760315e-05,4.3066726532760315e-05,4.3066726532760315e-05,-8.873728619079556e-05,-8.873728619079556e-05,-8.873728619079556e-05,-4.0834524239855366e-05,-4.0834524239855366e-05,-4.0834524239855366e-05,-0.0025743021454903594,-0.0025743021454903594,-0.0025743021454903594,0.0,0.0,0.0,1.1657444241477615
2025-08-20 23:00:00,1.1687393855279424,1.1639743370952955,1.1664767824183535,1.1687393855279424,1.1687393855279424,-0.0004948206448568588,-0.0004948206448568588,-0.0004948206448568588,6.184647591792312e-05,6.184647591792312e-05,6.184647591792312e-05,-0.0001531010005005071,-0.0001531010005005071,-0.0001531010005005071,-0.0004306389380752982,-0.0004306389380752982,-0.0004306389380752982,-0.003052308229792241,-0.003052308229792241,-0.003052308229792241,1.9027174022788722e-05,1.9027174022788722e-05,1.9027174022788722e-05,4.99122895170843e-05,4.99122895170843e-05,4.99122895170843e-05,-4.186664573884957e-05,-4.186664573884957e-05,-4.186664573884957e-05,-0.002557487584935382,-0.002557487584935382,-0.002557487584935382,0.0,0.0,0.0,1.1651720326830133
2025-08-21 00:00:00,1.1687702352601963,1.1641851108305399,1.1664846662479078,1.1687702352601963,1.1687702352601963,-0.0002787966529616918,-0.0002787966529616918,-0.0002787966529616918,5.549962736203378e-06,5.549962736203378e-06,5.549962736203378e-06,-3.866057143511129e-05,-3.866057143511129e-05,-3.866057143511129e-05,-0.00019325396963993538,-0.00019325396963993538,-0.00019325396963993538,-0.0028334366529528124,-0.0028334366529528124,-0.0028334366529528124,-2.898458010069969e-05,-2.898458010069969e-05,-2.898458010069969e-05,2.2155489211839293e-05,2.2155489211839293e-05,2.2155489211839293e-05,-4.5602983733988124e-05,-4.5602983733988124e-05,-4.5602983733988124e-05,-0.0025546399999911203,-0.0025546399999911203,-0.0025546399999911203,0.0,0.0,0.0,1.1654585988367299
2025-08-21 01:00:00,1.1688010849924504,1.1636308870726868,1.1665476889284478,1.1688010849924504,1.1688010849924504,-0.0006947622963297993,-0.0006947622963297993,-0.0006947622963297993,-5.074655044551618e-05,-5.074655044551618e-05,-5.074655044551618e-05,-3.866057143511129e-05,-3.866057143511129e-05,-3.866057143511129e-05,-0.00043053431430092794,-0.00043053431430092794,-0.00043053431430092794,-0.003259562614836873,-0.003259562614836873,-0.003259562614836873,-0.00010100920251247986,-0.00010100920251247986,-0.00010100920251247986,-3.328034600004362e-05,-3.328034600004362e-05,-3.328034600004362e-05,-4.0531311635720405e-05,-4.0531311635720405e-05,-4.0531311635720405e-05,-0.002564800318507074,-0.002564800318507074,-0.002564800318507074,0.0,0.0,0.0,1.1649913046716283
2025-08-21 02:00:00,1.1688319347247043,1.1644088932974395,1.1666818732438946,1.1688319347247043,1.1688319347247043,-0.00041018925939516234,-0.00041018925939516234,-0.00041018925939516234,-0.00010320654928828838,-0.00010320654928828838,-0.00010320654928828838,-3.866057143511129e-05,-3.866057143511129e-05,-3.866057143511129e-05,-0.00010446249707638386,-0.00010446249707638386,-0.00010446249707638386,-0.0029969403757489337,-0.0029969403757489337,-0.0029969403757489337,-4.980101284269567e-06,-4.980101284269567e-06,-4.980101284269567e-06,-0.00011644217110120559,-0.00011644217110120559,-0.00011644217110120559,-4.243736920990367e-05,-4.243736920990367e-05,-4.243736920990367e-05,-0.0025867511163537717,-0.0025867511163537717,-0.0025867511163537717,0.0,0.0,0.0,1.165329015107063
2025-08-21 03:00:00,1.168862784456958,1.1640020415206291,1.166958716535458,1.168862784456958,1.168862784456958,-0.0005332075112684753,-0.0005332075112684753,-0.0005332075112684753,-0.00014825497156522547,-0.00014825497156522547,-0.00014825497156522547,-3.866057143511129e-05,-3.866057143511129e-05,-3.866057143511129e-05,-0.000312191396325337,-0.000312191396325337,-0.000312191396325337,-0.0031522441999056123,-0.0031522441999056123,-0.0031522441999056123,1.9017279174995978e-05,1.9017279174995978e-05,1.9017279174995978e-05,-5.564042850774963e-06,-5.564042850774963e-06,-5.564042850774963e-06,-4.755380826702259e-05,-4.755380826702259e-05,-4.755380826702259e-05,-0.0026190366886371364,-0.0026190366886371364,-0.0026190366886371364,0.0,0.0,0.0,1.165178243524168
2025-08-21 04:00:00,1.168893634189212,1.1632856208942972,1.1659749907103982,1.168893634189212,1.168893634189212,-0.0008436753339634278,-0.0008436753339634278,-0.0008436753339634278,-0.0001828218417441919,-0.0001828218417441919,-0.0001828218417441919,-3.866057143511129e-05,-3.866057143511129e-05,-3.866057143511129e-05,-0.0005795104801115143,-0.0005795104801115143,-0.0005795104801115143,-0.0035036617359363517,-0.0035036617359363517,-0.0035036617359363517,-4.980101284269567e-06,-4.980101284269567e-06,-4.980101284269567e-06,2.214406431887924e-05,2.214406431887924e-05,2.214406431887924e-05,-5.984640370721994e-05,-5.984640370721994e-05,-5.984640370721994e-05,-0.002659986401972924,-0.002659986401972924,-0.002659986401972924,0.0,0.0,0.0,1.1647982262897236
2025-08-21 05:00:00,1.1689244839214659,1.1639604565077808,1.1666201986342348,1.1689244839214659,1.1689244839214659,-0.0005954004581110438,-0.0005954004581110438,-0.0005954004581110438,-0.00020455148474694506,-0.00020455148474694506,-0.00020455148474694506,-3.866057143511129e-05,-3.866057143511129e-05,-3.866057143511129e-05,-0.0002532095588134597,-0.0002532095588134597,-0.0002532095588134597,-0.0033031414665646627,-0.0033031414665646627,-0.0033031414665646627,-2.8974687557504855e-05,-2.8974687557504855e-05,-2.8974687557504855e-05,-5.564042850774963e-06,-5.564042850774963e-06,-5.564042850774963e-06,-6.4440112707248e-05,-6.4440112707248e-05,-6.4440112707248e-05,-0.0027077410084536185,-0.0027077410084536185,-0.0027077410084536185,0.0,0.0,0.0,1.1650633609873422
2025-08-21 06:00:00,1.1689553336537197,1.163479177244581,1.1660156367925962,1.1689553336537197,1.1689553336537197,-0.00044549340226853563,-0.00044549340226853563,-0.00044549340226853563,-0.00021196306131278017,-0.00021196306131278017,-0.00021196306131278017,-3.866057143511129e-05,-3.866057143511129e-05,-3.866057143511129e-05,-0.00013463196978380496,-0.00013463196978380496,-0.00013463196978380496,-0.003205774965280745,-0.003205774965280745,-0.003205774965280745,4.303574696322202e-05,4.303574696322202e-05,4.303574696322202e-05,-3.3268923768042584e-05,-3.3268923768042584e-05,-3.3268923768042584e-05,-7.000462293201863e-05,-7.000462293201863e-05,-7.000462293201863e-05,-0.0027602815630122087,-0.0027602815630122087,-0.0027602815630122087,0.0,0.0,0.0,1.1652079259095613
2025-08-21 07:00:00,1.1689861833859736,1.1628590076329497,1.165702588950132,1.1689861833859736,1.1689861833859736,-0.0010127834037531556,-0.0010127834037531556,-0.0010127834037531556,-0.00020455148474694506,-0.00020455148474694506,-0.00020455148474694506,-3.866057143511129e-05,-3.866057143511129e-05,-3.866057143511129e-05,-0.00046003427165267714,-0.00046003427165267714,-0.00046003427165267714,-0.0038282439561124356,-0.0038282439561124356,-0.0038282439561124356,-0.00034061217624980074,-0.00034061217624980074,-0.00034061217624980074,4.9876519561513775e-05,4.9876519561513775e-05,4.9876519561513775e-05,-1.8801419230135163e-05,-1.8801419230135163e-05,-1.8801419230135163e-05,-0.00281546055235928,-0.00281546055235928,-0.00281546055235928,0.0,0.0,0.0,1.1645110190946473
