,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr,atr_lower,atr_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2025-08-11 13:00:00,1.1015240013999936,1.1602426036421156,1.162354323595139,1.1015240013999936,1.1015240013999936,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,0.00015480313590701949,0.00015480313590701949,0.00015480313590701949,-0.00013604726302385542,-0.00013604726302385542,-0.00013604726302385542,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.00010377792250057386,-0.00010377792250057386,-0.00010377792250057386,0.05421884497546692,0.05421884497546692,0.05421884497546692,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.0018313583407190163,0.0018313583407190163,0.0018313583407190163,0.05236873076186474,0.05236873076186474,0.05236873076186474,0.0,0.0,0.0,1.161247360468656
1,2025-08-11 14:00:00,1.101512636618342,1.160429058399101,1.1625042298514658,1.101512636618342,1.101512636618342,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,0.00021719982045314014,0.00021719982045314014,0.00021719982045314014,-0.0001431086902266839,-0.0001431086902266839,-0.0001431086902266839,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.00011083934970340236,-0.00011083934970340236,-0.00011083934970340236,0.05441091935752048,0.05441091935752048,0.05441091935752048,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.0019380988213007655,0.0019380988213007655,0.0019380988213007655,0.05239872940599326,0.05239872940599326,0.05239872940599326,0.0,0.0,0.0,1.1614469518606725
2,2025-08-11 15:00:00,1.1015012718366903,1.160313350419231,1.1624334505824752,1.1015012718366903,1.1015012718366903,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,0.0002516431775839888,0.0002516431775839888,0.0002516431775839888,-0.0003007918552817194,-0.0003007918552817194,-0.0003007918552817194,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.0002685225147584378,-0.0002685225147584378,-0.0002685225147584378,0.05441037526077548,0.05441037526077548,0.05441037526077548,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.0020305626071560976,0.0020305626071560976,0.0020305626071560976,0.052428961331317116,0.052428961331317116,0.052428961331317116,0.0,0.0,0.0,1.161434369387546
3,2025-08-11 16:00:00,1.1014899070550386,1.1604469872259708,1.1624457869198408,1.1014899070550386,1.1014899070550386,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,0.00021055489245225292,0.00021055489245225292,0.00021055489245225292,-0.00028921793543020577,-0.00028921793543020577,-0.00028921793543020577,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.00025694859490692424,-0.00025694859490692424,-0.00025694859490692424,0.05448892554904303,0.05448892554904303,0.05448892554904303,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.0021081564846550166,0.0021081564846550166,0.0021081564846550166,0.052459432107365964,0.052459432107365964,0.052459432107365964,0.0,0.0,0.0,1.161508908593583
4,2025-08-11 17:00:00,1.1014785422733868,1.1604691341323374,1.1624543546830683,1.1014785422733868,1.1014785422733868,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,6.380750324289756e-05,6.380750324289756e-05,6.380750324289756e-05,-0.00027970421229411033,-0.00027970421229411033,-0.00027970421229411033,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.0002474348717708288,-0.0002474348717708288,-0.0002474348717708288,0.05444467218346112,0.05444467218346112,0.05444467218346112,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.0021704215793286524,0.0021704215793286524,0.0021704215793286524,0.05249014731318368,0.05249014731318368,0.05249014731318368,0.0,0.0,0.0,1.161448180424578
5,2025-08-11 18:00:00,1.101467177491735,1.1602958509910828,1.1624749750009533,1.101467177491735,1.101467177491735,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,-0.0001565705999882118,-0.0001565705999882118,-0.0001565705999882118,-0.00021758194280166606,-0.00021758194280166606,-0.00021758194280166606,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.00018531260227838453,-0.00018531260227838453,-0.00018531260227838453,0.054363995410210815,0.054363995410210815,0.054363995410210815,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.0022170354158664177,0.0022170354158664177,0.0022170354158664177,0.052521112537134276,0.052521112537134276,0.052521112537134276,0.0,0.0,0.0,1.1613473340733937
6,2025-08-11 19:00:00,1.1014558127100835,1.1601748791151882,1.1622673203113547,1.1014558127100835,1.1014558127100835,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,-0.0003531208316583807,-0.0003531208316583807,-0.0003531208316583807,-0.0001763379197095876,-0.0001763379197095876,-0.0001763379197095876,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.00014406857918630606,-0.00014406857918630606,-0.00014406857918630606,0.05427068719477079,0.05427068719477079,0.05427068719477079,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.0022478125694826846,0.0022478125694826846,0.0022478125694826846,0.05255233337665607,0.05255233337665607,0.05255233337665607,0.0,0.0,0.0,1.1612325765805345
7,2025-08-11 20:00:00,1.1014444479284318,1.1600260101453996,1.162111705478046,1.1014444479284318,1.1014444479284318,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,-0.00042055682516117256,-0.00042055682516117256,-0.00042055682516117256,-0.00023761035979117198,-0.00023761035979117198,-0.00023761035979117198,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.00020534101926789042,-0.00020534101926789042,-0.00020534101926789042,0.05418835217351723,0.05418835217351723,0.05418835217351723,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.002262703920541796,0.002262703920541796,0.002262703920541796,0.05258381543792777,0.05258381543792777,0.05258381543792777,0.0,0.0,0.0,1.1611299075723427
8,2025-08-11 21:00:00,1.10143308314678,1.1602712988010029,1.1623529313403915,1.10143308314678,1.10143308314678,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,-0.00032514134286776563,-0.00032514134286776563,-0.00032514134286776563,-0.00013827412375818602,-0.00013827412375818602,-0.00013827412375818602,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-0.00010600478323490447,-0.00010600478323490447,-0.00010600478323490447,0.054413943409390216,0.054413943409390216,0.054413943409390216,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.00226179454031265,0.00226179454031265,0.00226179454031265,0.05261556433570352,0.05261556433570352,0.05261556433570352,0.0,0.0,0.0,1.1613664006023592
9,2025-08-11 22:00:00,1.1014217183651283,1.160607802923871,1.1626777275206979,1.1014217183651283,1.1014217183651283,6.606966230690448e-07,6.606966230690448e-07,6.606966230690448e-07,-0.00013749422045646861,-0.00013749422045646861,-0.00013749422045646861,-8.397291122850959e-05,-8.397291122850959e-05,-8.397291122850959e-05,-5.038565636396789e-05,-5.038565636396789e-05,-5.038565636396789e-05,-5.170357070522803e-05,-5.170357070522803e-05,-5.170357070522803e-05,0.05467141881210296,0.05467141881210296,0.05467141881210296,1.745561921761729e-05,1.745561921761729e-05,1.745561921761729e-05,0.0,0.0,0.0,0.002245300250791625,0.002245300250791625,0.002245300250791625,0.05264758569299632,0.05264758569299632,0.05264758569299632,0.0,0.0,0.0,1.1616380064186143
