,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,adx,adx_lower,adx_upper,cci,cci_lower,cci_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_10,ma_10_lower,ma_10_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,momentum_10,momentum_10_lower,momentum_10_upper,momentum_20,momentum_20_lower,momentum_20_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volatility_14,volatility_14_lower,volatility_14_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2025-08-11 12:00:00,62449.238506375,119981.44735146563,120554.36205481266,62449.238506375,62449.238506375,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-0.00016891959999890355,-0.00016891959999890355,-0.00016891959999890355,-0.0008671969273656255,-0.0008671969273656255,-0.0008671969273656255,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,8.934121613282584e-05,8.934121613282584e-05,8.934121613282584e-05,0.9259044181620965,0.9259044181620965,0.9259044181620965,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,3.603714627580297e-05,3.603714627580297e-05,3.603714627580297e-05,-0.00015927946854631982,-0.00015927946854631982,-0.00015927946854631982,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9270998141580071,0.9270998141580071,0.9270998141580071,0.0,0.0,0.0,120271.26435028613
1,2025-08-11 13:00:00,62425.78867331552,119803.95850301078,120413.03323894137,62425.78867331552,62425.78867331552,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-0.00015649673997154929,-0.00015649673997154929,-0.00015649673997154929,-0.0009850418895567003,-0.0009850418895567003,-0.0009850418895567003,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,8.934121613282584e-05,8.934121613282584e-05,8.934121613282584e-05,0.9240619072751164,0.9240619072751164,0.9240619072751164,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,-8.180781591527199e-05,-8.180781591527199e-05,-8.180781591527199e-05,-0.0006307919568143749,-0.0006307919568143749,-0.0006307919568143749,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9258342378614589,0.9258342378614589,0.9258342378614589,0.0,0.0,0.0,120111.08201793281
2,2025-08-11 14:00:00,62402.338840256045,119676.76917828481,120249.74426643198,62402.338840256045,62402.338840256045,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-8.657864630963078e-05,-8.657864630963078e-05,-8.657864630963078e-05,-0.0009706995866698158,-0.0009706995866698158,-0.0009706995866698158,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,8.934121613282584e-05,8.934121613282584e-05,8.934121613282584e-05,0.9224311754608594,0.9224311754608594,0.9224311754608594,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,-6.746551302838748e-05,-6.746551302838748e-05,-6.746551302838748e-05,-0.001079103420755362,-0.001079103420755362,-0.001079103420755362,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9245675571145943,0.9245675571145943,0.9245675571145943,0.0,0.0,0.0,119964.20160818027
3,2025-08-11 15:00:00,62378.88900719659,119527.08246063237,120128.60646443118,62378.88900719659,62378.88900719659,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-1.9299921574136467e-05,-1.9299921574136467e-05,-1.9299921574136467e-05,-0.0008671969273656255,-0.0008671969273656255,-0.0008671969273656255,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,8.934121613282584e-05,8.934121613282584e-05,8.934121613282584e-05,0.9209122703821707,0.9209122703821707,0.9209122703821707,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,3.603714627580297e-05,3.603714627580297e-05,3.603714627580297e-05,-0.0015010752644391146,-0.0015010752644391146,-0.0015010752644391146,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9232998424955494,0.9232998424955494,0.9232998424955494,0.0,0.0,0.0,119824.37330673143
4,2025-08-11 16:00:00,62355.439174137115,119374.23293350484,119953.45280440057,62355.439174137115,62355.439174137115,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-1.013234440067259e-05,-1.013234440067259e-05,-1.013234440067259e-05,-0.000942438622048494,-0.000942438622048494,-0.000942438622048494,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,8.934121613282584e-05,8.934121613282584e-05,8.934121613282584e-05,0.9191847715607631,0.9191847715607631,0.9191847715607631,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,-3.920454840706571e-05,-3.920454840706571e-05,-3.920454840706571e-05,-0.0018938218628559488,-0.0018938218628559488,-0.0018938218628559488,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.922031164390068,0.922031164390068,0.922031164390068,0.0,0.0,0.0,119671.6092869874
5,2025-08-11 17:00:00,62331.98934107764,119252.7521759511,119802.2493193435,62331.98934107764,62331.98934107764,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-5.84674308183965e-05,-5.84674308183965e-05,-5.84674308183965e-05,-0.0008675408626313927,-0.0008675408626313927,-0.0008675408626313927,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,0.00018989025210427237,0.00018989025210427237,0.00018989025210427237,0.9175808561955107,0.9175808561955107,0.9175808561955107,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,-6.485582496141098e-05,-6.485582496141098e-05,-6.485582496141098e-05,-0.0022547284975033147,-0.0022547284975033147,-0.0022547284975033147,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9207615929864638,0.9207615929864638,0.9207615929864638,0.0,0.0,0.0,119526.6294890331
6,2025-08-11 18:00:00,62308.53950801817,119061.80625188965,119597.924488847,62308.53950801817,62308.53950801817,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-0.00011318009999893948,-0.00011318009999893948,-0.00011318009999893948,-0.0015787150786533424,-0.0015787150786533424,-0.0015787150786533424,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,-0.0005588420947981791,-0.0005588420947981791,-0.0005588420947981791,0.9152178364535796,0.9152178364535796,0.9152178364535796,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,-2.7297694080909205e-05,-2.7297694080909205e-05,-2.7297694080909205e-05,-0.0025814666410924857,-0.0025814666410924857,-0.0025814666410924857,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9194911982733243,0.9194911982733243,0.9194911982733243,0.0,0.0,0.0,119334.42622912893
7,2025-08-11 19:00:00,62285.0896749587,118728.0330019057,119325.10642774815,62285.0896749587,62285.0896749587,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-0.00012822481163076005,-0.00012822481163076005,-0.00012822481163076005,-0.004056808950889429,-0.004056808950889429,-0.004056808950889429,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,-0.0031002708073909783,-0.0031002708073909783,-0.0031002708073909783,0.911163009768479,0.911163009768479,0.911163009768479,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,3.603714627580297e-05,3.603714627580297e-05,3.603714627580297e-05,-0.0028720065047235827,-0.0028720065047235827,-0.0028720065047235827,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9182200500357227,0.9182200500357227,0.9182200500357227,0.0,0.0,0.0,119036.95944689368
8,2025-08-11 20:00:00,62261.63984189924,118564.66394436955,119149.39200269102,62261.63984189924,62261.63984189924,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-0.00010950291689891528,-0.00010950291689891528,-0.00010950291689891528,-0.004739139310164611,-0.004739139310164611,-0.004739139310164611,-0.0010003398802606604,-0.0010003398802606604,-0.0010003398802606604,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,-0.003723750187216744,-0.003723750187216744,-0.003723750187216744,0.9089749488356694,0.9089749488356694,0.9089749488356694,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,-2.2813833173612943e-05,-2.2813833173612943e-05,-2.2813833173612943e-05,-0.00312462678887043,-0.00312462678887043,-0.00312462678887043,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9169482178516035,0.9169482178516035,0.9169482178516035,0.0,0.0,0.0,118855.91073161447
9,2025-08-11 21:00:00,62238.19000883977,119079.5745731269,119679.03592881733,62238.19000883977,62238.19000883977,3.112653172556514e-05,3.112653172556514e-05,3.112653172556514e-05,3.333531204996194e-05,3.333531204996194e-05,3.333531204996194e-05,-0.0001031744047249584,-0.0001031744047249584,-0.0001031744047249584,0.005891172657719909,0.005891172657719909,0.005891172657719909,0.009334127004323593,0.009334127004323593,0.009334127004323593,-0.0005456606879781971,-0.0005456606879781971,-0.0005456606879781971,-0.000379145600376251,-0.000379145600376251,-0.000379145600376251,0.00022121091220964387,0.00022121091220964387,0.00022121091220964387,0.0003965658190180797,0.0003965658190180797,0.0003965658190180797,-0.003482047712170435,-0.003482047712170435,-0.003482047712170435,0.9181258477316581,0.9181258477316581,0.9181258477316581,0.0002405904667306884,0.0002405904667306884,0.0002405904667306884,-1.7725235836857276e-05,-1.7725235836857276e-05,-1.7725235836857276e-05,3.132877508034339e-05,3.132877508034339e-05,3.132877508034339e-05,-0.0033379216102323644,-0.0033379216102323644,-0.0033379216102323644,2.746707294377229e-05,2.746707294377229e-05,2.746707294377229e-05,0.9156757710888954,0.9156757710888954,0.9156757710888954,0.0,0.0,0.0,119380.68097198979
