,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,cci,cci_lower,cci_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_10,ma_10_lower,ma_10_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,momentum_10,momentum_10_lower,momentum_10_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volatility_14,volatility_14_lower,volatility_14_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2024-09-11,356.5187409960937,2288.6921207152413,2383.8862792150485,356.5187409960937,356.5187409960937,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.32294426924136194,0.32294426924136194,0.32294426924136194,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,0.010627665679134963,0.010627665679134963,0.010627665679134963,5.560291685937405,5.560291685937405,5.560291685937405,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.0019149634192320484,0.0019149634192320484,0.0019149634192320484,0.00998477883028136,0.00998477883028136,0.00998477883028136,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.5736026378657617,0.5736026378657617,0.5736026378657617,0.0,0.0,0.0,2338.8669324375446
1,2024-09-12,358.4629356785263,2296.623380050637,2392.469217166725,358.4629356785263,358.4629356785263,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.3236907801640031,0.3236907801640031,0.3236907801640031,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,0.010627665679134963,0.010627665679134963,0.010627665679134963,5.541084041525965,5.541084041525965,5.541084041525965,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.002661474341873185,0.002661474341873185,0.002661474341873185,-0.004586249999938663,-0.004586249999938663,-0.004586249999938663,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.5682195113619002,0.5682195113619002,0.5682195113619002,0.0,0.0,0.0,2344.736188045357
2,2024-09-13,360.40713036095894,2306.331790190191,2405.6115531012847,360.40713036095894,360.40713036095894,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.3233173532959711,0.3233173532959711,0.3233173532959711,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,0.010627665679134963,0.010627665679134963,0.010627665679134963,5.545728624240721,5.545728624240721,5.545728624240721,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.002288047473841255,0.002288047473841255,0.002288047473841255,-0.0009148763703441896,-0.0009148763703441896,-0.0009148763703441896,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.5695661473150937,0.5695661473150937,0.5695661473150937,0.0,0.0,0.0,2359.127269584186
3,2024-09-14,362.35132504339157,2328.4323911679253,2427.2505680395357,362.35132504339157,362.35132504339157,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.32462430700752787,0.32462430700752787,0.32462430700752787,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,0.010627665679134963,0.010627665679134963,0.010627665679134963,5.566664754003595,5.566664754003595,5.566664754003595,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.003595001185397982,0.003595001185397982,0.003595001185397982,0.011516114075691603,0.011516114075691603,0.011516114075691603,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.5767643329203755,0.5767643329203755,0.5767643329203755,0.0,0.0,0.0,2379.4396747289397
4,2024-09-15,364.2955197258242,2335.4155524373664,2434.8413963963612,364.2955197258242,364.2955197258242,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.324160114025985,0.324160114025985,0.324160114025985,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,0.010627665679134963,0.010627665679134963,0.010627665679134963,5.547655195539727,5.547655195539727,5.547655195539727,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.0031308082038551052,0.0031308082038551052,0.0031308082038551052,-0.019166771309881342,-0.019166771309881342,-0.019166771309881342,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.5889018528236238,0.5889018528236238,0.5889018528236238,0.0,0.0,0.0,2385.281452444638
5,2024-09-16,366.23971440825676,2346.096548109976,2448.284490466902,366.23971440825676,366.23971440825676,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.2800870136053005,0.2800870136053005,0.2800870136053005,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,-0.031887298372027764,-0.031887298372027764,-0.031887298372027764,5.547503829374013,5.547503829374013,5.547503829374013,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.0015726718343333777,0.0015726718343333777,0.0015726718343333777,0.008608464001257407,0.008608464001257407,0.008608464001257407,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.6050483517674551,0.6050483517674551,0.6050483517674551,0.0,0.0,0.0,2397.955932556906
6,2024-09-17,368.1839090906894,2368.6335249574054,2463.5527272641966,368.1839090906894,368.1839090906894,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.2947911760841632,0.2947911760841632,0.2947911760841632,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,-0.017525052673984274,-0.017525052673984274,-0.017525052673984274,5.56738035425258,5.56738035425258,5.56738035425258,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.0019145886151525886,0.0019145886151525886,0.0019145886151525886,-0.005441459226947344,-0.005441459226947344,-0.005441459226947344,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.6242706373953646,0.6242706373953646,0.6242706373953646,0.0,0.0,0.0,2418.0037713141114
7,2024-09-18,370.128103773122,2386.3266181649437,2481.524511427813,370.128103773122,370.128103773122,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.26561281440459805,0.26561281440459805,0.26561281440459805,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,-0.04604816087055863,-0.04604816087055863,-0.04604816087055863,5.5750047976107195,5.5750047976107195,5.5750047976107195,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.0012593351321617304,0.0012593351321617304,0.0012593351321617304,0.009984778830291875,0.009984778830291875,0.009984778830291875,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.6456472043758302,0.6456472043758302,0.6456472043758302,0.0,0.0,0.0,2433.5940580388356
8,2024-09-19,372.07229845555463,2423.7476508537825,2524.8616421528354,372.07229845555463,372.07229845555463,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.33164448889616616,0.33164448889616616,0.33164448889616616,0.08553550298999411,0.08553550298999411,0.08553550298999411,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,0.020048539432977595,0.020048539432977595,0.020048539432977595,5.649100025185085,5.649100025185085,5.649100025185085,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.0011943093201936279,0.0011943093201936279,0.0011943093201936279,-0.004586250000010375,-0.004586250000010375,-0.004586250000010375,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.6682817862889289,0.6682817862889289,0.6682817862889289,0.0,0.0,0.0,2473.945929031501
9,2024-09-20,374.01649290574244,2418.8879877916097,2514.1761125132016,374.01649290574244,374.01649290574244,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.25124117491865805,0.25124117491865805,0.25124117491865805,-0.10967692049258494,-0.10967692049258494,-0.10967692049258494,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.01721811394368665,0.01721811394368665,0.01721811394368665,0.13501563367606176,0.13501563367606176,0.13501563367606176,5.595402067429807,5.595402067429807,5.595402067429807,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.0010363245821804546,0.0010363245821804546,0.0010363245821804546,-0.0009148763703600475,-0.0009148763703600475,-0.0009148763703600475,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.6913157688815084,0.6913157688815084,0.6913157688815084,0.0,0.0,0.0,2466.7891505633793
10,2024-09-21,375.9606873559303,2503.2639539288703,2602.364385225858,375.9606873559303,375.9606873559303,0.0030378157174090125,0.0030378157174090125,0.0030378157174090125,4.65376,4.65376,4.65376,0.41095310694786413,0.41095310694786413,0.41095310694786413,-0.09839412091918219,-0.09839412091918219,-0.09839412091918219,0.1259283292891964,0.1259283292891964,0.1259283292891964,0.06118423658492693,0.06118423658492693,0.06118423658492693,0.11441594104635733,0.11441594104635733,0.11441594104635733,0.18430265675669077,0.18430265675669077,0.18430265675669077,5.790168547744653,5.790168547744653,5.790168547744653,0.012983598068645595,0.012983598068645595,0.012983598068645595,0.00011270978255149891,0.00011270978255149891,0.00011270978255149891,0.0029806068546840377,0.0029806068546840377,0.0029806068546840377,0.011516114075701495,0.011516114075701495,0.011516114075701495,0.004401333766584742,0.004401333766584742,0.004401333766584742,0.7139393267210868,0.7139393267210868,0.7139393267210868,0.0,0.0,0.0,2552.836434472699
