Date,LineNumber,UNIT_MULT,DataValue
2000-06-01,30,0,75.079
2000-07-01,14,0,64.459
2000-07-01,7,0,109.672
2000-07-01,29,0,63.912
2000-07-01,12,0,76.953
2000-07-01,4,0,97.076
2000-07-01,21,0,64.696
2000-07-01,28,0,65.72
2000-07-01,19,0,63.466
2000-07-01,20,0,58.633
2000-07-01,6,0,264.558
2000-07-01,27,0,62.584
2000-07-01,13,0,65.253
2000-07-01,26,0,77.483
2000-07-01,18,0,67.018
2000-07-01,23,0,66.597
2000-07-01,17,0,71.282
2000-07-01,22,0,86.706
2000-07-01,5,0,134.734
2000-07-01,10,0,105.654
2000-07-01,24,0,60.613
2000-07-01,9,0,72.08
2000-07-01,31,0,76.688
2000-07-01,15,0,63.055
2000-07-01,8,0,76.5
2000-07-01,25,0,74.925
2000-07-01,1,0,73.939
2000-07-01,11,0,60.989
2000-07-01,16,0,67.165
2000-07-01,3,0,140.188
2000-07-01,30,0,75.306
2000-07-01,2,0,94.389
2000-08-01,1,0,73.934
2000-08-01,31,0,76.796
2000-08-01,13,0,65.424
2000-08-01,18,0,67.229
2000-08-01,2,0,93.938
2000-08-01,28,0,65.901
2000-08-01,4,0,96.801
2000-08-01,17,0,72.205
2000-08-01,15,0,63.193
2000-08-01,30,0,75.297
2000-08-01,29,0,64.091
2000-08-01,14,0,64.628
2000-08-01,19,0,63.581
2000-08-01,3,0,139.611
2000-08-01,5,0,134.073
2000-08-01,22,0,86.907
2000-08-01,24,0,60.717
2000-08-01,16,0,67.327
2000-08-01,11,0,58.009
2000-08-01,12,0,76.893
2000-08-01,10,0,105.691
2000-08-01,26,0,77.557
2000-08-01,9,0,72.312
2000-08-01,8,0,76.108
2000-08-01,21,0,64.776
2000-08-01,25,0,75.021
2000-08-01,6,0,262.668
2000-08-01,27,0,60.754
2000-08-01,23,0,66.722
2000-08-01,20,0,58.681
2000-08-01,7,0,109.631
2000-09-01,8,0,76.849
2000-09-01,30,0,75.612
2000-09-01,2,0,94.564
2000-09-01,24,0,60.882
2000-09-01,3,0,139.818
2000-09-01,17,0,72.306
2000-09-01,22,0,87.729
2000-09-01,10,0,106.178
2000-09-01,31,0,76.949
2000-09-01,1,0,74.252
2000-09-01,9,0,72.325
2000-09-01,23,0,67.018
2000-09-01,15,0,63.497
2000-09-01,11,0,61.916
2000-09-01,16,0,67.498
2000-09-01,6,0,261.868
2000-09-01,4,0,96.936
2000-09-01,5,0,134.813
2000-09-01,20,0,58.89
2000-09-01,26,0,77.735
2000-09-01,7,0,110.038
2000-09-01,19,0,63.737
2000-09-01,12,0,77.1
2000-09-01,28,0,66.051
2000-09-01,14,0,64.804
2000-09-01,13,0,65.618
2000-09-01,18,0,67.54
2000-09-01,21,0,64.637
2000-09-01,29,0,64.289
2000-09-01,27,0,63.545
2000-09-01,25,0,75.203
2000-10-01,23,0,67.164
2000-10-01,31,0,77.076
2000-10-01,20,0,58.977
2000-10-01,19,0,63.883
2000-10-01,21,0,64.932
2000-10-01,28,0,66.245
2000-10-01,26,0,77.816
2000-10-01,17,0,72.966
2000-10-01,25,0,75.308
2000-10-01,24,0,61.057
2000-10-01,30,0,75.73
2000-10-01,18,0,67.577
2000-10-01,29,0,64.49
2000-10-01,22,0,87.743
2000-10-01,27,0,63.681
2000-10-01,16,0,67.67
2000-10-01,15,0,63.792
2000-10-01,3,0,139.555
2000-10-01,13,0,65.843
2000-10-01,2,0,94.348
2000-10-01,4,0,96.942
2000-10-01,12,0,76.852
2000-10-01,5,0,134.299
2000-10-01,11,0,61.396
2000-10-01,10,0,105.909
2000-10-01,6,0,260.325
2000-10-01,14,0,65.034
2000-10-01,1,0,74.353
2000-10-01,8,0,76.656
2000-10-01,9,0,72.354
2000-10-01,7,0,110.456
2000-11-01,29,0,64.656
2000-11-01,3,0,139.588
2000-11-01,13,0,65.949
2000-11-01,8,0,76.776
2000-11-01,19,0,64.036
2000-11-01,7,0,111.055
2000-11-01,28,0,66.344
2000-11-01,4,0,97.302
2000-11-01,12,0,77.302
2000-11-01,25,0,75.441
2000-11-01,24,0,61.214
2000-11-01,27,0,63.444
2000-11-01,23,0,67.464
2000-11-01,11,0,61.124
2000-11-01,18,0,67.728
2000-11-01,21,0,65.058
2000-11-01,5,0,134.064
2000-11-01,26,0,77.941
2000-11-01,10,0,105.806
2000-11-01,9,0,72.407
2000-11-01,22,0,88.606
2000-11-01,6,0,258.812
2000-11-01,16,0,67.808
2000-11-01,20,0,58.941
2000-11-01,30,0,75.815
2000-11-01,31,0,77.192
2000-11-01,17,0,72.622
2000-11-01,15,0,63.917
2000-11-01,1,0,74.457
2000-11-01,2,0,94.448
2000-11-01,14,0,65.117
2000-12-01,12,0,77.092
2000-12-01,20,0,58.93
2000-12-01,4,0,97.751
2000-12-01,27,0,63.785
2000-12-01,11,0,60.668
2000-12-01,17,0,72.433
2000-12-01,15,0,64.253
2000-12-01,5,0,133.461
2000-12-01,18,0,67.836
2000-12-01,10,0,105.66
2000-12-01,22,0,89.153
2000-12-01,1,0,74.571
2000-12-01,6,0,257.589
2000-12-01,25,0,75.515
2000-12-01,9,0,72.811
2000-12-01,31,0,77.214
2000-12-01,23,0,67.696
2000-12-01,7,0,110.609
2000-12-01,8,0,76.763
2000-12-01,16,0,67.956
2000-12-01,30,0,75.892
2000-12-01,26,0,77.983
2000-12-01,21,0,65.369
2000-12-01,24,0,61.365
2000-12-01,13,0,66.124
2000-12-01,28,0,66.456
2000-12-01,3,0,139.463
2000-12-01,19,0,64.003
2000-12-01,29,0,64.857
2000-12-01,14,0,65.282
2000-12-01,2,0,94.405
2025-01-01,2,0,114.942
2025-01-01,18,0,128.997
2025-01-01,5,0,109.909
2025-01-01,26,0,121.652
2025-01-01,13,0,130.293
2025-01-01,15,0,137.742
2025-01-01,10,0,103.281
2025-01-01,16,0,118.903
2025-01-01,23,0,129.914
2025-01-01,31,0,121.943
2025-01-01,22,0,148.758
2025-01-01,14,0,129.492
2025-01-01,24,0,123.531
2025-01-01,6,0,84.449
2025-01-01,25,0,124.407
2025-01-01,7,0,96.632
2025-01-01,9,0,128.608
2025-01-01,29,0,138.32
2025-01-01,8,0,120.458
2025-01-01,1,0,125.239
2025-01-01,28,0,127.854
2025-01-01,21,0,119.036
2025-01-01,19,0,136.323
2025-01-01,30,0,123.213
2025-01-01,3,0,105.21
2025-01-01,12,0,114.689
2025-01-01,20,0,138.323
2025-01-01,11,0,139.364
2025-01-01,17,0,136.019
2025-01-01,4,0,126.522
2025-01-01,27,0,136.703
2025-02-01,20,0,140.548
2025-02-01,9,0,128.593
2025-02-01,29,0,138.708
2025-02-01,23,0,130.292
2025-02-01,31,0,122.404
2025-02-01,21,0,119.674
2025-02-01,2,0,115.203
2025-02-01,30,0,123.623
2025-02-01,24,0,124.183
2025-02-01,28,0,128.572
2025-02-01,8,0,120.617
2025-02-01,18,0,130.269
2025-02-01,12,0,115.182
2025-02-01,16,0,119.338
2025-02-01,7,0,97.692
2025-02-01,25,0,124.999
2025-02-01,13,0,130.965
2025-02-01,15,0,138.296
2025-02-01,1,0,125.772
2025-02-01,27,0,136.866
2025-02-01,10,0,103.665
2025-02-01,11,0,138.288
2025-02-01,3,0,105.637
2025-02-01,26,0,122.282
2025-02-01,14,0,130.211
2025-02-01,5,0,110.236
2025-02-01,4,0,126.664
2025-02-01,19,0,136.815
2025-02-01,6,0,84.884
2025-02-01,22,0,148.273
2025-02-01,17,0,135.738
2025-03-01,26,0,122.322
2025-03-01,5,0,110.236
2025-03-01,24,0,124.45
2025-03-01,7,0,98.602
2025-03-01,25,0,125.118
2025-03-01,27,0,133.114
2025-03-01,30,0,123.618
2025-03-01,2,0,114.647
2025-03-01,1,0,125.791
2025-03-01,29,0,139.244
2025-03-01,28,0,128.779
2025-03-01,4,0,126.178
2025-03-01,3,0,105.582
2025-03-01,6,0,84.77
2025-03-01,31,0,122.511
2025-03-01,8,0,119.757
2025-03-01,14,0,130.551
2025-03-01,22,0,148.048
2025-03-01,16,0,119.63
2025-03-01,19,0,136.594
2025-03-01,13,0,131.283
2025-03-01,15,0,138.955
2025-03-01,17,0,134.935
2025-03-01,21,0,120.254
2025-03-01,11,0,130.138
2025-03-01,10,0,103.985
2025-03-01,9,0,129.173
2025-03-01,23,0,130.441
2025-03-01,18,0,130.732
2025-03-01,12,0,114.338
2025-03-01,20,0,140.926
2025-04-01,8,0,119.655
2025-04-01,12,0,114.483
2025-04-01,27,0,133.807
2025-04-01,11,0,129.759
2025-04-01,21,0,120.52
2025-04-01,5,0,110.718
2025-04-01,4,0,126.22
