Datetime,ETH_volatility,ETH_returns,ETH_momentum_20,ETH_volatility_raw,BTC_volatility,BTC_returns,BTC_momentum_20,BTC_volatility_raw,EURUSD_volatility,EURUSD_returns,EURUSD_momentum_20,USDJPY_volatility,USDJPY_returns,USDJPY_momentum_20,GBPUSD_volatility,GBPUSD_returns,GBPUSD_momentum_20,AUDUSD_volatility,AUDUSD_returns,AUDUSD_momentum_20,USDCAD_volatility,USDCAD_returns,USDCAD_momentum_20,USDCHF_volatility,USDCHF_returns,USDCHF_momentum_20,NZDUSD_volatility,NZDUSD_returns,NZDUSD_momentum_20,market_volatility,market_momentum,market_rsi,crypto_sentiment,forex_sentiment,volatility_regime,vol_regime_duration,trend_regime,trend_regime_duration,risk_sentiment,risk_sentiment_duration
2025-08-12 08:00:00+00:00,0.0057059341867827,-0.00040103553670767234,0.0015650582618090825,0.007397465738583373,0.002283698690629,-0.0016880327250161642,-0.00030116320889598814,0.0024708445480334765,0.0006849917017627,-0.00046478266282723446,-2.3021306476583846e-05,0.000668430671837,0.0010723882663021822,0.00020852041479526572,0.0006532811744296,0.0008620339927674081,0.0001736748354795925,0.0008680722167518,-0.001448277220953642,-0.00010560610409386384,0.0003526491369647,0.0006677000820654033,7.852889761184034e-07,0.0008064887287814,-3.701649139886687e-05,-9.466880645962461e-05,0.0007603728944413,-0.0020734435367920634,-5.603498876171065e-05,0.002059293608090641,0.00015194937626358755,,0.002129096244402226,0.00016554944226623245,normal_volatility,1,weak_uptrend,1,neutral,1
2025-08-12 09:00:00+00:00,0.0052614130886409,-0.005304922313215665,0.00017077587520762384,0.005649338048285247,0.0018711462143016,-0.003197127083434337,-0.000665517157213652,0.002322045625490834,0.000701246882421,-0.0006965747483498319,-5.203513282119321e-05,0.0006641150453754,0.00030317516616040763,0.00019628053824490843,0.0006805440387382,-0.0007268585426897234,0.00014471633802424222,0.0008538662756359,-0.00034407810288417107,-0.00015211241417835143,0.0003209955942953,0.00015950824774346728,4.0308346347589505e-05,0.0008463188919947,0.0010865441544711807,-5.205024415302906e-05,0.0007352004110822,-0.0001776819229972748,-0.00010350080131856786,0.0018096572832964806,-5.257051687338107e-05,,0.0007633940372578187,0.00021085371529249298,low_volatility,1,sideways,1,risk_off,1
2025-08-12 10:00:00+00:00,0.0052478287798467,-0.0023485047071440945,-1.19864858149632e-06,0.005672156700011681,0.0018635158706074,0.0005069668191701737,-0.0007268362028446773,0.0022709954606364787,0.0005596728008194,0.00023225075935862094,5.2380641362154144e-05,0.0006316933304246,-2.0246661895817475e-05,0.00014117160800458106,0.0006323366233816,-0.0002422262424990329,0.00018288252250719394,0.0008417418660953,-0.00021419325483129636,-0.00012442953147172585,0.0002944464070487,0.00013052522572865044,1.7079433157701775e-05,0.0008037782653895,0.00023436353062344928,-9.6390423830911e-05,0.0007186299228815,-0.0001776128689530143,-7.382947638144288e-05,0.001776072366103896,-6.990778645318026e-05,,0.0015606155089627706,0.00021542973699617668,low_volatility,2,weak_downtrend,1,risk_off,2
2025-08-12 11:00:00+00:00,0.0046610315489085,0.003666306211045356,-0.0003518735085206448,0.00517179191554393,0.0018316344312261,0.000422511028935757,-0.0007344577372140504,0.0022666483349818483,0.0005408930846617,-0.0004642910118166643,-1.1469720697415698e-05,0.0006255215868222,-0.0001482044547258532,0.0001506489455522897,0.0006265501269522,0.0,0.00015403977549338088,0.0008052684757944,-0.0005383986703031418,-0.0001998751053490011,0.0002969005410018,0.0003987846316666488,5.1526438374471795e-05,0.0008091644809913,0.0004068797067056096,-8.589068592309013e-05,0.0007025437839376,-0.0005919132233676017,-0.000139032071967643,0.0016670862100746887,-0.00012959818558352254,,0.0021166990281133494,0.00016141174446681854,low_volatility,3,weak_downtrend,2,neutral,1
2025-08-12 12:00:00+00:00,0.0078851064857786,0.025134833460419337,0.0009546614666943564,0.007688741029110576,0.0023891366126302,0.0057999551304577235,-0.00033097618767957693,0.0026626254202107937,0.0008891412995773,0.0031439184029269374,0.00014572619944893116,0.000896953787249,-0.002721527575048621,1.7273839728332295e-05,0.0007641915772974,0.0021577975617721457,0.00022836730781483072,0.001091988724825,0.0030974370527598882,-4.956513619327474e-05,0.0004341426063896,-0.0013697033608185416,-9.707061674713024e-06,0.0009231272517903,-0.002070745499970883,-0.0001820462287030089,0.001006888100027,0.0030872039700708953,6.420174204996299e-06,0.00242109480862598,8.668381929343036e-05,,0.006523010427202751,0.0005470134758796912,normal_volatility,1,weak_uptrend,1,risk_on,1
2025-08-12 13:00:00+00:00,0.0081840486690783,-0.0051977575116437524,0.0010017532073221037,0.0076457676749143765,0.0025520493193023,-0.003447114903873838,-0.0002970934884260035,0.0026157056523091124,0.0009157996142094,0.0011657661761956817,0.00018078429857487088,0.000930335583761,0.0011213285996822808,7.198956027551495e-05,0.0007626971064918,0.00037771641126105315,0.0002230772762934319,0.0010905315189518,-0.00027322982475275204,-7.625677676246224e-05,0.0004351032124573,0.000195952647804587,7.710900128260478e-06,0.0009231503239023,-0.0004445888370434581,-0.00018212353644645463,0.0010075601344601,-0.00035611191251072594,-2.623103755577949e-05,0.0024602498918034356,0.00010040115593372024,,0.001632169827372825,0.00038337911616084526,normal_volatility,2,weak_uptrend,2,risk_off,1
2025-08-12 14:00:00+00:00,0.0079454386739855,0.007952567840598057,0.00135062367562086,0.007802079372462467,0.0028052211975661,0.004871888140874914,-0.000145264297071368,0.0028256961299842824,0.0009155056772377,0.0003498236872254701,0.0001982754829361444,0.0009095595838222,-0.0003239037130835509,7.479462851728291e-06,0.00076647061319,-0.00014836096478987315,0.00019819179620487738,0.0011754104375218,0.0018902263269102715,9.129407817520807e-06,0.0004649950801226,-0.0007328836675840611,-2.24018125488723e-05,0.0009210492581328,-0.00014833584708828784,-0.00019385163584386133,0.0010717608360254,0.0016644897635336164,3.3233462040149764e-05,0.002509380623640986,0.0001594906157785754,,0.0044260313417526015,0.0004288506302206558,normal_volatility,3,weak_uptrend,3,risk_on,1
2025-08-12 15:00:00+00:00,0.0083327140151774,0.012685186373486923,0.0024552430197591233,0.0077626442205422684,0.0030194754655088,0.004430073486662467,0.0003721815406040607,0.002655194626404305,0.0009207515972559,0.0012844190311545045,0.00029731787021255454,0.0010403238552812,-0.0023758918606161528,-0.00014270598666894508,0.0007892729284123,0.0013912119451569005,0.00029528415791432727,0.0012847946693353,0.0024566544160109505,0.00016322429324034938,0.0004777321657721,-0.0006026293231534696,-6.487115161573076e-05,0.0009407270837166,-0.0012976524100711817,-0.00027966155431258797,0.001173332371408,0.0023237863841116813,0.00018207097736768206,0.0025815420908012884,0.00036423146294453705,,0.005214089093518168,0.0004884519742815373,normal_volatility,4,strong_uptrend,1,risk_on,2
2025-08-12 16:00:00+00:00,0.0083957264470378,-0.0013384112334337006,0.0025210712198176334,0.00772250666812931,0.003120983333467,-0.0024194682668160494,0.0003169384014048704,0.0027031962920519383,0.0009091591935238,0.0007011598948791775,0.00028008677029573993,0.0010406880826446,-0.0006224095518857498,-0.00014346926846518505,0.0007928079514544,0.0006489245133021182,0.0003176544026937955,0.0012859338471187,-0.00011101926909551363,0.0001439955838854201,0.0004715797801001,-0.00013078411137612544,-5.1454921728727454e-05,0.0009475270083072,-0.000915717953854589,-0.00029160518148382277,0.0011690824476904,-5.962054523989124e-05,0.00014642042196049698,0.002596290095593205,0.000359959714264469,,0.0026278178577073506,0.0003109018616536354,normal_volatility,5,strong_uptrend,2,neutral,1
2025-08-12 17:00:00+00:00,0.0084096722433882,0.008552763501353589,0.0033560587581198675,0.007404603232963202,0.0031981872794411,-0.0033162828167153657,0.0002280173108200001,0.0027951086039404833,0.00093168126244,-0.000700668614147304,0.0002508651487948321,0.0010452241736664,0.0003181647595547066,-0.00011405731341164182,0.0008195751355131,-0.0006349215308779632,0.00028254886326632976,0.0012868591427474,-7.836987735621026e-05,0.0001355114636214405,0.0004817093306613,0.00046499399916921647,-3.982241663784136e-05,0.0009344424861303,0.000247762075761937,-0.00022380631324736555,0.0011698737910523,-0.00017867221931100463,0.00014342649510809546,0.002588812425631253,0.00044652688849263514,,0.0038285160141638837,0.0003115390401189536,normal_volatility,6,strong_uptrend,3,risk_on,1
2025-08-12 18:00:00+00:00,0.0085630822738585,-0.0031291892320486348,0.0030942751251678614,0.007542375799409214,0.0031466881148991,0.000664650960618518,0.00018045723752641574,0.002778293052947168,0.0009421937706885,-0.000466861415154618,0.00023332943269265826,0.0010310620678474,-0.00015562395758028646,-0.00015256235769368077,0.0008577709144287,-0.0008502181143937859,0.00023197933836973105,0.0012889334812201,-0.00019598566968836995,0.000122459811419956,0.0005029626143481,0.0006537021229213735,5.199577209069606e-06,0.0008297268580149,-0.0002848262873332841,-0.00031817542060584293,0.0011712666312213,-0.0001787041487778529,0.0001374564653450594,0.00260494141626209,0.00039271324549235864,,0.0028550791665472677,0.0002573850340237679,normal_volatility,7,strong_uptrend,4,neutral,1
2025-08-12 19:00:00+00:00,0.0082289804731344,0.006613479699410396,0.0033405765293357424,0.007574380579525719,0.0031241211787461,0.0030686950025176074,0.00040362998685838924,0.0028239932537183804,0.0009479750787697,0.0007008745611234435,0.000256751971498409,0.0010326134546803,0.00012858791261227687,-0.00013330833053311065,0.0008610408305115,-0.00012144952257509001,0.00022053383625123547,0.0012891529716067,0.0,0.00011952783849766279,0.0005024212817172,0.0,9.920077306896368e-06,0.0008499916225376,-0.0011643625759057974,-0.00034931620105922435,0.0011710198356458,0.0,0.0001226046100924416,0.0025823355055084912,0.0004434355909164935,,0.004397232087905842,0.0003068847263227592,normal_volatility,8,strong_uptrend,5,risk_on,1
2025-08-12 20:00:00+00:00,0.0096843736425307,0.023184859391479185,0.003929989300605813,0.008620664945835936,0.0032806723282114,0.004285418857279177,0.0005022148638428204,0.0029267304950933272,0.0009479881461329,-0.00011686670265553811,0.00025672044557208953,0.0009527666195313,0.0005347330161080688,-0.00019195898254669163,0.0008516527491886,0.0004454867895011816,0.00026026530660269167,0.0012847320308696,0.00018297406687106665,9.966040211661364e-05,0.0005145150030247,-0.0005952157940627423,-3.544882560338469e-05,0.0008642368497419,0.000359672374389719,-0.000321482273273449,0.001169726226621,0.00011909067564053188,0.00011073217780439016,0.0028270962760710327,0.0005122991572356549,,0.007051865478109795,0.0003663800143606928,high_volatility,1,strong_uptrend,6,risk_on,2
