,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volatility_14,volatility_14_lower,volatility_14_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2024-09-11,70701.80611203125,56014.76896320911,59962.15428292224,70701.80611203125,70701.80611203125,-0.01356256,-0.01356256,-0.01356256,-0.0022101133035406606,-0.0022101133035406606,-0.0022101133035406606,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.18045701304371886,-0.18045701304371886,-0.18045701304371886,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.0020868298749604224,-0.0020868298749604224,-0.0020868298749604224,0.0031999641307600885,0.0031999641307600885,0.0031999641307600885,-0.1678843038709383,-0.1678843038709383,-0.1678843038709383,0.0,0.0,0.0,57943.16936425794
1,2024-09-12,70785.86347346917,56279.7515065825,60299.37820221556,70785.86347346917,70785.86347346917,-0.01356256,-0.01356256,-0.01356256,-0.0029125082104609727,-0.0029125082104609727,-0.0029125082104609727,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.17505309040003147,-0.17505309040003147,-0.17505309040003147,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.0027892247818807345,-0.0027892247818807345,-0.0027892247818807345,-0.0017571299999907491,-0.0017571299999907491,-0.0017571299999907491,-0.15682089218957976,-0.15682089218957976,-0.15682089218957976,0.0,0.0,0.0,58394.57931580369
2,2024-09-13,70869.92083490711,57342.28183725765,61432.267551557845,70869.92083490711,70869.92083490711,-0.01356256,-0.01356256,-0.01356256,-0.0032065458678205766,-0.0032065458678205766,-0.0032065458678205766,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.16218616288407464,-0.16218616288407464,-0.16218616288407464,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.0030832624392403384,-0.0030832624392403384,-0.0030832624392403384,0.0023281789382651593,0.0023281789382651593,0.0023281789382651593,-0.14774523595451922,-0.14774523595451922,-0.14774523595451922,0.0,0.0,0.0,59375.80031079539
3,2024-09-14,70953.97819634504,57935.4228759557,61954.635549777006,70953.97819634504,70953.97819634504,-0.01356256,-0.01356256,-0.01356256,-0.0067175038116915955,-0.0067175038116915955,-0.0067175038116915955,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.15552119857664387,-0.15552119857664387,-0.15552119857664387,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.006594220383111357,-0.006594220383111357,-0.006594220383111357,0.005212678401844582,0.005212678401844582,0.005212678401844582,-0.14045381316679686,-0.14045381316679686,-0.14045381316679686,0.0,0.0,0.0,59919.130463468406
4,2024-09-15,71038.03555778298,57904.022784807064,62142.214354137526,71038.03555778298,71038.03555778298,-0.01356256,-0.01356256,-0.01356256,-0.006347534612909486,-0.006347534612909486,-0.006347534612909486,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.15592579218272834,-0.15592579218272834,-0.15592579218272834,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.006224251184329248,-0.006224251184329248,-0.006224251184329248,-0.001284587073118644,-0.001284587073118644,-0.001284587073118644,-0.13473111049670025,-0.13473111049670025,-0.13473111049670025,0.0,0.0,0.0,59961.37358833084
5,2024-09-16,71122.0929192209,58155.809891350335,62418.3621162955,71122.0929192209,71122.0929192209,-0.01356256,-0.01356256,-0.01356256,-0.003306594123199206,-0.003306594123199206,-0.003306594123199206,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.15198303970514856,-0.15198303970514856,-0.15198303970514856,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.0031833106946189678,-0.0031833106946189678,-0.0031833106946189678,-0.004758330324117552,-0.004758330324117552,-0.004758330324117552,-0.1303555552578318,-0.1303555552578318,-0.1303555552578318,0.0,0.0,0.0,60312.741047165684
6,2024-09-17,71206.15028065883,58889.152408070004,62798.557015575,71206.15028065883,71206.15028065883,-0.01356256,-0.01356256,-0.01356256,-0.0019857329707920137,-0.0019857329707920137,-0.0019857329707920137,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.14559428815222175,-0.14559428815222175,-0.14559428815222175,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.0018624495422117752,-0.0018624495422117752,-0.0018624495422117752,-0.00294077407361977,-0.00294077407361977,-0.00294077407361977,-0.12710522110780997,-0.12710522110780997,-0.12710522110780997,0.0,0.0,0.0,60838.94151848618
7,2024-09-18,71290.20764209675,59443.10897848899,63778.38893754061,71290.20764209675,71290.20764209675,-0.01356256,-0.01356256,-0.01356256,-0.0013485252582117913,-0.0013485252582117913,-0.0013485252582117913,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.13647430044133324,-0.13647430044133324,-0.13647430044133324,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.0012252418296315529,-0.0012252418296315529,-0.0012252418296315529,0.0031999641307623172,0.0031999641307623172,0.0031999641307623172,-0.12476317931388378,-0.12476317931388378,-0.12476317931388378,0.0,0.0,0.0,61560.926425824204
8,2024-09-19,71374.26500353469,59342.28907180615,63661.03539788466,71374.26500353469,71374.26500353469,-0.01356256,-0.01356256,-0.01356256,-0.0009726554763329852,-0.0009726554763329852,-0.0009726554763329852,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.13941472605089064,-0.13941472605089064,-0.13941472605089064,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.0008493720477527467,-0.0008493720477527467,-0.0008493720477527467,-0.0017571299999971793,-0.0017571299999971793,-0.0017571299999971793,-0.12312238057456049,-0.12312238057456049,-0.12312238057456049,0.0,0.0,0.0,61423.64140098323
9,2024-09-20,71458.32236497261,59655.85009260476,63736.83637205175,71458.32236497261,71458.32236497261,-0.01356256,-0.01356256,-0.01356256,-0.0026192844193658423,-0.0026192844193658423,-0.0026192844193658423,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.13584363353781942,-0.13584363353781942,-0.13584363353781942,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.002496000990785604,-0.002496000990785604,-0.002496000990785604,0.0023281789382667978,0.0023281789382667978,0.0023281789382667978,-0.12198996805672041,-0.12198996805672041,-0.12198996805672041,0.0,0.0,0.0,61751.1642083979
10,2024-09-21,71542.37972253199,59398.448557520904,63692.03760838399,71542.37972253199,71542.37972253199,-0.01356256,-0.01356256,-0.01356256,-0.007159001816988119,-0.007159001816988119,-0.007159001816988119,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.13669982345706133,-0.13669982345706133,-0.13669982345706133,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.007035718388407881,-0.007035718388407881,-0.007035718388407881,0.005212678401846433,0.005212678401846433,0.005212678401846433,-0.12119094004191969,-0.12119094004191969,-0.12119094004191969,0.0,0.0,0.0,61762.54904476382
11,2024-09-22,71626.43708009136,59397.943035907905,63489.060956321286,71626.43708009136,71626.43708009136,-0.01356256,-0.01356256,-0.01356256,-0.0058967251298265005,-0.0058967251298265005,-0.0058967251298265005,0.0009282279939463832,0.0009282279939463832,0.0009282279939463832,0.00045675983180030674,0.00045675983180030674,0.00045675983180030674,-0.1413149720756406,-0.1413149720756406,-0.1413149720756406,-0.0013366496652321637,-0.0013366496652321637,-0.0013366496652321637,-0.00017162158909476472,-0.00017162158909476472,-0.00017162158909476472,-0.005773441701246262,-0.005773441701246262,-0.005773441701246262,-0.001284587073117521,-0.001284587073117521,-0.001284587073117521,-0.1205710998726966,-0.1205710998726966,-0.1205710998726966,0.0,0.0,0.0,61504.54912424062
