,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,adx,adx_lower,adx_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2025-08-11 12:00:00,146.2617330073242,147.82210992862883,148.09461451097786,146.2617330073242,146.2617330073242,1.6966526650428948,1.6966526650428948,1.6966526650428948,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,-0.0017186285486781203,-0.0017186285486781203,-0.0017186285486781203,0.018069825857052288,0.018069825857052288,0.018069825857052288,-0.01009948400602138,-0.01009948400602138,-0.01009948400602138,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.6983712935915727,1.6983712935915727,1.6983712935915727,0.0,0.0,0.0,147.95838567236711
1,2025-08-11 13:00:00,146.2555945102183,147.8373784025804,148.11018037257918,146.2555945102183,146.2555945102183,1.716456104740858,1.716456104740858,1.716456104740858,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.00242064693257368,0.00242064693257368,0.00242064693257368,0.018069825857052288,0.018069825857052288,0.018069825857052288,-0.005960208524769582,-0.005960208524769582,-0.005960208524769582,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.7140354578082844,1.7140354578082844,1.7140354578082844,0.0,0.0,0.0,147.97205061495916
2,2025-08-11 14:00:00,146.24945601311234,147.8552509911899,148.12045993459972,146.24945601311234,146.24945601311234,1.7446641826765874,1.7446641826765874,1.7446641826765874,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.014857771821734138,0.014857771821734138,0.014857771821734138,0.018069825857052288,0.018069825857052288,0.018069825857052288,0.006476916364390874,0.006476916364390874,0.006476916364390874,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.7298064108548532,1.7298064108548532,1.7298064108548532,0.0,0.0,0.0,147.99412019578892
3,2025-08-11 15:00:00,146.2433175160064,147.87293408416875,148.13121608179657,146.2433175160064,146.2433175160064,1.7616799417014557,1.7616799417014557,1.7616799417014557,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.015995832975296245,0.015995832975296245,0.015995832975296245,0.018069825857052288,0.018069825857052288,0.018069825857052288,0.007614977517952985,0.007614977517952985,0.007614977517952985,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.7456841087261594,1.7456841087261594,1.7456841087261594,0.0,0.0,0.0,148.00499745770787
4,2025-08-11 16:00:00,146.2371790189005,147.87948336810476,148.1429739330726,146.2371790189005,146.2371790189005,1.777185071136084,1.777185071136084,1.777185071136084,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.01551656757601937,0.01551656757601937,0.01551656757601937,0.018069825857052288,0.018069825857052288,0.018069825857052288,0.0071357121186761095,0.0071357121186761095,0.0071357121186761095,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.7616685035600645,1.7616685035600645,1.7616685035600645,0.0,0.0,0.0,148.01436409003657
5,2025-08-11 17:00:00,146.23104052179457,147.8908463137655,148.15812983436354,146.23104052179457,146.23104052179457,1.793053442361293,1.793053442361293,1.793053442361293,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.015293898752290414,0.015293898752290414,0.015293898752290414,0.018069825857052288,0.018069825857052288,0.018069825857052288,0.0069130432949471516,0.0069130432949471516,0.0069130432949471516,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.7777595436090026,1.7777595436090026,1.7777595436090026,0.0,0.0,0.0,148.02409396415587
6,2025-08-11 18:00:00,146.22490202468865,147.9135472441438,148.17698513094115,146.22490202468865,146.22490202468865,1.8235721875166624,1.8235721875166624,1.8235721875166624,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.029615014276651492,0.029615014276651492,0.029615014276651492,0.018069825857052288,0.018069825857052288,0.018069825857052288,0.021234158819308232,0.021234158819308232,0.021234158819308232,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.793957173240011,1.793957173240011,1.793957173240011,0.0,0.0,0.0,148.04847421220532
7,2025-08-11 19:00:00,146.2187635275827,147.9494281994245,148.21951155486707,146.2187635275827,146.2187635275827,1.8590507258204045,1.8590507258204045,1.8590507258204045,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.048789392919338155,0.048789392919338155,0.048789392919338155,0.018069825857052288,0.018069825857052288,0.018069825857052288,0.040408537461994895,0.040408537461994895,0.040408537461994895,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.8102613329010666,1.8102613329010666,1.8102613329010666,0.0,0.0,0.0,148.0778142534031
8,2025-08-11 20:00:00,146.21262503047677,147.95540707474518,148.2218179110548,146.21262503047677,146.21262503047677,1.8777999308253586,1.8777999308253586,1.8777999308253586,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.0511279717169377,0.0511279717169377,0.0511279717169377,0.018069825857052288,0.018069825857052288,0.018069825857052288,0.04274711625959444,0.04274711625959444,0.04274711625959444,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.8266719591084208,1.8266719591084208,1.8266719591084208,0.0,0.0,0.0,148.09042496130212
9,2025-08-11 21:00:00,146.20648653337082,147.96801923325108,148.22852792924854,146.20648653337082,146.20648653337082,1.8905127465328366,1.8905127465328366,1.8905127465328366,-0.002604422357312084,-0.002604422357312084,-0.002604422357312084,9.432883293068307e-05,9.432883293068307e-05,9.432883293068307e-05,-0.005962185372011256,-0.005962185372011256,-0.005962185372011256,0.04732376210601484,0.04732376210601484,0.04732376210601484,0.018069825857052288,0.018069825857052288,0.018069825857052288,0.03894290664867158,0.03894290664867158,0.03894290664867158,-0.0027458348333482905,-0.0027458348333482905,-0.0027458348333482905,0.0015291433300319204,0.0015291433300319204,0.0015291433300319204,0.0,0.0,0.0,1.8431889844268217,1.8431889844268217,1.8431889844268217,0.0,0.0,0.0,148.09699927990366
