Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,PairCode,BaseCurrency,QuoteCurrency,Category,IsCommodityLinked,IsSafeHaven
2025-06-10 00:00:00+01:00,1.355380892753601,1.3564839363098145,1.3458950519561768,1.3556748628616333,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-11 00:00:00+01:00,1.350858449935913,1.3557300567626953,1.3464748859405518,1.3508219718933105,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-12 00:00:00+01:00,1.3568705320358276,1.3623607158660889,1.3526124954223633,1.3567416667938232,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-13 00:00:00+01:00,1.36306631565094,1.3632521629333496,1.3517167568206787,1.3627691268920898,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-16 00:00:00+01:00,1.3547013998031616,1.362323522567749,1.3536012172698975,1.3557006120681763,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-17 00:00:00+01:00,1.3568521738052368,1.3580129146575928,1.3497644662857056,1.3565576076507568,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-18 00:00:00+01:00,1.343075156211853,1.3477089405059814,1.3427865505218506,1.3430029153823853,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-19 00:00:00+01:00,1.3415075540542603,1.3450080156326294,1.3383835554122925,1.3416515588760376,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-20 00:00:00+01:00,1.3478723764419556,1.3511322736740112,1.3456052541732788,1.3476725816726685,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-23 00:00:00+01:00,1.3436886072158813,1.3505300283432007,1.3373453617095947,1.3435983657836914,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-24 00:00:00+01:00,1.3546464443206787,1.3646661043167114,1.353747844696045,1.3545364141464233,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-25 00:00:00+01:00,1.361488938331604,1.3634381294250488,1.3592497110366821,1.361488938331604,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-26 00:00:00+01:00,1.3691315650939941,1.3764814138412476,1.3678767681121826,1.369187831878662,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-27 00:00:00+01:00,1.3726835250854492,1.3751753568649292,1.3705388307571411,1.37247633934021,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-06-30 00:00:00+01:00,1.372062087059021,1.3741360902786255,1.3676148653030396,1.3719680309295654,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-01 00:00:00+01:00,1.373437762260437,1.3788729906082153,1.3705388307571411,1.3730605840682983,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-02 00:00:00+01:00,1.374721646308899,1.3753266334533691,1.356760025024414,1.374721646308899,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-03 00:00:00+01:00,1.3651504516601562,1.3675214052200317,1.359194278717041,1.3650014400482178,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-04 00:00:00+01:00,1.3666430711746216,1.3681762218475342,1.3635309934616089,1.366829752922058,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-07 00:00:00+01:00,1.365075945854187,1.3657844066619873,1.3575890064239502,1.3651504516601562,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-08 00:00:00+01:00,1.3625463247299194,1.3646661043167114,1.3528138399124146,1.3623607158660889,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-09 00:00:00+01:00,1.3585295677185059,1.3618227243423462,1.3566128015518188,1.3585295677185059,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-10 00:00:00+01:00,1.3597116470336914,1.3620266914367676,1.3534363508224487,1.3593051433563232,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-11 00:00:00+01:00,1.3580313920974731,1.3581236600875854,1.3483812808990479,1.3579576015472412,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-14 00:00:00+01:00,1.3497098684310913,1.3504753112792969,1.343273639678955,1.3493820428848267,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
2025-07-15 00:00:00+01:00,1.3427324295043945,1.3466562032699585,1.3382043838500977,1.3428045511245728,0,0.0,0.0,GBPUSD=X,GBPUSD,GBP,USD,major,False,False
