Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,PairCode,BaseCurrency,QuoteCurrency,Category,IsCommodityLinked,IsSafeHaven
2025-06-10 00:00:00+01:00,1.1428048610687256,1.1448328495025635,1.1374623775482178,1.1428048610687256,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-11 00:00:00+01:00,1.143746018409729,1.149095058441162,1.1406019926071167,1.143746018409729,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-12 00:00:00+01:00,1.1509333848953247,1.1628718376159668,1.1502846479415894,1.1509333848953247,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-13 00:00:00+01:00,1.1600254774093628,1.1612108945846558,1.1492931842803955,1.1600254774093628,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-16 00:00:00+01:00,1.1556684970855713,1.1614806652069092,1.1524852514266968,1.1556684970855713,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-17 00:00:00+01:00,1.1551345586776733,1.1574074029922485,1.1512514352798462,1.1551345586776733,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-18 00:00:00+01:00,1.1482638120651245,1.1530035734176636,1.1482374668121338,1.1482638120651245,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-19 00:00:00+01:00,1.1477497816085815,1.1486859321594238,1.1448458433151245,1.1477497816085815,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-20 00:00:00+01:00,1.1512778997421265,1.1534557342529297,1.1496102809906006,1.1512778997421265,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-23 00:00:00+01:00,1.1500862836837769,1.1551746129989624,1.1455540657043457,1.1500862836837769,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-24 00:00:00+01:00,1.1599044799804688,1.1635890007019043,1.1582921743392944,1.1599044799804688,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-25 00:00:00+01:00,1.161224365234375,1.1631423234939575,1.1590977907180786,1.161224365234375,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-26 00:00:00+01:00,1.1683744192123413,1.1743428707122803,1.1668611764907837,1.1683744192123413,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-27 00:00:00+01:00,1.1692214012145996,1.1750881671905518,1.1684290170669556,1.1692214012145996,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
2025-06-30 00:00:00+01:00,1.1727453470230103,1.177163004875183,1.170905351638794,1.1727453470230103,0,0.0,0.0,EURUSD=X,EURUSD,EUR,USD,major,False,False
