ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr_14,atr_14_lower,atr_14_upper,bbands_lower,bbands_lower_lower,bbands_lower_upper,bbands_upper,bbands_upper_lower,bbands_upper_upper,cci,cci_lower,cci_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_5,ma_5_lower,ma_5_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,macd_signal,macd_signal_lower,macd_signal_upper,market_session,market_session_lower,market_session_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,rsi_9,rsi_9_lower,rsi_9_upper,stoch_k,stoch_k_lower,stoch_k_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-11 12:00:00,1.3822152672975063,1.3783195059134628,1.3789485517051814,1.3822152672975063,1.3822152672975063,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.0025202549833101776,-0.0025202549833101776,-0.0025202549833101776,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.000871060787705464,0.000871060787705464,0.000871060787705464,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.00037590199148868916,-0.00037590199148868916,-0.00037590199148868916,0.00026490461059133996,0.00026490461059133996,0.00026490461059133996,-1.912011705872146e-05,-1.912011705872146e-05,-1.912011705872146e-05,-0.002571806080259171,-0.002571806080259171,-0.002571806080259171,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-5.155109694899348e-05,-5.155109694899348e-05,-5.155109694899348e-05,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3786604776688436
2025-08-11 13:00:00,1.3821691084574925,1.3781725968444765,1.3789349944814326,1.3821691084574925,1.3821691084574925,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.002561907057855421,-0.002561907057855421,-0.002561907057855421,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.000871060787705464,0.000871060787705464,0.000871060787705464,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.00044731626685562886,-0.00044731626685562886,-0.00044731626685562886,0.00029466681141303633,0.00029466681141303633,0.00029466681141303633,-1.912011705872146e-05,-1.912011705872146e-05,-1.912011705872146e-05,-0.0026402338090336097,-0.0026402338090336097,-0.0026402338090336097,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-7.832675117818872e-05,-7.832675117818872e-05,-7.832675117818872e-05,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3785198588475411
2025-08-11 14:00:00,1.3821229496174787,1.3781509153427183,1.3788728366967846,1.3821229496174787,1.3821229496174787,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.0025012756408280303,-0.0025012756408280303,-0.0025012756408280303,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.000871060787705464,0.000871060787705464,0.000871060787705464,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.0003738591817716241,-0.0003738591817716241,-0.0003738591817716241,0.00028184114335642207,0.00028184114335642207,0.00028184114335642207,-1.912011705872146e-05,-1.912011705872146e-05,-1.912011705872146e-05,-0.0026074847865546003,-0.0026074847865546003,-0.0026074847865546003,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-0.00010620914572657023,-0.00010620914572657023,-0.00010620914572657023,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3785190850532032
2025-08-11 15:00:00,1.382076790777465,1.3781718561523701,1.3787222954445493,1.382076790777465,1.382076790777465,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.002522067504901311,-0.002522067504901311,-0.002522067504901311,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.000871060787705464,0.000871060787705464,0.000871060787705464,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.00039334678032103786,-0.00039334678032103786,-0.00039334678032103786,0.00028053687783255536,0.00028053687783255536,0.00028053687783255536,-1.912011705872146e-05,-1.912011705872146e-05,-1.912011705872146e-05,-0.0026570013323357327,-0.0026570013323357327,-0.0026570013323357327,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-0.00013493382743442157,-0.00013493382743442157,-0.00013493382743442157,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3784046109029788
2025-08-11 16:00:00,1.3820306319374511,1.3779833665382326,1.3787249971681428,1.3820306319374511,1.3820306319374511,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.0025533759735058997,-0.0025533759735058997,-0.0025533759735058997,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.000871060787705464,0.000871060787705464,0.000871060787705464,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.0004326739436518737,-0.0004326739436518737,-0.0004326739436518737,0.0002885555725588024,0.0002885555725588024,0.0002885555725588024,-1.912011705872146e-05,-1.912011705872146e-05,-1.912011705872146e-05,-0.002717603504499772,-0.002717603504499772,-0.002717603504499772,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-0.00016422753099387254,-0.00016422753099387254,-0.00016422753099387254,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3782748206487718
2025-08-11 17:00:00,1.3819844730974373,1.377957040438306,1.3785484203583385,1.3819844730974373,1.3819844730974373,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.0024998443900329645,-0.0024998443900329645,-0.0024998443900329645,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.0009250311147902092,0.0009250311147902092,0.0009250311147902092,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.000488109270136614,-0.000488109270136614,-0.000488109270136614,0.0003049604485742401,0.0003049604485742401,0.0003049604485742401,1.9471589798771478e-05,1.9471589798771478e-05,1.9471589798771478e-05,-0.0026936555951430794,-0.0026936555951430794,-0.0026936555951430794,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-0.00019381120511011512,-0.00019381120511011512,-0.00019381120511011512,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3782618828890776
2025-08-11 18:00:00,1.3819383142574233,1.3778314553986346,1.3784586716155354,1.3819383142574233,1.3819383142574233,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.002529418429364106,-0.002529418429364106,-0.002529418429364106,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.0009356994938341804,0.0009356994938341804,0.0009356994938341804,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.0005515629592182757,-0.0005515629592182757,-0.0005515629592182757,0.00032817171928078856,0.00032817171928078856,0.00032817171928078856,1.9471589798771478e-05,1.9471589798771478e-05,1.9471589798771478e-05,-0.002752821513471858,-0.002752821513471858,-0.002752821513471858,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-0.0002234030841077513,-0.0002234030841077513,-0.0002234030841077513,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3781340847356445
2025-08-11 19:00:00,1.3818921554174095,1.3778872530813793,1.3785371444186771,1.3818921554174095,1.3818921554174095,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.002456226716090549,-0.002456226716090549,-0.002456226716090549,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.0009764951957461908,0.0009764951957461908,0.0009764951957461908,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.0005321263221564383,-0.0005321263221564383,-0.0005321263221564383,0.00034113109358049784,0.00034113109358049784,0.00034113109358049784,1.9471589798771478e-05,1.9471589798771478e-05,1.9471589798771478e-05,-0.0027089484848292155,-0.0027089484848292155,-0.0027089484848292155,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-0.00025272176873866633,-0.00025272176873866633,-0.00025272176873866633,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3781486807567942
2025-08-11 20:00:00,1.3818459965773957,1.3777003055678176,1.3784208982914745,1.3818459965773957,1.3818459965773957,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.002466004811997235,-0.002466004811997235,-0.002466004811997235,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.0010267024129718362,0.0010267024129718362,0.0010267024129718362,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.0006161325181103425,-0.0006161325181103425,-0.0006161325181103425,0.00036515197640207137,0.00036515197640207137,0.00036515197640207137,1.9471589798771478e-05,1.9471589798771478e-05,1.9471589798771478e-05,-0.0027474940919565947,-0.0027474940919565947,-0.0027474940919565947,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0008253437181415526,0.0008253437181415526,0.0008253437181415526,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-0.0002814892799593599,-0.0002814892799593599,-0.0002814892799593599,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3780493828658054
2025-08-11 21:00:00,1.381799837737382,1.3771077958843927,1.3778217640414652,1.381799837737382,1.381799837737382,-0.00017277228490201395,-0.00017277228490201395,-0.00017277228490201395,-0.0003301685644347815,-0.0003301685644347815,-0.0003301685644347815,-0.000839462822343726,-0.000839462822343726,-0.000839462822343726,5.376404959456433e-06,5.376404959456433e-06,5.376404959456433e-06,-0.0027990660986627587,-0.0027990660986627587,-0.0027990660986627587,-0.000652131591444354,-0.000652131591444354,-0.000652131591444354,0.0010442760612006086,0.0010442760612006086,0.0010442760612006086,-0.0006976997360986438,-0.0006976997360986438,-0.0006976997360986438,-0.0006119082468512832,-0.0006119082468512832,-0.0006119082468512832,0.0003823584069118247,0.0003823584069118247,0.0003823584069118247,1.9471589798771478e-05,1.9471589798771478e-05,1.9471589798771478e-05,-0.0031085001486470896,-0.0031085001486470896,-0.0031085001486470896,-0.0015144352167830119,-0.0015144352167830119,-0.0015144352167830119,0.0004532780814784434,0.0004532780814784434,0.0004532780814784434,0.0002929580582934777,0.0002929580582934777,0.0002929580582934777,1.3357968985664767e-05,1.3357968985664767e-05,1.3357968985664767e-05,-0.00030943404998433083,-0.00030943404998433083,-0.00030943404998433083,-0.00019156420743319096,-0.00019156420743319096,-0.00019156420743319096,0.0,0.0,0.0,1.3775045127363748
