,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2025-08-11 12:00:00,135.63862964331054,147.83620684818038,148.0058679898906,135.63862964331054,135.63862964331054,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,2.265280000256037e-05,2.265280000256037e-05,2.265280000256037e-05,-0.0001086881194324679,-0.0001086881194324679,-0.0001086881194324679,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,-7.054630299222407e-05,-7.054630299222407e-05,-7.054630299222407e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.614335422712604e-05,-1.614335422712604e-05,-1.614335422712604e-05,0.09054662479862961,0.09054662479862961,0.09054662479862961,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.001214491321320617,0.001214491321320617,0.001214491321320617,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.08941816879673892,0.08941816879673892,0.08941816879673892,0.0,0.0,0.0,147.92024974982365
1,2025-08-11 13:00:00,135.64695897102288,147.83541256658273,148.01195308368386,135.64695897102288,135.64695897102288,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,-3.491089715657197e-05,-3.491089715657197e-05,-3.491089715657197e-05,-7.977470345056478e-05,-7.977470345056478e-05,-7.977470345056478e-05,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,-4.1632887010320944e-05,-4.1632887010320944e-05,-4.1632887010320944e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.614335422712604e-05,-1.614335422712604e-05,-1.614335422712604e-05,0.0905199417433346,0.0905199417433346,0.0905199417433346,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.0011374625554349902,0.0011374625554349902,0.0011374625554349902,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.08949716478850675,0.08949716478850675,0.08949716478850675,0.0,0.0,0.0,147.92571379474037
2,2025-08-11 14:00:00,135.65528829873523,147.86295742224445,148.02401848206108,135.65528829873523,135.65528829873523,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,-7.819841783216839e-05,-7.819841783216839e-05,-7.819841783216839e-05,7.100346825245052e-06,7.100346825245052e-06,7.100346825245052e-06,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,4.524216326548888e-05,4.524216326548888e-05,4.524216326548888e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.614335422712604e-05,-1.614335422712604e-05,-1.614335422712604e-05,0.09057199310256782,0.09057199310256782,0.09057199310256782,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.001065225529577793,0.001065225529577793,0.001065225529577793,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.08957786564399696,0.08957786564399696,0.08957786564399696,0.0,0.0,0.0,147.94185813485512
3,2025-08-11 15:00:00,135.66361762644758,147.87200247846656,148.03844123819096,135.66361762644758,135.66361762644758,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,-4.3043059826629396e-05,-4.3043059826629396e-05,-4.3043059826629396e-05,1.5049862554465037e-05,1.5049862554465037e-05,1.5049862554465037e-05,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,5.3191678994708867e-05,5.3191678994708867e-05,5.3191678994708867e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.614335422712604e-05,-1.614335422712604e-05,-1.614335422712604e-05,0.09063116099148912,0.09063116099148912,0.09063116099148912,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.0009988768477081312,0.0009988768477081312,0.0009988768477081312,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.08966027734105315,0.08966027734105315,0.08966027734105315,0.0,0.0,0.0,147.95896879623797
4,2025-08-11 16:00:00,135.67194695415992,147.9046900648524,148.07003035713322,135.67194695415992,135.67194695415992,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,7.950913328165549e-05,7.950913328165549e-05,7.950913328165549e-05,1.1702126962139948e-05,1.1702126962139948e-05,1.1702126962139948e-05,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,4.984394340238378e-05,4.984394340238378e-05,4.984394340238378e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.614335422712604e-05,-1.614335422712604e-05,-1.614335422712604e-05,0.09077504664312507,0.09077504664312507,0.09077504664312507,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.0009394296352289004,0.0009394296352289004,0.0009394296352289004,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.08974440574765237,0.08974440574765237,0.08974440574765237,0.0,0.0,0.0,147.98757426708735
5,2025-08-11 17:00:00,135.68027628187227,147.99484519481285,148.1581615425039,135.68027628187227,135.68027628187227,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,0.0002180563147691801,0.0002180563147691801,0.0002180563147691801,0.0004120413722172799,0.0004120413722172799,0.0004120413722172799,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,4.828857064310819e-05,4.828857064310819e-05,4.828857064310819e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,0.00038575126378728947,0.00038575126378728947,0.00038575126378728947,0.09134815572524439,0.09134815572524439,0.09134815572524439,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.0008878014169166496,0.0008878014169166496,0.0008878014169166496,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.08983025662134128,0.08983025662134128,0.08983025662134128,0.0,0.0,0.0,148.07441928851293
6,2025-08-11 18:00:00,135.6886056095846,148.04234974822452,148.20539605019536,135.6886056095846,135.6886056095846,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,0.0002712923000011528,0.0002712923000011528,0.0002712923000011528,0.0006449838652623703,0.0006449838652623703,0.0006449838652623703,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,0.00014832355801136106,0.00014832355801136106,0.00014832355801136106,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,0.0005186587694641271,0.0005186587694641271,0.0005186587694641271,0.09167891488074321,0.09167891488074321,0.09167891488074321,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.0008448031064817248,0.0008448031064817248,0.0008448031064817248,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.08991783560899796,0.08991783560899796,0.08991783560899796,0.0,0.0,0.0,148.12838973355247
7,2025-08-11 19:00:00,135.69693493729696,148.0487104330147,148.2166352779043,135.69693493729696,135.69693493729696,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,0.0001940677011959529,0.0001940677011959529,0.0001940677011959529,0.0006346580098065899,0.0006346580098065899,0.0006346580098065899,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,0.00028225926448984304,0.00028225926448984304,0.00028225926448984304,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,0.0003743972075298646,0.0003743972075298646,0.0003743972075298646,0.09164700319855566,0.09164700319855566,0.09164700319855566,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.0008111292411858664,0.0008111292411858664,0.0008111292411858664,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.09000714824636726,0.09000714824636726,0.09000714824636726,0.0,0.0,0.0,148.13315236752962
8,2025-08-11 20:00:00,135.70526426500928,148.03947752056754,148.20438909065678,135.70526426500928,135.70526426500928,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,4.0177463741594637e-05,4.0177463741594637e-05,4.0177463741594637e-05,0.0005653309394591158,0.0005653309394591158,0.0005653309394591158,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,0.00029859456323661935,0.00029859456323661935,0.00029859456323661935,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,0.00028873483843561436,0.00028873483843561436,0.00028873483843561436,0.09149105794082026,0.09149105794082026,0.09149105794082026,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.0007873495800076315,0.0007873495800076315,0.0007873495800076315,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.09009819995761191,0.09009819995761191,0.09009819995761191,0.0,0.0,0.0,148.12108246075357
9,2025-08-11 21:00:00,135.71359359272165,148.0296502364717,148.19602758445464,135.71359359272165,135.71359359272165,-4.345774508971715e-06,-4.345774508971715e-06,-4.345774508971715e-06,-1.749810960234924e-05,-1.749810960234924e-05,-1.749810960234924e-05,-8.07592793096707e-05,-8.07592793096707e-05,-8.07592793096707e-05,0.0004700960809180745,0.0004700960809180745,0.0004700960809180745,1.8020896015471343e-05,1.8020896015471343e-05,1.8020896015471343e-05,0.0002720216290453192,0.0002720216290453192,0.0002720216290453192,-1.1335230697011818e-05,-1.1335230697011818e-05,-1.1335230697011818e-05,0.00022007291408587313,0.00022007291408587313,0.00022007291408587313,0.09135423502412351,0.09135423502412351,0.09135423502412351,-1.3848531115520253e-06,-1.3848531115520253e-06,-1.3848531115520253e-06,0.0,0.0,0.0,0.0007739021674939459,0.0007739021674939459,0.0007739021674939459,-5.455390308704339e-06,-5.455390308704339e-06,-5.455390308704339e-06,0.09019099605502116,0.09019099605502116,0.09019099605502116,0.0,0.0,0.0,148.11160511775952
