,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr,atr_lower,atr_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2024-09-10 23:00:00,1.277220955300331,1.2981421005494354,1.3096018266614529,1.277220955300331,1.277220955300331,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311302424,-0.009524679311302424,-0.009524679311302424,-0.0006549772686802874,-0.0006549772686802874,-0.0006549772686802874,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,-0.002652714167647375,-0.002652714167647375,-0.002652714167647375,0.02087749334050585,0.02087749334050585,0.02087749334050585,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.011750866758001874,0.011750866758001874,0.011750866758001874,0.01930628316248669,0.01930628316248669,0.01930628316248669,0.0,0.0,0.0,1.3038861272889681
1,2024-09-11 23:00:00,1.2773932861191657,1.2991236781100721,1.3112253226955835,1.2773932861191657,1.2773932861191657,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.00952467931127206,-0.00952467931127206,-0.00952467931127206,-0.000872176956498888,-0.000872176956498888,-0.000872176956498888,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,-0.002869913855465976,-0.002869913855465976,-0.002869913855465976,0.0215584075894946,0.0215584075894946,0.0215584075894946,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.010212568459707697,0.010212568459707697,0.010212568459707697,0.021742695397557854,0.021742695397557854,0.021742695397557854,0.0,0.0,0.0,1.3049318512334065
2,2024-09-12 23:00:00,1.2775656169380003,1.304969365185512,1.3164912894676237,1.2775656169380003,1.2775656169380003,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311289242,-0.009524679311289242,-0.009524679311289242,-0.0002482207594146561,-0.0002482207594146561,-0.0002482207594146561,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,-0.002245957658381744,-0.002245957658381744,-0.002245957658381744,0.025930668499252983,0.025930668499252983,0.025930668499252983,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.011637120181789286,0.011637120181789286,0.011637120181789286,0.0240664483881676,0.0240664483881676,0.0240664483881676,0.0,0.0,0.0,1.3106937474368634
3,2024-09-15 23:00:00,1.278082609394504,1.3112965245778119,1.323673079693235,1.278082609394504,1.278082609394504,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311275432,-0.009524679311275432,-0.009524679311275432,7.42628861444012e-05,7.42628861444012e-05,7.42628861444012e-05,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,-0.0019234740128226864,-0.0019234740128226864,-0.0019234740128226864,0.030998477846115546,0.030998477846115546,0.030998477846115546,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.010494034696102146,0.010494034696102146,0.010494034696102146,0.029954859575144436,0.029954859575144436,0.029954859575144436,0.0,0.0,0.0,1.3177012248473252
4,2024-09-16 23:00:00,1.2782549402133385,1.316199650519441,1.3276529594629172,1.2782549402133385,1.2782549402133385,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311292614,-0.009524679311292614,-0.009524679311292614,0.0009215556149629418,0.0009215556149629418,0.0009215556149629418,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,-0.001076181284004146,-0.001076181284004146,-0.001076181284004146,0.034144241424864136,0.034144241424864136,0.034144241424864136,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.011291835462175593,0.011291835462175593,0.011291835462175593,0.03145552965901821,0.03145552965901821,0.03145552965901821,0.0,0.0,0.0,1.321899985494508
5,2024-09-17 23:00:00,1.2784272710321731,1.318806629593774,1.3301157149163103,1.2784272710321731,1.2784272710321731,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311309797,-0.009524679311309797,-0.009524679311309797,0.0009613922979264339,0.0009613922979264339,0.0009613922979264339,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,-0.001036344601040654,-0.001036344601040654,-0.001036344601040654,0.03588065480312713,0.03588065480312713,0.03588065480312713,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.011750866757994805,0.011750866757994805,0.011750866757994805,0.0326930750585157,0.0326930750585157,0.0326930750585157,0.0,0.0,0.0,1.3242980786349825
6,2024-09-18 23:00:00,1.2785996018510077,1.3182679732393703,1.3299289422872047,1.2785996018510077,1.2785996018510077,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311279432,-0.009524679311279432,-0.009524679311279432,0.0013219134319711215,0.0013219134319711215,0.0013219134319711215,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,-0.0006758234669959662,-0.0006758234669959662,-0.0006758234669959662,0.035669416912923524,0.035669416912923524,0.035669416912923524,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.010212568459730264,0.010212568459730264,0.010212568459730264,0.03365961433250157,0.03365961433250157,0.03365961433250157,0.0,0.0,0.0,1.3242065041141293
7,2024-09-19 23:00:00,1.2787719326698423,1.3223984318116035,1.3345595357671622,1.2787719326698423,1.2787719326698423,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311278806,-0.009524679311278806,-0.009524679311278806,0.002442842134593611,0.002442842134593611,0.002442842134593611,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,0.0004451052356265233,0.0004451052356265233,0.0004451052356265233,0.03890991047954689,0.03890991047954689,0.03890991047954689,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.011637120181760763,0.011637120181760763,0.011637120181760763,0.03435462747447132,0.03435462747447132,0.03435462747447132,0.0,0.0,0.0,1.328528834093783
8,2024-09-22 23:00:00,1.279288925106328,1.3235475389678195,1.3360912187296294,1.279288925106328,1.279288925106328,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311282805,-0.009524679311282805,-0.009524679311282805,0.0035511448185298776,0.0035511448185298776,0.0035511448185298776,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,0.0015534079195627898,0.0015534079195627898,0.0015534079195627898,0.03942688261499124,0.03942688261499124,0.03942688261499124,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.010494034696042256,0.010494034696042256,0.010494034696042256,0.03490638241170191,0.03490638241170191,0.03490638241170191,0.0,0.0,0.0,1.3297272993871536
9,2024-09-23 23:00:00,1.27946125591849,1.3259507636669357,1.3380931178817546,1.27946125591849,1.27946125591849,0.00011337807800412277,0.00011337807800412277,0.00011337807800412277,-0.009524679311299987,-0.009524679311299987,-0.009524679311299987,0.004715353697720434,0.004715353697720434,0.004715353697720434,0.0025073185891401955,0.0025073185891401955,0.0025073185891401955,-0.0004455606971962431,-0.0004455606971962431,-0.0004455606971962431,0.0027176167987533455,0.0027176167987533455,0.0027176167987533455,0.04112282925134064,0.04112282925134064,0.04112282925134064,-0.00017739907098098762,-0.00017739907098098762,-0.00017739907098098762,0.0,0.0,0.0,0.011291835462209668,0.011291835462209668,0.011291835462209668,0.034640319402710534,0.034640319402710534,0.034640319402710534,0.0,0.0,0.0,1.3320763226793317
