,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,adx,adx_lower,adx_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-09-10 23:00:00,1.2770293700857163,1.3571432450475824,1.3624714026320952,1.2770293700857163,1.2770293700857163,0.08264070536736133,0.08264070536736133,0.08264070536736133,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.0020433174539463642,-0.0020433174539463642,-0.0020433174539463642,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0009878153778600405,-0.0009878153778600405,-0.0009878153778600405,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.08468402282130769,0.08468402282130769,0.08468402282130769,0.0,0.0,0.0,1.3596700754530775
1,2024-09-11 23:00:00,1.2771312609465635,1.3568246820006213,1.3621797909186317,1.2771312609465635,1.2771312609465635,0.08237971966760846,0.08237971966760846,0.08237971966760846,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.0022048953660981723,-0.0022048953660981723,-0.0022048953660981723,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0011493932900118484,-0.0011493932900118484,-0.0011493932900118484,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.08458461503370664,0.08458461503370664,0.08458461503370664,0.0,0.0,0.0,1.3595109806141719
2,2024-09-12 23:00:00,1.2772331518074105,1.3566790315626285,1.3618798646627293,1.2772331518074105,1.2772331518074105,0.08202559181083047,0.08202559181083047,0.08202559181083047,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.0022678095820699985,-0.0022678095820699985,-0.0022678095820699985,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0012123075059836746,-0.0012123075059836746,-0.0012123075059836746,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.08429340139290047,0.08429340139290047,0.08429340139290047,0.0,0.0,0.0,1.3592587436182408
3,2024-09-15 23:00:00,1.2775388243899517,1.3552478147958822,1.3605620690987759,1.2775388243899517,1.2775388243899517,0.08050393789294419,0.08050393789294419,0.08050393789294419,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.002275086810299386,-0.002275086810299386,-0.002275086810299386,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0012195847342130622,-0.0012195847342130622,-0.0012195847342130622,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.08277902470324358,0.08277902470324358,0.08277902470324358,0.0,0.0,0.0,1.3580427622828959
4,2024-09-16 23:00:00,1.2776407152507987,1.3551715862378162,1.3604409425498973,1.2776407152507987,1.2776407152507987,0.08000449392494045,0.08000449392494045,0.08000449392494045,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.0021951739791428496,-0.0021951739791428496,-0.0021951739791428496,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.001139671903056526,-0.001139671903056526,-0.001139671903056526,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.08219966790408331,0.08219966790408331,0.08219966790408331,0.0,0.0,0.0,1.3576452091757392
5,2024-09-17 23:00:00,1.2777426061116457,1.3549520308245078,1.3600956278101604,1.2777426061116457,1.2777426061116457,0.07954896893317198,0.07954896893317198,0.07954896893317198,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.0020870277973969093,-0.0020870277973969093,-0.0020870277973969093,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0010315257213105854,-0.0010315257213105854,-0.0010315257213105854,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.0816359967305689,0.0816359967305689,0.0816359967305689,0.0,0.0,0.0,1.3572915750448176
6,2024-09-18 23:00:00,1.277844496972493,1.3546122435101557,1.3598360678349157,1.277844496972493,1.277844496972493,0.07928734350719754,0.07928734350719754,0.07928734350719754,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.001822425120590807,-0.001822425120590807,-0.001822425120590807,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0007669230445044831,-0.0007669230445044831,-0.0007669230445044831,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.08110976862778835,0.08110976862778835,0.08110976862778835,0.0,0.0,0.0,1.3571318404796904
7,2024-09-19 23:00:00,1.27794638783334,1.3538240385386267,1.359053496875197,1.27794638783334,1.27794638783334,0.07846081866414414,0.07846081866414414,0.07846081866414414,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.0021754955436910253,-0.0021754955436910253,-0.0021754955436910253,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0011199934676047012,-0.0011199934676047012,-0.0011199934676047012,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.08063631420783518,0.08063631420783518,0.08063631420783518,0.0,0.0,0.0,1.3564072064974841
8,2024-09-22 23:00:00,1.2782520604158814,1.3528531100149792,1.358082744794491,1.2782520604158814,1.2782520604158814,0.0771977182743616,0.0771977182743616,0.0771977182743616,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.0024007915602148244,-0.0024007915602148244,-0.0024007915602148244,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0013452894841285007,-0.0013452894841285007,-0.0013452894841285007,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.07959850983457643,0.07959850983457643,0.07959850983457643,0.0,0.0,0.0,1.3554497786902429
9,2024-09-23 23:00:00,1.2783539512767284,1.3521690437106444,1.3571376105715278,1.2783539512767284,1.2783539512767284,0.07640904847823804,0.07640904847823804,0.07640904847823804,-0.00029132274796021715,-0.00029132274796021715,-0.00029132274796021715,-9.289736299774361e-05,-9.289736299774361e-05,-9.289736299774361e-05,0.00013289975277423527,0.00013289975277423527,0.00013289975277423527,-0.0029679803333142107,-0.0029679803333142107,-0.0029679803333142107,-0.0007212936337349019,-0.0007212936337349019,-0.0007212936337349019,-0.0002158806953737127,-0.0002158806953737127,-0.0002158806953737127,-0.0019124782572278861,-0.0019124782572278861,-0.0019124782572278861,5.942388381079062e-05,5.942388381079062e-05,5.942388381079062e-05,7.356872739522543e-05,7.356872739522543e-05,7.356872739522543e-05,0.0,0.0,0.0,0.07937702881155226,0.07937702881155226,0.07937702881155226,0.0,0.0,0.0,1.3547629997549664
