ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,market_session,market_session_lower,market_session_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,returns_lag_1,returns_lag_1_lower,returns_lag_1_upper,volatility_lag_5,volatility_lag_5_lower,volatility_lag_5_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,1.1683733205531834,1.1644390633307573,1.167781709697206,1.1683733205531834,1.1683733205531834,0.00011668248977251967,0.00011668248977251967,0.00011668248977251967,6.155046920287694e-06,6.155046920287694e-06,6.155046920287694e-06,-0.0019430865355816072,-0.0019430865355816072,-0.0019430865355816072,5.516365223005407e-05,5.516365223005407e-05,5.516365223005407e-05,5.53637906221779e-05,5.53637906221779e-05,5.53637906221779e-05,-0.0020597690253541267,-0.0020597690253541267,-0.0020597690253541267,0.0,0.0,0.0,1.1661030700854838
2025-08-20 23:00:00,1.1683566404784862,1.164863799534478,1.1674088329873389,1.1683566404784862,1.1683566404784862,-6.62708527771735e-05,-6.62708527771735e-05,-6.62708527771735e-05,6.155046920287694e-06,6.155046920287694e-06,6.155046920287694e-06,-0.00214750152645582,-0.00214750152645582,-0.00214750152645582,2.43716784445043e-05,2.43716784445043e-05,2.43716784445043e-05,-9.67975781419655e-05,-9.67975781419655e-05,-9.67975781419655e-05,-0.002081230673678647,-0.002081230673678647,-0.002081230673678647,0.0,0.0,0.0,1.165847592809614
2025-08-21 00:00:00,1.168339960403789,1.1638713557678397,1.1671558646565257,1.168339960403789,1.168339960403789,-0.0003806721045722569,-0.0003806721045722569,-0.0003806721045722569,1.5542526199719774e-06,1.5542526199719774e-06,1.5542526199719774e-06,-0.0024968791045664393,-0.0024968791045664393,-0.0024968791045664393,-3.712600017307756e-05,-3.712600017307756e-05,-3.712600017307756e-05,-0.0003451003570191513,-0.0003451003570191513,-0.0003451003570191513,-0.002116206999994182,-0.002116206999994182,-0.002116206999994182,0.0,0.0,0.0,1.1654227567696267
2025-08-21 01:00:00,1.1683232803290917,1.1635858206945446,1.166756559770036,1.1683232803290917,1.1683232803290917,-0.00043890017120886836,-0.00043890017120886836,-0.00043890017120886836,1.5542526199719774e-06,1.5542526199719774e-06,1.5542526199719774e-06,-0.0026025359267124993,-0.0026025359267124993,-0.0026025359267124993,-0.00012938147307748048,-0.00012938147307748048,-0.00012938147307748048,-0.0003110729507513599,-0.0003110729507513599,-0.0003110729507513599,-0.002163635755503631,-0.002163635755503631,-0.002163635755503631,0.0,0.0,0.0,1.1652826770180207
2025-08-21 02:00:00,1.1683066002543945,1.1636081491712893,1.1671934059992675,1.1683066002543945,1.1683066002543945,-0.0003336042032127571,-0.0003336042032127571,-0.0003336042032127571,1.5542526199719774e-06,1.5542526199719774e-06,1.5542526199719774e-06,-0.0025558287993487105,-0.0025558287993487105,-0.0025558287993487105,-6.3789518598985124e-06,-6.3789518598985124e-06,-6.3789518598985124e-06,-0.00032877950397283055,-0.00032877950397283055,-0.00032877950397283055,-0.0022222245961359536,-0.0022222245961359536,-0.0022222245961359536,0.0,0.0,0.0,1.1653206085989951
2025-08-21 03:00:00,1.168289920179697,1.1634090267412296,1.167355619152326,1.168289920179697,1.168289920179697,-0.00031924663493300203,-0.00031924663493300203,-0.00031924663493300203,1.5542526199719774e-06,1.5542526199719774e-06,1.5542526199719774e-06,-0.002609714683294948,-0.002609714683294948,-0.002609714683294948,2.4359004252931064e-05,2.4359004252931064e-05,2.4359004252931064e-05,-0.00034515989180590505,-0.00034515989180590505,-0.00034515989180590505,-0.002290468048361946,-0.002290468048361946,-0.002290468048361946,0.0,0.0,0.0,1.1652410168206586
2025-08-21 04:00:00,1.168273240105,1.1631643448066777,1.1669003525209882,1.168273240105,1.168273240105,-0.00036072471994506183,-0.00036072471994506183,-0.00036072471994506183,1.5542526199719774e-06,1.5542526199719774e-06,1.5542526199719774e-06,-0.0027273920837249783,-0.0027273920837249783,-0.0027273920837249783,-6.3789518598985124e-06,-6.3789518598985124e-06,-6.3789518598985124e-06,-0.0003559000207051353,-0.0003559000207051353,-0.0003559000207051353,-0.002366667363779916,-0.002366667363779916,-0.002366667363779916,0.0,0.0,0.0,1.1650869009183098
2025-08-21 05:00:00,1.1682565600303025,1.1633898339791675,1.1663655646946784,1.1682565600303025,1.1682565600303025,-0.0003914598620667279,-0.0003914598620667279,-0.0003914598620667279,1.5542526199719774e-06,1.5542526199719774e-06,1.5542526199719774e-06,-0.002840412874740017,-0.002840412874740017,-0.002840412874740017,-3.711332893343608e-05,-3.711332893343608e-05,-3.711332893343608e-05,-0.00035590078575326376,-0.00035590078575326376,-0.00035590078575326376,-0.0024489530126732893,-0.0024489530126732893,-0.0024489530126732893,0.0,0.0,0.0,1.164938229056193
2025-08-21 06:00:00,1.1682398799556053,1.1633636149406517,1.1665523790643075,1.1682398799556053,1.1682398799556053,-0.00035527341648288206,-0.00035527341648288206,-0.00035527341648288206,1.5542526199719774e-06,1.5542526199719774e-06,1.5542526199719774e-06,-0.0028905829486781174,-0.0028905829486781174,-0.0028905829486781174,5.512397087189588e-05,5.512397087189588e-05,5.512397087189588e-05,-0.0004119516399747499,-0.0004119516399747499,-0.0004119516399747499,-0.0025353095321952353,-0.0025353095321952353,-0.0025353095321952353,0.0,0.0,0.0,1.1648629856786399
2025-08-21 07:00:00,1.168223199880908,1.162832496311695,1.1656349870342535,1.168223199880908,1.168223199880908,-0.00045808324119732955,-0.00045808324119732955,-0.00045808324119732955,1.5542526199719774e-06,1.5542526199719774e-06,1.5542526199719774e-06,-0.0030816856555753035,-0.0030816856555753035,-0.0030816856555753035,-0.00043628604142163026,-0.00043628604142163026,-0.00043628604142163026,-2.3351452395671313e-05,-2.3351452395671313e-05,-2.3351452395671313e-05,-0.002623602414377974,-0.002623602414377974,-0.002623602414377974,0.0,0.0,0.0,1.1646231032033247
