,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2025-08-11 13:00:00,1.144243268383026,1.1575969011333884,1.1615957999085231,1.144243268383026,1.144243268383026,0.015415659921596813,0.015415659921596813,0.015415659921596813,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.0013454254880370586,0.0013454254880370586,0.0013454254880370586,0.014027199724711245,0.014027199724711245,0.014027199724711245,0.0,0.0,0.0,1.1596589283046228
1,2025-08-11 14:00:00,1.14432195123786,1.158077068054726,1.162014267332441,1.14432195123786,1.14432195123786,0.015636713457171842,0.015636713457171842,0.015636713457171842,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.001279215325593374,0.001279215325593374,0.001279215325593374,0.014314463422729958,0.014314463422729958,0.014314463422729958,0.0,0.0,0.0,1.1599586646950317
2,2025-08-11 15:00:00,1.144400634092694,1.1581215648628087,1.16218479068249,1.144400634092694,1.144400634092694,0.015846080594006794,0.015846080594006794,0.015846080594006794,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.0012030319387438203,0.0012030319387438203,0.0012030319387438203,0.014600013946414461,0.014600013946414461,0.014600013946414461,0.0,0.0,0.0,1.1602467146867008
3,2025-08-11 16:00:00,1.1444793169475282,1.158540068000658,1.162460864636143,1.1444793169475282,1.1444793169475282,0.016043350071013138,0.016043350071013138,0.016043350071013138,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.0011164594673804317,0.0011164594673804317,0.0011164594673804317,0.014883855894784196,0.014883855894784196,0.014883855894784196,0.0,0.0,0.0,1.1605226670185413
4,2025-08-11 17:00:00,1.1445579998023623,1.158757218080538,1.162616487772424,1.1445579998023623,1.1445579998023623,0.01622825948602102,0.01622825948602102,0.01622825948602102,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.0010192308909969389,0.0010192308909969389,0.0010192308909969389,0.01516599388617557,0.01516599388617557,0.01516599388617557,0.0,0.0,0.0,1.1607862592883833
5,2025-08-11 18:00:00,1.1446366826571963,1.1591202134111864,1.162952837206478,1.1446366826571963,1.1446366826571963,0.0164007001889426,0.0164007001889426,0.0164007001889426,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.0009112329221730033,0.0009112329221730033,0.0009112329221730033,0.015446432557921084,0.015446432557921084,0.015446432557921084,0.0,0.0,0.0,1.1610373828461389
6,2025-08-11 19:00:00,1.1447153655120306,1.159158816584661,1.1633645754629027,1.1447153655120306,1.1447153655120306,0.016560720076923743,0.016560720076923743,0.016560720076923743,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.0007925088023216856,0.0007925088023216856,0.0007925088023216856,0.015725176565753545,0.015725176565753545,0.015725176565753545,0.0,0.0,0.0,1.1612760855889543
7,2025-08-11 20:00:00,1.1447940483668644,1.1596121345932113,1.163456795379681,1.1447940483668644,1.1447940483668644,0.016708524257593588,0.016708524257593588,0.016708524257593588,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.000663258965601787,0.000663258965601787,0.000663258965601787,0.01600223058314329,0.01600223058314329,0.01600223058314329,0.0,0.0,0.0,1.1615025726244579
8,2025-08-11 21:00:00,1.1448727312216986,1.1597294298114817,1.1635877800108827,1.1448727312216986,1.1448727312216986,0.01684447357406956,0.01684447357406956,0.01684447357406956,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.0005238395642628351,0.0005238395642628351,0.0005238395642628351,0.016277599300958213,0.016277599300958213,0.016277599300958213,0.0,0.0,0.0,1.1617172047957682
9,2025-08-11 22:00:00,1.1449514140765327,1.1599239755063788,1.1640185448545675,1.1449514140765327,1.1449514140765327,0.016969081012693805,0.016969081012693805,0.016969081012693805,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,4.303470884851084e-05,0.0,0.0,0.0,0.0003747588769207872,0.0003747588769207872,0.0003747588769207872,0.016551287426924507,0.016551287426924507,0.016551287426924507,0.0,0.0,0.0,1.1619204950892266
