ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr_14,atr_14_lower,atr_14_upper,bbands_lower,bbands_lower_lower,bbands_lower_upper,bbands_upper,bbands_upper_lower,bbands_upper_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_5,ma_5_lower,ma_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-11 12:00:00,1.3814983203386069,1.3783815416329617,1.379060721972614,1.3814983203386069,1.3814983203386069,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0021611930562954584,-0.0021611930562954584,-0.0021611930562954584,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0006590915002049069,-0.0006590915002049069,-0.0006590915002049069,-0.0020110637684278114,-0.0020110637684278114,-0.0020110637684278114,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,0.00015012928786764691,0.00015012928786764691,0.00015012928786764691,0.0,0.0,0.0,1.37872003912043
2025-08-11 13:00:00,1.3814516559158905,1.378308622548454,1.3790753691978774,1.3814516559158905,1.3814516559158905,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0021611930562954584,-0.0021611930562954584,-0.0021611930562954584,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0006590915002049069,-0.0006590915002049069,-0.0006590915002049069,-0.002043025112642258,-0.002043025112642258,-0.002043025112642258,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,0.00011816794365320066,0.00011816794365320066,0.00011816794365320066,0.0,0.0,0.0,1.3786293154909532
2025-08-11 14:00:00,1.381404991493174,1.3782291687591295,1.3789150679910815,1.381404991493174,1.381404991493174,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0021611930562954584,-0.0021611930562954584,-0.0021611930562954584,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0006590915002049069,-0.0006590915002049069,-0.0006590915002049069,-0.0020770084915502736,-0.0020770084915502736,-0.0020770084915502736,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,8.41845647451848e-05,8.41845647451848e-05,8.41845647451848e-05,0.0,0.0,0.0,1.3785358015955729
2025-08-11 15:00:00,1.3813583270704577,1.3781430405152582,1.3788463228720973,1.3813583270704577,1.3813583270704577,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0021611930562954584,-0.0021611930562954584,-0.0021611930562954584,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0006590915002049069,-0.0006590915002049069,-0.0006590915002049069,-0.002112546597643497,-0.002112546597643497,-0.002112546597643497,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,4.864645865196136e-05,4.864645865196136e-05,4.864645865196136e-05,0.0,0.0,0.0,1.3784401432364786
2025-08-11 16:00:00,1.3813116626477415,1.3779593859099675,1.3786643846785578,1.3813116626477415,1.3813116626477415,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0021611930562954584,-0.0021611930562954584,-0.0021611930562954584,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0006590915002049069,-0.0006590915002049069,-0.0006590915002049069,-0.0021491652798116467,-0.0021491652798116467,-0.0021491652798116467,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,1.2027776483812034e-05,1.2027776483812034e-05,1.2027776483812034e-05,0.0,0.0,0.0,1.37834299558178
2025-08-11 17:00:00,1.3812649982250251,1.3778508747291,1.3786060321721705,1.3812649982250251,1.3812649982250251,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.002202029912169244,-0.002202029912169244,-0.002202029912169244,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0006999283560786926,-0.0006999283560786926,-0.0006999283560786926,-0.0022272262006089467,-0.0022272262006089467,-0.0022272262006089467,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,-2.5196288439702387e-05,-2.5196288439702387e-05,-2.5196288439702387e-05,0.0,0.0,0.0,1.3781886086309942
2025-08-11 18:00:00,1.3812183338023087,1.3776791549662044,1.3784226576127112,1.3812183338023087,1.3812183338023087,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0022101021822657635,-0.0022101021822657635,-0.0022101021822657635,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0007080006261752121,-0.0007080006261752121,-0.0007080006261752121,-0.0022726574059610837,-0.0022726574059610837,-0.0022726574059610837,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,-6.255522369532039e-05,-6.255522369532039e-05,-6.255522369532039e-05,0.0,0.0,0.0,1.3780792977267438
2025-08-11 19:00:00,1.3811716693795923,1.3776111529635169,1.378305035805999,1.3811716693795923,1.3811716693795923,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0022409704072560393,-0.0022409704072560393,-0.0022409704072560393,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0007388688511654879,-0.0007388688511654879,-0.0007388688511654879,-0.002340559179749934,-0.002340559179749934,-0.002340559179749934,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,-9.958877249389468e-05,-9.958877249389468e-05,-9.958877249389468e-05,0.0,0.0,0.0,1.3779389553500154
2025-08-11 20:00:00,1.381125004956876,1.3774517448172166,1.3782172700393356,1.381125004956876,1.381125004956876,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0022789598915600364,-0.0022789598915600364,-0.0022789598915600364,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0007768583354694852,-0.0007768583354694852,-0.0007768583354694852,-0.0024148121839154147,-0.0024148121839154147,-0.0024148121839154147,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,-0.00013585229235537813,-0.00013585229235537813,-0.00013585229235537813,0.0,0.0,0.0,1.377789847467396
2025-08-11 21:00:00,1.3810783405341598,1.3773592039017113,1.3780786245982846,1.3810783405341598,1.3810783405341598,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0022922570601832345,-0.0022922570601832345,-0.0022922570601832345,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.0007901555040926829,-0.0007901555040926829,-0.0007901555040926829,-0.0024631788934610255,-0.0024631788934610255,-0.0024631788934610255,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,-0.00017092183327779105,-0.00017092183327779105,-0.00017092183327779105,0.0,0.0,0.0,1.3776764975155398
2025-08-11 22:00:00,1.3810316761114434,1.377108020816542,1.3779708570514695,1.3810316761114434,1.3810316761114434,0.00010700662909417957,0.00010700662909417957,0.00010700662909417957,-6.507324891792992e-05,-6.507324891792992e-05,-6.507324891792992e-05,-0.00017296011234030595,-0.00017296011234030595,-0.00017296011234030595,-0.0023117244773373557,-0.0023117244773373557,-0.0023117244773373557,-0.00013176687745511466,-0.00013176687745511466,-0.00013176687745511466,-0.000809622921246804,-0.000809622921246804,-0.000809622921246804,-0.00251612335228268,-0.00251612335228268,-0.00251612335228268,-0.0012393079464713805,-0.0012393079464713805,-0.0012393079464713805,-0.00020439887494532434,-0.00020439887494532434,-0.00020439887494532434,0.0,0.0,0.0,1.3775568300609373
