,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
121,2025-08-18 14:00:00,1.4209971177560425,1.3799665499278935,1.381981562103743,1.4209971177560425,1.4209971177560425,-0.04002741512704153,-0.04002741512704153,-0.04002741512704153,0.0005730281051714663,0.0005730281051714663,0.0005730281051714663,0.0005730281051714663,0.0005730281051714663,0.0005730281051714663,0.0,0.0,0.0,6.132241592946537e-05,6.132241592946537e-05,6.132241592946537e-05,-0.04066176564814246,-0.04066176564814246,-0.04066176564814246,0.0,0.0,0.0,1.380969702629001
122,2025-08-18 15:00:00,1.4208248073747909,1.3798753638736287,1.3818529103808288,1.4208248073747909,1.4208248073747909,-0.03994722867094057,-0.03994722867094057,-0.03994722867094057,0.0004649261269829324,0.0004649261269829324,0.0004649261269829324,0.0004649261269829324,0.0004649261269829324,0.0004649261269829324,0.0,0.0,0.0,8.163171746048998e-05,8.163171746048998e-05,8.163171746048998e-05,-0.04049378651538399,-0.04049378651538399,-0.04049378651538399,0.0,0.0,0.0,1.3808775787038503
123,2025-08-18 16:00:00,1.4206524969935395,1.3794643218316278,1.3814958409017797,1.4206524969935395,1.4206524969935395,-0.04016598765116512,-0.04016598765116512,-0.04016598765116512,5.1889085452065065e-05,5.1889085452065065e-05,5.1889085452065065e-05,5.1889085452065065e-05,5.1889085452065065e-05,5.1889085452065065e-05,0.0,0.0,0.0,0.00010737525741428784,0.00010737525741428784,0.00010737525741428784,-0.040325251994031475,-0.040325251994031475,-0.040325251994031475,0.0,0.0,0.0,1.3804865093423744
124,2025-08-18 17:00:00,1.4204801866122883,1.379922446482425,1.381840017597351,1.4204801866122883,1.4204801866122883,-0.03960461455789537,-0.03960461455789537,-0.03960461455789537,0.0004122767654002901,0.0004122767654002901,0.0004122767654002901,0.0004122767654002901,0.0004122767654002901,0.0004122767654002901,0.0,0.0,0.0,0.00013928398387707847,0.00013928398387707847,0.00013928398387707847,-0.04015617530717274,-0.04015617530717274,-0.04015617530717274,0.0,0.0,0.0,1.3808755720543928
125,2025-08-18 18:00:00,1.4203078762310368,1.3798602056771512,1.3817962510172728,1.4203078762310368,1.4203078762310368,-0.03942193502894537,-0.03942193502894537,-0.03942193502894537,0.000386659436035247,0.000386659436035247,0.000386659436035247,0.000386659436035247,0.000386659436035247,0.000386659436035247,0.0,0.0,0.0,0.00017797512077524614,0.00017797512077524614,0.00017797512077524614,-0.03998656958575587,-0.03998656958575587,-0.03998656958575587,0.0,0.0,0.0,1.3808859412020915
126,2025-08-18 19:00:00,1.4201355658497854,1.3796858314192664,1.3816733933326484,1.4201355658497854,1.4201355658497854,-0.03945527790951635,-0.03945527790951635,-0.03945527790951635,0.0001372259673598441,0.0001372259673598441,0.0001372259673598441,0.0001372259673598441,0.0001372259673598441,0.0001372259673598441,0.0,0.0,0.0,0.00022394399114537218,0.00022394399114537218,0.00022394399114537218,-0.03981644786802156,-0.03981644786802156,-0.03981644786802156,0.0,0.0,0.0,1.380680287940269
127,2025-08-18 20:00:00,1.4199632554685342,1.3796625956521051,1.381581898202818,1.4199632554685342,1.4199632554685342,-0.03941017657185529,-0.03941017657185529,-0.03941017657185529,-4.1911035624075405e-05,-4.1911035624075405e-05,-4.1911035624075405e-05,-4.1911035624075405e-05,-4.1911035624075405e-05,-4.1911035624075405e-05,0.0,0.0,0.0,0.0002775575625481997,0.0002775575625481997,0.0002775575625481997,-0.03964582309877942,-0.03964582309877942,-0.03964582309877942,0.0,0.0,0.0,1.3805530788966789
128,2025-08-18 21:00:00,1.4197909450872828,1.379583305238956,1.3814466385003845,1.4197909450872828,1.4197909450872828,-0.03933844675607669,-0.03933844675607669,-0.03933844675607669,-0.00020278841686660162,-0.00020278841686660162,-0.00020278841686660162,-0.00020278841686660162,-0.00020278841686660162,-0.00020278841686660162,0.0,0.0,0.0,0.0003390497896938359,0.0003390497896938359,0.0003390497896938359,-0.03947470812890393,-0.03947470812890393,-0.03947470812890393,0.0,0.0,0.0,1.380452498331206
129,2025-08-18 22:00:00,1.4196186347060313,1.3797508378844918,1.3816706227826878,1.4196186347060313,1.4196186347060313,-0.03884155756878009,-0.03884155756878009,-0.03884155756878009,5.303934014900761e-05,5.303934014900761e-05,5.303934014900761e-05,5.303934014900761e-05,5.303934014900761e-05,5.303934014900761e-05,0.0,0.0,0.0,0.00040851880579415587,0.00040851880579415587,0.00040851880579415587,-0.03930311571472326,-0.03930311571472326,-0.03930311571472326,0.0,0.0,0.0,1.3807770771372512
130,2025-08-18 23:00:00,1.4194463243247801,1.3799210142869565,1.3818563465023361,1.4194463243247801,1.4194463243247801,-0.03860158033194014,-0.03860158033194014,-0.03860158033194014,4.355219564088832e-05,4.355219564088832e-05,4.355219564088832e-05,4.355219564088832e-05,4.355219564088832e-05,4.355219564088832e-05,0.0,0.0,0.0,0.0004859259898398817,0.0004859259898398817,0.0004859259898398817,-0.03913105851742091,-0.03913105851742091,-0.03913105851742091,0.0,0.0,0.0,1.38084474399284
