ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr_14,atr_14_lower,atr_14_upper,bbands_upper,bbands_upper_lower,bbands_upper_upper,carry_trade_proxy,carry_trade_proxy_lower,carry_trade_proxy_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_5,ma_5_lower,ma_5_upper,macd,macd_lower,macd_upper,market_session,market_session_lower,market_session_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-11 12:00:00,1.3802175607227087,1.3782940763223577,1.3788715998423144,1.3802175607227087,1.3802175607227087,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.001267975120074297,-0.001267975120074297,-0.001267975120074297,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.00010949696486231875,-0.00010949696486231875,-0.00010949696486231875,-6.774200536611531e-05,-6.774200536611531e-05,-6.774200536611531e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-6.911690449600085e-05,-6.911690449600085e-05,-6.911690449600085e-05,-0.0011804112586270901,-0.0011804112586270901,-0.0011804112586270901,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,8.756386144720693e-05,8.756386144720693e-05,8.756386144720693e-05,0.0,0.0,0.0,1.3785883363746767
2025-08-11 13:00:00,1.3801655496974232,1.3782412941500206,1.3787724925999827,1.3801655496974232,1.3801655496974232,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.001280844821045993,-0.001280844821045993,-0.001280844821045993,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.00010949696486231875,-0.00010949696486231875,-0.00010949696486231875,-8.061170633781137e-05,-8.061170633781137e-05,-8.061170633781137e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-6.911690449600085e-05,-6.911690449600085e-05,-6.911690449600085e-05,-0.001213951035758916,-0.001213951035758916,-0.001213951035758916,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,6.689378528707701e-05,6.689378528707701e-05,6.689378528707701e-05,0.0,0.0,0.0,1.3784900962988493
2025-08-11 14:00:00,1.380113538672138,1.3781757124246892,1.3787135623323268,1.380113538672138,1.380113538672138,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.0012676069814904407,-0.0012676069814904407,-0.0012676069814904407,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.00010949696486231875,-0.00010949696486231875,-0.00010949696486231875,-6.73738667822591e-05,-6.73738667822591e-05,-6.73738667822591e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-6.911690449600085e-05,-6.911690449600085e-05,-6.911690449600085e-05,-0.0012236693329269871,-0.0012236693329269871,-0.0012236693329269871,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,4.393764856345367e-05,4.393764856345367e-05,4.393764856345367e-05,0.0,0.0,0.0,1.3784247360589075
2025-08-11 15:00:00,1.3800615276468524,1.3780543497377753,1.3786149469017732,1.3800615276468524,1.3800615276468524,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.0012711188783023702,-0.0012711188783023702,-0.0012711188783023702,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.00010949696486231875,-0.00010949696486231875,-0.00010949696486231875,-7.088576359418862e-05,-7.088576359418862e-05,-7.088576359418862e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-6.911690449600085e-05,-6.911690449600085e-05,-6.911690449600085e-05,-0.0012521412162401734,-0.0012521412162401734,-0.0012521412162401734,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,1.897766206219675e-05,1.897766206219675e-05,1.897766206219675e-05,0.0,0.0,0.0,1.3783334957271385
2025-08-11 16:00:00,1.3800095166215671,1.377902980638213,1.3784707772109681,1.3800095166215671,1.3800095166215671,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.0012782061004233303,-0.0012782061004233303,-0.0012782061004233303,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.00010949696486231875,-0.00010949696486231875,-0.00010949696486231875,-7.797298571514868e-05,-7.797298571514868e-05,-7.797298571514868e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-1.2180421973949342e-05,-6.911690449600085e-05,-6.911690449600085e-05,-6.911690449600085e-05,-0.0012858960826919099,-0.0012858960826919099,-0.0012858960826919099,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,-7.689982268579606e-06,-7.689982268579606e-06,-7.689982268579606e-06,0.0,0.0,0.0,1.3782349677900658
2025-08-11 17:00:00,1.3799575055962816,1.3778992038930729,1.3784392616238466,1.3799575055962816,1.3799575055962816,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.0012703958127845876,-0.0012703958127845876,-0.0012703958127845876,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.00011628132146729595,-0.00011628132146729595,-0.00011628132146729595,-8.796309023502491e-05,-8.796309023502491e-05,-8.796309023502491e-05,1.2404326789646936e-05,1.2404326789646936e-05,1.2404326789646936e-05,-6.911690449600085e-05,-6.911690449600085e-05,-6.911690449600085e-05,-0.0013061546609593336,-0.0013061546609593336,-0.0013061546609593336,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,-3.575884817474618e-05,-3.575884817474618e-05,-3.575884817474618e-05,0.0,0.0,0.0,1.3781550676684213
2025-08-11 18:00:00,1.3799054945709963,1.3778404965015048,1.3784106687103423,1.3799054945709963,1.3799054945709963,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.001232481004141159,-0.001232481004141159,-0.001232481004141159,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.0001176223933440277,-0.0001176223933440277,-0.0001176223933440277,-9.939819896974168e-05,-9.939819896974168e-05,-9.939819896974168e-05,1.2404326789646936e-05,1.2404326789646936e-05,1.2404326789646936e-05,-1.84259152411238e-05,-1.84259152411238e-05,-1.84259152411238e-05,-0.0012973970349108531,-0.0012973970349108531,-0.0012973970349108531,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,-6.49160307696941e-05,-6.49160307696941e-05,-6.49160307696941e-05,0.0,0.0,0.0,1.3781152092738826
2025-08-11 19:00:00,1.3798534835457108,1.3776934375758032,1.3782161267915432,1.3798534835457108,1.3798534835457108,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.0012693741054869865,-0.0012693741054869865,-0.0012693741054869865,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.0001227506296299934,-0.0001227506296299934,-0.0001227506296299934,-9.58954860234022e-05,-9.58954860234022e-05,-9.58954860234022e-05,1.2404326789646936e-05,1.2404326789646936e-05,1.2404326789646936e-05,-5.369349324732485e-05,-5.369349324732485e-05,-5.369349324732485e-05,-0.0013642200293568604,-0.0013642200293568604,-0.0013642200293568604,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,-9.484592386987416e-05,-9.484592386987416e-05,-9.484592386987416e-05,0.0,0.0,0.0,1.3779710597858799
2025-08-11 20:00:00,1.3798014725204255,1.3775589274190272,1.3780691030144454,1.3798014725204255,1.3798014725204255,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.001301861004654443,-0.001301861004654443,-0.001301861004654443,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.000129061943349984,-0.000129061943349984,-0.000129061943349984,-0.00011103440070315469,-0.00011103440070315469,-0.00011103440070315469,1.2404326789646936e-05,1.2404326789646936e-05,1.2404326789646936e-05,-6.473016401503853e-05,-6.473016401503853e-05,-6.473016401503853e-05,-0.0014270949371239085,-0.0014270949371239085,-0.0014270949371239085,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,-0.0001252339324694655,-0.0001252339324694655,-0.0001252339324694655,0.0,0.0,0.0,1.3778323648247555
2025-08-11 21:00:00,1.37974946149514,1.3775389162468412,1.3780393255839545,1.37974946149514,1.37974946149514,-0.0001449522310763334,-0.0001449522310763334,-0.0001449522310763334,-6.72772699974415e-05,-6.72772699974415e-05,-6.72772699974415e-05,0.0003012742286511933,0.0003012742286511933,0.0003012742286511933,-0.0012650912512023856,-0.0012650912512023856,-0.0012650912512023856,-0.00036797661255212627,-0.00036797661255212627,-0.00036797661255212627,-0.00013127104421845209,-0.00013127104421845209,-0.00013127104421845209,-0.00011027313682911711,-0.00011027313682911711,-0.00011027313682911711,1.2404326789646936e-05,1.2404326789646936e-05,1.2404326789646936e-05,-2.6512573568550354e-05,-2.6512573568550354e-05,-2.6512573568550354e-05,-0.001420861336282111,-0.001420861336282111,-0.001420861336282111,-0.0007596039218523903,-0.0007596039218523903,-0.0007596039218523903,2.9096983451185394e-05,2.9096983451185394e-05,2.9096983451185394e-05,-0.0001557700850797254,-0.0001557700850797254,-0.0001557700850797254,0.0,0.0,0.0,1.3777890288315453
