ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,day_sin,day_sin_lower,day_sin_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hour_sin,hour_sin_lower,hour_sin_upper,market_session,market_session_lower,market_session_upper,momentum_lag_20,momentum_lag_20_lower,momentum_lag_20_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,return_regime,return_regime_lower,return_regime_upper,volatility_lag_20,volatility_lag_20_lower,volatility_lag_20_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,1.38869424039793,1.3862547609188263,1.3884506079098204,1.38869424039793,1.38869424039793,-4.14996978486114e-05,-4.14996978486114e-05,-4.14996978486114e-05,-0.0003664244865653434,-0.0003664244865653434,-0.0003664244865653434,-0.00010750672320903961,-0.00010750672320903961,-0.00010750672320903961,-5.72800233919051e-05,-5.72800233919051e-05,-5.72800233919051e-05,2.278427496328775e-05,2.278427496328775e-05,2.278427496328775e-05,-0.0010024263676813355,-0.0010024263676813355,-0.0010024263676813355,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,3.600845061253071e-05,3.600845061253071e-05,3.600845061253071e-05,-0.0002183975510495868,-0.0002183975510495868,-0.0002183975510495868,-0.0006360018811159921,-0.0006360018811159921,-0.0006360018811159921,0.0,0.0,0.0,1.387302176674708
2025-08-20 23:00:00,1.3885686426163215,1.385892307674485,1.3879111638115258,1.3885686426163215,1.3885686426163215,-4.14996978486114e-05,-4.14996978486114e-05,-4.14996978486114e-05,-0.0004483574323442673,-0.0004483574323442673,-0.0004483574323442673,-5.816741336728679e-05,-5.816741336728679e-05,-5.816741336728679e-05,-5.72800233919051e-05,-5.72800233919051e-05,-5.72800233919051e-05,-0.00011849286497743114,-0.00011849286497743114,-0.00011849286497743114,-0.0010209692819274493,-0.0010209692819274493,-0.0010209692819274493,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,2.5806458713966347e-05,2.5806458713966347e-05,2.5806458713966347e-05,-0.00019819067483098024,-0.00019819067483098024,-0.00019819067483098024,-0.000572611849583182,-0.000572611849583182,-0.000572611849583182,0.0,0.0,0.0,1.3871509566863627
2025-08-21 00:00:00,1.3884430448347127,1.3863290103632018,1.3885407537603418,1.3884430448347127,1.3884430448347127,-8.65296871809871e-06,-8.65296871809871e-06,-8.65296871809871e-06,-0.00013501893362224043,-0.00013501893362224043,-0.00013501893362224043,-5.219811991845838e-06,-5.219811991845838e-06,-5.219811991845838e-06,-1.4464166980674028e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,6.891451193385151e-05,6.891451193385151e-05,6.891451193385151e-05,-0.00064523093362597,-0.00064523093362597,-0.00064523093362597,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,2.312739360752588e-05,2.312739360752588e-05,2.312739360752588e-05,-0.00019819067483098024,-0.00019819067483098024,-0.00019819067483098024,-0.0005102120000037296,-0.0005102120000037296,-0.0005102120000037296,0.0,0.0,0.0,1.3875471784326074
2025-08-21 01:00:00,1.388317447053104,1.3868951724681353,1.3888931399617912,1.388317447053104,1.388317447053104,-8.65296871809871e-06,-8.65296871809871e-06,-8.65296871809871e-06,0.00015910372659467978,0.00015910372659467978,0.00015910372659467978,4.7727789383594934e-05,4.7727789383594934e-05,4.7727789383594934e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,0.00031341398771779613,0.00031341398771779613,0.00031341398771779613,-0.00029020126550385905,-0.00029020126550385905,-0.00029020126550385905,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,1.980297666506069e-05,1.980297666506069e-05,1.980297666506069e-05,-0.00019819067483098024,-0.00019819067483098024,-0.00019819067483098024,-0.0004493049920985389,-0.0004493049920985389,-0.0004493049920985389,0.0,0.0,0.0,1.387914555573048
2025-08-21 02:00:00,1.3881918492714953,1.3866127265021893,1.3889617638395952,1.3881918492714953,1.3881918492714953,-8.65296871809871e-06,-8.65296871809871e-06,-8.65296871809871e-06,0.00011564289856188294,0.00011564289856188294,0.00011564289856188294,9.706709922534783e-05,9.706709922534783e-05,9.706709922534783e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,0.00022649581253350584,0.00022649581253350584,0.00022649581253350584,-0.0002747453508710517,-0.0002747453508710517,-0.0002747453508710517,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,2.0656639381003437e-05,2.0656639381003437e-05,2.0656639381003437e-05,-0.00020492630023718244,-0.00020492630023718244,-0.00020492630023718244,-0.0003903882494329346,-0.0003903882494329346,-0.0003903882494329346,0.0,0.0,0.0,1.387810450014791
2025-08-21 03:00:00,1.3880662514898865,1.3870090061730944,1.3891430829812816,1.3880662514898865,1.3880662514898865,-8.65296871809871e-06,-8.65296871809871e-06,-8.65296871809871e-06,0.00024872691344535755,0.00024872691344535755,0.00024872691344535755,0.00013943572510476213,0.00013943572510476213,0.00013943572510476213,-1.4464166980674028e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,0.00032156027729968856,0.00032156027729968856,0.00032156027729968856,-8.521873378577015e-05,-8.521873378577015e-05,-8.521873378577015e-05,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,2.3043189025083224e-05,2.3043189025083224e-05,2.3043189025083224e-05,-0.0002116619256433846,-0.0002116619256433846,-0.0002116619256433846,-0.00033394564723112773,-0.00033394564723112773,-0.00033394564723112773,0.0,0.0,0.0,1.3879479622415238
2025-08-21 04:00:00,1.387940653708278,1.3866293694717162,1.3887275823680705,1.387940653708278,1.387940653708278,-8.65296871809871e-06,-8.65296871809871e-06,-8.65296871809871e-06,0.00026365727513766324,0.00026365727513766324,0.00026365727513766324,0.00017194631518562052,0.00017194631518562052,0.00017194631518562052,-1.4464166980674028e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,0.00031067651645566504,0.00031067651645566504,0.00031067651645566504,-1.6781955551667496e-05,-1.6781955551667496e-05,-1.6781955551667496e-05,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,2.308234688675621e-05,2.308234688675621e-05,2.308234688675621e-05,-0.0002183975510495868,-0.0002183975510495868,-0.0002183975510495868,-0.00028043923068933065,-0.00028043923068933065,-0.00028043923068933065,0.0,0.0,0.0,1.387917361349919
2025-08-21 05:00:00,1.387815055926669,1.3864030509124583,1.3889490304908565,1.387815055926669,1.387815055926669,-8.65296871809871e-06,-8.65296871809871e-06,-8.65296871809871e-06,6.461274235313892e-05,6.461274235313892e-05,6.461274235313892e-05,0.00019238332648020292,0.00019238332648020292,0.00019238332648020292,-1.4464166980674028e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,7.43073606338005e-05,7.43073606338005e-05,7.43073606338005e-05,-0.00016568834270820227,-0.00016568834270820227,-0.00016568834270820227,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,1.3027457004705238e-05,1.3027457004705238e-05,1.3027457004705238e-05,-0.000191455049424778,-0.000191455049424778,-0.000191455049424778,-0.0002303010850613412,-0.0002303010850613412,-0.0002303010850613412,0.0,0.0,0.0,1.387585111150067
2025-08-21 06:00:00,1.3876894581450605,1.38632018165731,1.3884342937126806,1.3876894581450605,1.3876894581450605,-8.65296871809871e-06,-8.65296871809871e-06,-8.65296871809871e-06,-4.003064568694107e-05,-4.003064568694107e-05,-4.003064568694107e-05,0.00019935401044254153,0.00019935401044254153,0.00019935401044254153,-1.4464166980674028e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,4.714482071946437e-05,4.714482071946437e-05,4.714482071946437e-05,-0.0002239561237089771,-0.0002239561237089771,-0.0002239561237089771,-7.971588798184229e-05,-7.971588798184229e-05,-7.971588798184229e-05,1.4494221662648281e-05,1.4494221662648281e-05,1.4494221662648281e-05,-0.00019819067483098024,-0.00019819067483098024,-0.00019819067483098024,-0.00018392547802203606,-0.00018392547802203606,-0.00018392547802203606,0.0,0.0,0.0,1.3873786765931027
2025-08-21 07:00:00,1.3875638603634517,1.3865637264106678,1.388896406931292,1.3875638603634517,1.3875638603634517,-8.65296871809871e-06,-8.65296871809871e-06,-8.65296871809871e-06,0.0001368303590807757,0.0001368303590807757,0.0001368303590807757,0.00019238332648020292,0.00019238332648020292,0.00019238332648020292,-1.4464166980674028e-05,-1.4464166980674028e-05,-1.4464166980674028e-05,0.00015582400657974726,0.00015582400657974726,0.00015582400657974726,-4.831032927404057e-06,-4.831032927404057e-06,-4.831032927404057e-06,-5.332166420190119e-07,-5.332166420190119e-07,-5.332166420190119e-07,1.719967859879971e-05,1.719967859879971e-05,1.719967859879971e-05,-0.00020492630023718244,-0.00020492630023718244,-0.00020492630023718244,-0.00014166139200817973,-0.00014166139200817973,-0.00014166139200817973,0.0,0.0,0.0,1.3875571569967535
