ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr_14,atr_14_lower,atr_14_upper,carry_trade_proxy,carry_trade_proxy_lower,carry_trade_proxy_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,market_session,market_session_lower,market_session_upper,mean_reversion,mean_reversion_lower,mean_reversion_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,risk_sentiment,risk_sentiment_lower,risk_sentiment_upper,rsi_14,rsi_14_lower,rsi_14_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-11 12:00:00,1.3817795306020975,1.3782683077272901,1.3784290000653265,1.3817795306020975,1.3817795306020975,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.0024855939210767708,-0.0024855939210767708,-0.0024855939210767708,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,5.493844577145245e-06,5.493844577145245e-06,5.493844577145245e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,2.063165381571117e-06,2.063165381571117e-06,2.063165381571117e-06,-0.0024835008670793346,-0.0024835008670793346,-0.0024835008670793346,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,2.0930539974364594e-06,2.0930539974364594e-06,2.0930539974364594e-06,0.0,0.0,0.0,1.3783478799397346
2025-08-11 13:00:00,1.3817375236401688,1.378215008723677,1.3783906490379156,1.3817375236401688,1.3817375236401688,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.0024855939210767708,-0.0024855939210767708,-0.0024855939210767708,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,5.493844577145245e-06,5.493844577145245e-06,5.493844577145245e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,2.063165381571117e-06,2.063165381571117e-06,2.063165381571117e-06,-0.002487030262609391,-0.002487030262609391,-0.002487030262609391,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-1.4363415326203521e-06,-1.4363415326203521e-06,-1.4363415326203521e-06,0.0,0.0,0.0,1.3783011006038925
2025-08-11 14:00:00,1.3816955166782403,1.378173548833476,1.3783417247256902,1.3816955166782403,1.3816955166782403,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.0024855939210767708,-0.0024855939210767708,-0.0024855939210767708,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,5.493844577145245e-06,5.493844577145245e-06,5.493844577145245e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,2.063165381571117e-06,2.063165381571117e-06,2.063165381571117e-06,-0.0024905322772425967,-0.0024905322772425967,-0.0024905322772425967,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-4.938356165826211e-06,-4.938356165826211e-06,-4.938356165826211e-06,0.0,0.0,0.0,1.3782543593966317
2025-08-11 15:00:00,1.3816535097163114,1.3781253853082502,1.3782808177681725,1.3816535097163114,1.3816535097163114,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.0024855939210767708,-0.0024855939210767708,-0.0024855939210767708,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,5.493844577145245e-06,5.493844577145245e-06,5.493844577145245e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,2.063165381571117e-06,2.063165381571117e-06,2.063165381571117e-06,-0.0024939675729332617,-0.0024939675729332617,-0.0024939675729332617,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-8.373651856491046e-06,-8.373651856491046e-06,-8.373651856491046e-06,0.0,0.0,0.0,1.3782077106660495
2025-08-11 16:00:00,1.3816115027543827,1.3780786851775322,1.378246248139609,1.3816115027543827,1.3816115027543827,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.002496682600021082,-0.002496682600021082,-0.002496682600021082,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,-5.594834367166295e-06,-5.594834367166295e-06,-5.594834367166295e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,2.063165381571117e-06,2.063165381571117e-06,2.063165381571117e-06,-0.002508387236474973,-0.002508387236474973,-0.002508387236474973,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-1.1704636453890282e-05,-1.1704636453890282e-05,-1.1704636453890282e-05,0.0,0.0,0.0,1.3781458860951066
2025-08-11 17:00:00,1.381569495792454,1.3780095299148034,1.378167074514516,1.381569495792454,1.381569495792454,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.002496682600021082,-0.002496682600021082,-0.002496682600021082,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,-5.594834367166295e-06,-5.594834367166295e-06,-5.594834367166295e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,2.063165381571117e-06,2.063165381571117e-06,2.063165381571117e-06,-0.0025115784861278224,-0.0025115784861278224,-0.0025115784861278224,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-1.4895886106740674e-05,-1.4895886106740674e-05,-1.4895886106740674e-05,0.0,0.0,0.0,1.3780995755697312
2025-08-11 18:00:00,1.3815274888305253,1.3779600535005394,1.3781483156576324,1.3815274888305253,1.3815274888305253,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.0024981957449593697,-0.0024981957449593697,-0.0024981957449593697,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,-5.594834367166295e-06,-5.594834367166295e-06,-5.594834367166295e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,5.500204432831603e-07,5.500204432831603e-07,5.500204432831603e-07,-0.0025161102793614747,-0.0025161102793614747,-0.0025161102793614747,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-1.7914534402104825e-05,-1.7914534402104825e-05,-1.7914534402104825e-05,0.0,0.0,0.0,1.3780514133146584
2025-08-11 19:00:00,1.3814854818685967,1.3779244721277304,1.378105773537947,1.3814854818685967,1.3814854818685967,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.00249714299460018,-0.00249714299460018,-0.00249714299460018,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,-5.594834367166295e-06,-5.594834367166295e-06,-5.594834367166295e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,1.6027708024729738e-06,1.6027708024729738e-06,1.6027708024729738e-06,-0.0025178736182912575,-0.0025178736182912575,-0.0025178736182912575,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-2.0730623691077594e-05,-2.0730623691077594e-05,-2.0730623691077594e-05,0.0,0.0,0.0,1.3780070760197474
2025-08-11 20:00:00,1.381443474906668,1.377898492723717,1.3780341453814626,1.381443474906668,1.381443474906668,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.0024968135458608045,-0.0024968135458608045,-0.0024968135458608045,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,-5.594834367166295e-06,-5.594834367166295e-06,-5.594834367166295e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,1.932219541848481e-06,1.932219541848481e-06,1.932219541848481e-06,-0.0025201309604187864,-0.0025201309604187864,-0.0025201309604187864,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-2.3317414557981727e-05,-2.3317414557981727e-05,-2.3317414557981727e-05,0.0,0.0,0.0,1.377962056435487
2025-08-11 21:00:00,1.3814014679447393,1.3778283316903297,1.3780129357255801,1.3814014679447393,1.3814014679447393,-0.00010280287787344086,-0.00010280287787344086,-0.00010280287787344086,3.412872449083498e-06,3.412872449083498e-06,3.412872449083498e-06,-0.0024979543551917668,-0.0024979543551917668,-0.0024979543551917668,-0.0021991437478715687,-0.0021991437478715687,-0.0021991437478715687,-5.594834367166295e-06,-5.594834367166295e-06,-5.594834367166295e-06,-0.00010987221916735106,-0.00010987221916735106,-0.00010987221916735106,7.914102108863321e-07,7.914102108863321e-07,7.914102108863321e-07,-0.0025236060051436714,-0.0025236060051436714,-0.0025236060051436714,1.3126471827254424e-05,1.3126471827254424e-05,1.3126471827254424e-05,-9.066912347806685e-05,-9.066912347806685e-05,-9.066912347806685e-05,-7.202306921397149e-06,-7.202306921397149e-06,-7.202306921397149e-06,-2.565164995190442e-05,-2.565164995190442e-05,-2.565164995190442e-05,0.0,0.0,0.0,1.3779153549047196
