,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,adx,adx_lower,adx_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2025-08-11 12:00:00,1.3749622699074746,1.377814079266541,1.3790499276220145,1.3749622699074746,1.3749622699074746,0.0034424666564167685,0.0034424666564167685,0.0034424666564167685,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-3.928972805199982e-05,-3.928972805199982e-05,-3.928972805199982e-05,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.000105625484552031,-0.000105625484552031,-0.000105625484552031,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.0034817563844687684,0.0034817563844687684,0.0034817563844687684,0.0,0.0,0.0,1.3784047365638914
1,2025-08-11 13:00:00,1.3748902099261868,1.3777715218475795,1.3788936222610169,1.3748902099261868,1.3748902099261868,0.003433723276685768,0.003433723276685768,0.003433723276685768,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-8.379080474921405e-05,-8.379080474921405e-05,-8.379080474921405e-05,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.00015012656124924523,-0.00015012656124924523,-0.00015012656124924523,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.0035175140814349823,0.0035175140814349823,0.0035175140814349823,0.0,0.0,0.0,1.3783239332028725
2,2025-08-11 14:00:00,1.3748181499448993,1.3778021588531026,1.3789352356525797,1.3748181499448993,1.3748181499448993,0.003516824237753164,0.003516824237753164,0.003516824237753164,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-3.8016772029834366e-05,-3.8016772029834366e-05,-3.8016772029834366e-05,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.00010435252852986556,-0.00010435252852986556,-0.00010435252852986556,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.003554841009782998,0.003554841009782998,0.003554841009782998,0.0,0.0,0.0,1.3783349741826525
3,2025-08-11 15:00:00,1.3747460899636115,1.3776904305487025,1.3788864688351994,1.3747460899636115,1.3747460899636115,0.0035435652815901508,0.0035435652815901508,0.0035435652815901508,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-5.016027013628511e-05,-5.016027013628511e-05,-5.016027013628511e-05,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.0001164960266363163,-0.0001164960266363163,-0.0001164960266363163,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.003593725551726436,0.003593725551726436,0.003593725551726436,0.0,0.0,0.0,1.3782896552452015
4,2025-08-11 16:00:00,1.374674029982324,1.377647741751947,1.3788122524636464,1.374674029982324,1.374674029982324,0.0035594894419972486,0.0035594894419972486,0.0035594894419972486,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-7.466659051378745e-05,-7.466659051378745e-05,-7.466659051378745e-05,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.00014100234701381863,-0.00014100234701381863,-0.00014100234701381863,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.003634156032511036,0.003634156032511036,0.003634156032511036,0.0,0.0,0.0,1.3782335194243212
5,2025-08-11 17:00:00,1.3746019700010361,1.3775628179483816,1.378735478686809,1.3746019700010361,1.3746019700010361,0.0035669101730164523,0.0035669101730164523,0.0035669101730164523,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-0.0001092105483283419,-0.0001092105483283419,-0.0001092105483283419,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.0001755463048283731,-0.0001755463048283731,-0.0001755463048283731,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.0036761207213447944,0.0036761207213447944,0.0036761207213447944,0.0,0.0,0.0,1.3781688801740526
6,2025-08-11 18:00:00,1.3745299100197486,1.3775605291266215,1.3787058338629126,1.3745299100197486,1.3745299100197486,0.0035708567649336445,0.0035708567649336445,0.0035708567649336445,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-0.000148751066943636,-0.000148751066943636,-0.000148751066943636,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.00021508682344366717,-0.00021508682344366717,-0.00021508682344366717,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.0037196078318772804,0.0037196078318772804,0.0037196078318772804,0.0,0.0,0.0,1.3781007667846823
7,2025-08-11 19:00:00,1.374457850038461,1.377469644597302,1.3786320036965427,1.374457850038461,1.374457850038461,0.0036279661979488616,0.0036279661979488616,0.0036279661979488616,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-0.00013663932496795302,-0.00013663932496795302,-0.00013663932496795302,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.0002029750814679842,-0.0002029750814679842,-0.0002029750814679842,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.0037646055229168143,0.0037646055229168143,0.0037646055229168143,0.0,0.0,0.0,1.3780858162364098
8,2025-08-11 20:00:00,1.3743857900571734,1.377399343309673,1.3786042006966364,1.3743857900571734,1.3743857900571734,0.0036221149708064635,0.0036221149708064635,0.0036221149708064635,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-0.00018898692844047284,-0.00018898692844047284,-0.00018898692844047284,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.00025532268494050405,-0.00025532268494050405,-0.00025532268494050405,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.0038111018992469364,0.0038111018992469364,0.0038111018992469364,0.0,0.0,0.0,1.3780079050279799
9,2025-08-11 21:00:00,1.3743137300758856,1.377400726815597,1.3785696345080318,1.3743137300758856,1.3743137300758856,0.0036727303952032654,0.0036727303952032654,0.0036727303952032654,-2.2888448112139953e-05,-2.2888448112139953e-05,-2.2888448112139953e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,-1.0483939818124087e-05,1.9234500229336608e-06,1.9234500229336608e-06,1.9234500229336608e-06,-0.00018635461692679663,-0.00018635461692679663,-0.00018635461692679663,8.817577448140425e-05,8.817577448140425e-05,8.817577448140425e-05,-0.00025269037342682784,-0.00025269037342682784,-0.00025269037342682784,1.0353540874002206e-05,1.0353540874002206e-05,1.0353540874002206e-05,-7.446209480448883e-07,-7.446209480448883e-07,-7.446209480448883e-07,0.0,0.0,0.0,0.003859085012130062,0.003859085012130062,0.003859085012130062,0.0,0.0,0.0,1.377986460471089
