ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_5,ma_5_lower,ma_5_upper,market_session,market_session_lower,market_session_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2024-09-10 23:00:00,144.86536754315185,141.32981433027723,142.17794758528845,144.86536754315185,144.86536754315185,-0.02130685695341044,-0.02130685695341044,-0.02130685695341044,-0.019826933258898116,-0.019826933258898116,-0.019826933258898116,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.02136914609454311,-0.02136914609454311,-0.02136914609454311,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,-6.228914113266962e-05,-6.228914113266962e-05,-6.228914113266962e-05,0.0,0.0,0.0,141.76971834008256
2024-09-11 23:00:00,144.93064964430343,141.34455079121486,142.39652564337203,144.93064964430343,144.93064964430343,-0.02130685695341044,-0.02130685695341044,-0.02130685695341044,-0.019826933258898116,-0.019826933258898116,-0.019826933258898116,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.020771825458574707,-0.020771825458574707,-0.020771825458574707,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,0.0005350314948357369,0.0005350314948357369,0.0005350314948357369,0.0,0.0,0.0,141.9201754862941
2024-09-12 23:00:00,144.99593174545498,141.5265020848357,142.31112954929208,144.99593174545498,144.99593174545498,-0.02130685695341044,-0.02130685695341044,-0.02130685695341044,-0.019826933258898116,-0.019826933258898116,-0.019826933258898116,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.020960015618013583,-0.020960015618013583,-0.020960015618013583,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,0.0003468413353968539,0.0003468413353968539,0.0003468413353968539,0.0,0.0,0.0,141.95681475152182
2024-09-15 23:00:00,145.19177804890964,141.59889835224163,142.50550664182893,145.19177804890964,145.19177804890964,-0.02130685695341044,-0.02130685695341044,-0.02130685695341044,-0.019826933258898116,-0.019826933258898116,-0.019826933258898116,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.021391824345888856,-0.021391824345888856,-0.021391824345888856,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,-8.496739247841666e-05,-8.496739247841666e-05,-8.496739247841666e-05,0.0,0.0,0.0,142.08586103642008
2024-09-16 23:00:00,145.2570601500612,141.71727250953734,142.64098319240998,145.2570601500612,145.2570601500612,-0.02130685695341044,-0.02130685695341044,-0.02130685695341044,-0.019826933258898116,-0.019826933258898116,-0.019826933258898116,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.02149262954157849,-0.02149262954157849,-0.02149262954157849,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,-0.0001857725881680497,-0.0001857725881680497,-0.0001857725881680497,0.0,0.0,0.0,142.13510396795715
2024-09-17 23:00:00,145.32234225121277,141.71642027058016,142.62268884737827,145.32234225121277,145.32234225121277,-0.021425605483260765,-0.021425605483260765,-0.021425605483260765,-0.01994568178874844,-0.01994568178874844,-0.01994568178874844,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.02148789462439457,-0.02148789462439457,-0.02148789462439457,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,-6.228914113380759e-05,-6.228914113380759e-05,-6.228914113380759e-05,0.0,0.0,0.0,142.19967107434852
2024-09-18 23:00:00,145.38762435236433,141.9027806632681,142.9263262641263,145.38762435236433,145.38762435236433,-0.021360530428406202,-0.021360530428406202,-0.021360530428406202,-0.01988060673389388,-0.01988060673389388,-0.01988060673389388,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.02082549893357158,-0.02082549893357158,-0.02082549893357158,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,0.0005350314948346245,0.0005350314948346245,0.0005350314948346245,0.0,0.0,0.0,142.35985453645966
2024-09-19 23:00:00,145.45290645351588,142.10176529680018,142.86757580859629,145.45290645351588,145.45290645351588,-0.020623614384468962,-0.020623614384468962,-0.020623614384468962,-0.019143690689956635,-0.019143690689956635,-0.019143690689956635,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.020276773049073802,-0.020276773049073802,-0.020276773049073802,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,0.0003468413353951603,0.0003468413353951603,0.0003468413353951603,0.0,0.0,0.0,142.50359088002978
2024-09-22 23:00:00,145.64875275697057,142.47735209021462,143.24818836038568,145.64875275697057,145.64875275697057,-0.01888083574121637,-0.01888083574121637,-0.01888083574121637,-0.017400912046704048,-0.017400912046704048,-0.017400912046704048,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.01896580313369645,-0.01896580313369645,-0.01896580313369645,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,-8.496739248007386e-05,-8.496739248007386e-05,-8.496739248007386e-05,0.0,0.0,0.0,142.88640718551343
2024-09-23 23:00:00,145.65082413113998,142.6955989123788,143.59407782370218,145.65082413113998,145.65082413113998,-0.017336517398757495,-0.017336517398757495,-0.017336517398757495,-0.01585659370424517,-0.01585659370424517,-0.01585659370424517,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.017522289986927137,-0.017522289986927137,-0.017522289986927137,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,-0.00018577258816964337,-0.00018577258816964337,-0.00018577258816964337,0.0,0.0,0.0,143.0986881538792
2024-09-24 23:00:00,145.6528955053094,142.8157420496987,143.5779969101936,145.6528955053094,145.6528955053094,-0.016822469972437755,-0.016822469972437755,-0.016822469972437755,-0.01534254627792543,-0.01534254627792543,-0.01534254627792543,0.0004368791034023574,0.0004368791034023574,0.0004368791034023574,-0.016884759113569698,-0.016884759113569698,-0.016884759113569698,-0.0019168027979146827,-0.0019168027979146827,-0.0019168027979146827,-6.228914113193958e-05,-6.228914113193958e-05,-6.228914113193958e-05,0.0,0.0,0.0,143.1935814505083
