Symbols
USDUSD
USDEUR
EURUSD
USDJPY
JPYUSD
USDGBP
GBPUSD
USDCHF
CHFUSD
EURJPY
JPYEUR
EURGBP
GBPEUR
EURCHF
CHFEUR
JPYGBP
GBPJPY
JPYCHF
CHFJPY
CHFGBP
GBPCHF
