ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr_14,atr_14_lower,atr_14_upper,bbands_lower,bbands_lower_lower,bbands_lower_upper,bbands_upper,bbands_upper_lower,bbands_upper_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_5,ma_5_lower,ma_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2024-09-10 23:00:00,0.8500575466089247,0.8455658480285186,0.8499190765622014,0.8500575466089247,0.8500575466089247,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0021988433831911843,0.0021988433831911843,0.0021988433831911843,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.0017498299215668903,-0.0017498299215668903,-0.0017498299215668903,-0.00236950453082345,-0.00236950453082345,-0.00236950453082345,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.004568347914014634,-0.004568347914014634,-0.004568347914014634,0.0,0.0,0.0,0.8480433314007743
2024-09-11 23:00:00,0.8500305237462517,0.8461052266692362,0.8506509165190265,0.8500305237462517,0.8500305237462517,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0021988433831911843,0.0021988433831911843,0.0021988433831911843,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.0017498299215668903,-0.0017498299215668903,-0.0017498299215668903,-0.0016610665377355125,-0.0016610665377355125,-0.0016610665377355125,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.003859909920926697,-0.003859909920926697,-0.003859909920926697,0.0,0.0,0.0,0.8486185664872029
2024-09-12 23:00:00,0.8500035008835785,0.8456718457929291,0.8499353261971578,0.8500035008835785,0.8500035008835785,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0021988433831911843,0.0021988433831911843,0.0021988433831911843,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.0017498299215668903,-0.0017498299215668903,-0.0017498299215668903,-0.002529107124031425,-0.002529107124031425,-0.002529107124031425,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.00472795050722261,-0.00472795050722261,-0.00472795050722261,0.0,0.0,0.0,0.8478537509740421
2024-09-15 23:00:00,0.8499224322955589,0.8464396094200703,0.8503066915004088,0.8499224322955589,0.8499224322955589,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0021988433831911843,0.0021988433831911843,0.0021988433831911843,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.0017498299215668903,-0.0017498299215668903,-0.0017498299215668903,-0.002007268877282059,-0.002007268877282059,-0.002007268877282059,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.004206112260473243,-0.004206112260473243,-0.004206112260473243,0.0,0.0,0.0,0.8482164094491081
2024-09-16 23:00:00,0.8498954094328857,0.8464562411286534,0.8500075625460728,0.8498954094328857,0.8498954094328857,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0021988433831911843,0.0021988433831911843,0.0021988433831911843,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.0017498299215668903,-0.0017498299215668903,-0.0017498299215668903,-0.002301275883412941,-0.002301275883412941,-0.002301275883412941,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.004500119266604125,-0.004500119266604125,-0.004500119266604125,0.0,0.0,0.0,0.8479395656237344
2024-09-17 23:00:00,0.8498683865702124,0.8460237332688939,0.8498038913934652,0.8498683865702124,0.8498683865702124,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.002179839943466548,0.002179839943466548,0.002179839943466548,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.001768833361291527,-0.001768833361291527,-0.001768833361291527,-0.0023885079705487757,-0.0023885079705487757,-0.0023885079705487757,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.004568347914015324,-0.004568347914015324,-0.004568347914015324,0.0,0.0,0.0,0.847838469154972
2024-09-18 23:00:00,0.8498413637075392,0.8459239576906723,0.8497209592202245,0.8498413637075392,0.8498413637075392,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0018325800057607685,0.0018325800057607685,0.0018325800057607685,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.0021160932989973064,-0.0021160932989973064,-0.0021160932989973064,-0.002027329915167495,-0.002027329915167495,-0.002027329915167495,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.0038599099209282637,-0.0038599099209282637,-0.0038599099209282637,0.0,0.0,0.0,0.8481184548877481
2024-09-19 23:00:00,0.8498143408448661,0.8449336078114646,0.8491148231575602,0.8498143408448661,0.8498143408448661,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0016949866665953465,0.0016949866665953465,0.0016949866665953465,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.0022536866381627284,-0.0022536866381627284,-0.0022536866381627284,-0.003032963840608376,-0.003032963840608376,-0.003032963840608376,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.0047279505072037225,-0.0047279505072037225,-0.0047279505072037225,0.0,0.0,0.0,0.8472368846778532
2024-09-22 23:00:00,0.8497332722568464,0.8460997497149414,0.8500444910731693,0.8497332722568464,0.8497332722568464,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0019046532651357038,0.0019046532651357038,0.0019046532651357038,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.002044020039622371,-0.002044020039622371,-0.002044020039622371,-0.0023014589953054207,-0.0023014589953054207,-0.0023014589953054207,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.004206112260441125,-0.004206112260441125,-0.004206112260441125,0.0,0.0,0.0,0.8477776459738006
2024-09-23 23:00:00,0.8500255792164287,0.8462425386839842,0.8502303081857847,0.8500255792164287,0.8500255792164287,0.014035675796731161,0.014035675796731161,0.014035675796731161,-0.00018315504173684123,-0.00018315504173684123,-0.00018315504173684123,-0.0007052952412561375,-0.0007052952412561375,-0.0007052952412561375,0.0020841822672200056,0.0020841822672200056,0.0020841822672200056,-0.001095201952790841,-0.001095201952790841,-0.001095201952790841,-0.0018644910375380692,-0.0018644910375380692,-0.0018644910375380692,-0.0024159369993902464,-0.0024159369993902464,-0.0024159369993902464,-0.008103350256189266,-0.008103350256189266,-0.008103350256189266,-0.004500119266610252,-0.004500119266610252,-0.004500119266610252,0.0,0.0,0.0,0.8479719709691717
