ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,day_cos,day_cos_lower,day_cos_upper,day_sin,day_sin_lower,day_sin_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hour_cos,hour_cos_lower,hour_cos_upper,hour_sin,hour_sin_lower,hour_sin_upper,market_session,market_session_lower,market_session_upper,momentum_lag_10,momentum_lag_10_lower,momentum_lag_10_upper,momentum_lag_20,momentum_lag_20_lower,momentum_lag_20_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,return_regime,return_regime_lower,return_regime_upper,returns_lag_1,returns_lag_1_lower,returns_lag_1_upper,returns_lag_2,returns_lag_2_lower,returns_lag_2_upper,returns_lag_5,returns_lag_5_lower,returns_lag_5_upper,volatility_lag_20,volatility_lag_20_lower,volatility_lag_20_upper,volatility_lag_5,volatility_lag_5_lower,volatility_lag_5_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,0.6431007380810976,0.6426260348851772,0.6440335078106921,0.6431007380810976,0.6431007380810976,2.0844651115493854e-06,2.0844651115493854e-06,2.0844651115493854e-06,3.885742513040416e-05,3.885742513040416e-05,3.885742513040416e-05,-0.0007557790012428986,-0.0007557790012428986,-0.0007557790012428986,0.00043797695055404967,0.00043797695055404967,0.00043797695055404967,0.00030800090052215685,0.00030800090052215685,0.00030800090052215685,-0.00032687286045007607,-0.00032687286045007607,-0.00032687286045007607,-5.714047675927641e-05,-5.714047675927641e-05,-5.714047675927641e-05,-0.0006736628856913496,-0.0006736628856913496,-0.0006736628856913496,0.00017974245576694723,0.00017974245576694723,0.00017974245576694723,-2.415369230735302e-06,-2.415369230735302e-06,-2.415369230735302e-06,-1.4804627265791566e-05,-1.4804627265791566e-05,-1.4804627265791566e-05,-6.774051761296224e-06,-6.774051761296224e-06,-6.774051761296224e-06,-5.76909935715323e-06,-5.76909935715323e-06,-5.76909935715323e-06,5.2601886503100075e-06,5.2601886503100075e-06,5.2601886503100075e-06,-3.506660503048619e-05,-3.506660503048619e-05,-3.506660503048619e-05,-0.00042545295566520414,-0.00042545295566520414,-0.00042545295566520414,0.0009355214570098459,0.0009355214570098459,0.0009355214570098459,0.0,0.0,0.0,0.6432163305870658
2025-08-20 23:00:00,0.6432093557147149,0.6424539539027904,0.6441723869249008,0.6432093557147149,0.6432093557147149,2.0844651115493854e-06,2.0844651115493854e-06,2.0844651115493854e-06,3.885742513040416e-05,3.885742513040416e-05,3.885742513040416e-05,-0.0005657595971348737,-0.0005657595971348737,-0.0005657595971348737,0.0004889088823395709,0.0004889088823395709,0.0004889088823395709,0.00016664646789887885,0.00016664646789887885,0.00016664646789887885,-0.00032687286045007607,-0.00032687286045007607,-0.00032687286045007607,-0.0002557685585405799,-0.0002557685585405799,-0.0002557685585405799,-0.0003102998623323277,-0.0003102998623323277,-0.0003102998623323277,0.00021074702131362275,0.00021074702131362275,0.00021074702131362275,-2.415369230735302e-06,-2.415369230735302e-06,-2.415369230735302e-06,1.1845737808359681e-05,1.1845737808359681e-05,1.1845737808359681e-05,-1.2270258014469857e-05,-1.2270258014469857e-05,-1.2270258014469857e-05,1.1602255370110607e-05,1.1602255370110607e-05,1.1602255370110607e-05,1.6676464629703187e-06,1.6676464629703187e-06,1.6676464629703187e-06,-4.9246231533612475e-05,-4.9246231533612475e-05,-4.9246231533612475e-05,-0.00033049933715491634,-0.00033049933715491634,-0.00033049933715491634,0.0007765066184484966,0.0007765066184484966,0.0007765066184484966,0.0,0.0,0.0,0.6433449101705128
2025-08-21 00:00:00,0.6433179733483323,0.6428576426682675,0.6445065774315533,0.6433179733483323,0.6433179733483323,2.2646407883790528e-05,2.2646407883790528e-05,2.2646407883790528e-05,8.102036919541097e-06,8.102036919541097e-06,8.102036919541097e-06,-3.300539572486576e-05,-3.300539572486576e-05,-3.300539572486576e-05,0.0005062808157867269,0.0005062808157867269,0.0005062808157867269,1.4954476762525756e-05,1.4954476762525756e-05,1.4954476762525756e-05,-8.254088170761152e-05,-8.254088170761152e-05,-8.254088170761152e-05,5.974302314549207e-05,5.974302314549207e-05,5.974302314549207e-05,-0.00016501872700381458,-0.00016501872700381458,-0.00016501872700381458,0.0005720946042864162,0.0005720946042864162,0.0005720946042864162,-2.415369230735302e-06,-2.415369230735302e-06,-2.415369230735302e-06,1.1841878364403222e-05,1.1841878364403222e-05,1.1841878364403222e-05,9.715628449865506e-06,9.715628449865506e-06,9.715628449865506e-06,-1.903557867683413e-06,-1.903557867683413e-06,-1.903557867683413e-06,1.2542895073354676e-06,1.2542895073354676e-06,1.2542895073354676e-06,-0.00010890448420735714,-0.00010890448420735714,-0.00010890448420735714,-0.00030676093252734435,-0.00030676093252734435,-0.00030676093252734435,0.0006051000000112821,0.0006051000000112821,0.0006051000000112821,0.0,0.0,0.0,0.6436860120897253
2025-08-21 01:00:00,0.6434265909819497,0.6422192664962317,0.6437477555072953,0.6434265909819497,0.6434265909819497,2.2646407883790528e-05,2.2646407883790528e-05,2.2646407883790528e-05,8.102036919541097e-06,8.102036919541097e-06,8.102036919541097e-06,-0.0010881756971551906,-0.0010881756971551906,-0.0010881756971551906,0.000488908882339571,0.000488908882339571,0.000488908882339571,-0.00013673751437382685,-0.00013673751437382685,-0.00013673751437382685,-8.254088170761152e-05,-8.254088170761152e-05,-8.254088170761152e-05,-0.00012370005714083557,-0.00012370005714083557,-0.00012370005714083557,-0.0007222638153048848,-0.0007222638153048848,-0.0007222638153048848,-0.0006649077511796404,-0.0006649077511796404,-0.0006649077511796404,-6.763033846058846e-05,-6.763033846058846e-05,-6.763033846058846e-05,-0.00013457934003293124,-0.00013457934003293124,-0.00013457934003293124,9.7124445048649e-06,9.7124445048649e-06,9.7124445048649e-06,6.692293499607322e-07,6.692293499607322e-07,6.692293499607322e-07,-1.3173020794387526e-06,-1.3173020794387526e-06,-1.3173020794387526e-06,-4.268451652545736e-05,-4.268451652545736e-05,-4.268451652545736e-05,-0.00030676093252734435,-0.00030676093252734435,-0.00030676093252734435,0.00042326794597555024,0.00042326794597555024,0.00042326794597555024,0.0,0.0,0.0,0.6429987716542906
2025-08-21 02:00:00,0.6435352086155669,0.6421083846680071,0.6438435056608073,0.6435352086155669,0.6435352086155669,2.2646407883790528e-05,2.2646407883790528e-05,2.2646407883790528e-05,8.102036919541097e-06,8.102036919541097e-06,8.102036919541097e-06,-0.0009614212962705119,-0.0009614212962705119,-0.0009614212962705119,0.0004379769505540498,0.0004379769505540498,0.0004379769505540498,-0.00027809194699710503,-0.00027809194699710503,-0.00027809194699710503,-8.254088170761152e-05,-8.254088170761152e-05,-8.254088170761152e-05,1.0764331710505367e-06,1.0764331710505367e-06,1.0764331710505367e-06,-0.0007468367282865941,-0.0007468367282865941,-0.0007468367282865941,-0.0007282477623724991,-0.0007282477623724991,-0.0007282477623724991,6.279959999911786e-05,6.279959999911786e-05,6.279959999911786e-05,5.8454012499098944e-05,5.8454012499098944e-05,5.8454012499098944e-05,-0.00011108140858857052,-0.00011108140858857052,-0.00011108140858857052,1.312723607008375e-06,1.312723607008375e-06,1.312723607008375e-06,-1.6316059338119774e-06,-1.6316059338119774e-06,-1.6316059338119774e-06,-2.6845956863131482e-05,-2.6845956863131482e-05,-2.6845956863131482e-05,-0.00030676093252734435,-0.00030676093252734435,-0.00030676093252734435,0.00023317353389801275,0.00023317353389801275,0.00023317353389801275,0.0,0.0,0.0,0.6430665555398847
2025-08-21 03:00:00,0.6436438262491843,0.6418333620518432,0.643202369916884,0.6436438262491843,0.6436438262491843,2.2646407883790528e-05,2.2646407883790528e-05,2.2646407883790528e-05,8.102036919541097e-06,8.102036919541097e-06,8.102036919541097e-06,-0.0019480914456665027,-0.0019480914456665027,-0.0019480914456665027,0.00035695594741234936,0.00035695594741234936,0.00035695594741234936,-0.00039947575012327734,-0.00039947575012327734,-0.00039947575012327734,-8.254088170761152e-05,-8.254088170761152e-05,-8.254088170761152e-05,-0.00034364865498668,-0.00034364865498668,-0.00034364865498668,-0.0009395612753232287,-0.0009395612753232287,-0.0009395612753232287,-0.0019109451482468643,-0.0019109451482468643,-0.0019109451482468643,-6.763033846058846e-05,-6.763033846058846e-05,-6.763033846058846e-05,-0.00020088971168125965,-0.00020088971168125965,-0.00020088971168125965,4.8166292551388475e-05,4.8166292551388475e-05,4.8166292551388475e-05,-1.2613776956368915e-06,-1.2613776956368915e-06,-1.2613776956368915e-06,1.7792022057820783e-06,1.7792022057820783e-06,1.7792022057820783e-06,2.7242803748988414e-05,2.7242803748988414e-05,2.7242803748988414e-05,-0.0003779761464100602,-0.0003779761464100602,-0.0003779761464100602,3.714629741963845e-05,3.714629741963845e-05,3.714629741963845e-05,0.0,0.0,0.0,0.6424138582022143
2025-08-21 04:00:00,0.6437524438828016,0.6416284682948855,0.6430297412912501,0.6437524438828016,0.6437524438828016,2.2646407883790528e-05,2.2646407883790528e-05,2.2646407883790528e-05,8.102036919541097e-06,8.102036919541097e-06,8.102036919541097e-06,-0.0019820751030239746,-0.0019820751030239746,-0.0019820751030239746,0.00025136732038503844,0.00025136732038503844,0.00025136732038503844,-0.0004926168181655143,-0.0004926168181655143,-0.0004926168181655143,-8.254088170761152e-05,-8.254088170761152e-05,-8.254088170761152e-05,-0.00038049589515709673,-0.00038049589515709673,-0.00038049589515709673,-0.0008064251590077199,-0.0008064251590077199,-0.0008064251590077199,-0.0021444256610994297,-0.0021444256610994297,-0.0021444256610994297,-2.415369230735302e-06,-2.415369230735302e-06,-2.415369230735302e-06,2.5095636272099156e-05,2.5095636272099156e-05,2.5095636272099156e-05,-0.00016578581126416733,-0.00016578581126416733,-0.00016578581126416733,-1.2610049202663416e-06,-1.2610049202663416e-06,-1.2610049202663416e-06,2.0321079378368286e-06,2.0321079378368286e-06,2.0321079378368286e-06,3.0067675754676888e-05,3.0067675754676888e-05,3.0067675754676888e-05,-0.0003898453487238462,-0.0003898453487238462,-0.0003898453487238462,-0.0001623505580754549,-0.0001623505580754549,-0.0001623505580754549,0.0,0.0,0.0,0.6423719646227439
2025-08-21 05:00:00,0.643861061516419,0.6416987239632106,0.6432572096026158,0.643861061516419,0.643861061516419,2.2646407883790528e-05,2.2646407883790528e-05,2.2646407883790528e-05,8.102036919541097e-06,8.102036919541097e-06,8.102036919541097e-06,-0.0017442734712541288,-0.0017442734712541288,-0.0017442734712541288,0.0001284067599105715,0.0001284067599105715,0.0001284067599105715,-0.00055116774125963,-0.00055116774125963,-0.00055116774125963,-8.254088170761152e-05,-8.254088170761152e-05,-8.254088170761152e-05,-0.00029232953553207813,-0.00029232953553207813,-0.00029232953553207813,-0.0006609845729723261,-0.0006609845729723261,-0.0006609845729723261,-0.002107028481810459,-0.002107028481810459,-0.002107028481810459,-2.415369230735302e-06,-2.415369230735302e-06,-2.415369230735302e-06,-4.136968081579028e-05,-4.136968081579028e-05,-4.136968081579028e-05,2.0646464199290045e-05,2.0646464199290045e-05,2.0646464199290045e-05,1.2881504871355688e-05,1.2881504871355688e-05,1.2881504871355688e-05,8.125464311836848e-07,8.125464311836848e-07,8.125464311836848e-07,2.3537927203226522e-05,2.3537927203226522e-05,2.3537927203226522e-05,-0.00033049933715491634,-0.00033049933715491634,-0.00033049933715491634,-0.0003627550105563301,-0.0003627550105563301,-0.0003627550105563301,0.0,0.0,0.0,0.6425044279214752
2025-08-21 06:00:00,0.6439696791500363,0.6417875252842523,0.643244989046001,0.6439696791500363,0.6439696791500363,2.2646407883790528e-05,2.2646407883790528e-05,2.2646407883790528e-05,8.102036919541097e-06,8.102036919541097e-06,8.102036919541097e-06,-0.0016704210152726324,-0.0016704210152726324,-0.0016704210152726324,-3.5461750166501783e-06,-3.5461750166501783e-06,-3.5461750166501783e-06,-0.0005711383707567359,-0.0005711383707567359,-0.0005711383707567359,-8.254088170761152e-05,-8.254088170761152e-05,-8.254088170761152e-05,-0.0002190128490003595,-0.0002190128490003595,-0.0002190128490003595,-0.0005764965305468966,-0.0005764965305468966,-0.0005764965305468966,-0.0022318636966837755,-0.0022318636966837755,-0.0022318636966837755,6.279959999911786e-05,6.279959999911786e-05,6.279959999911786e-05,8.499126984444956e-05,8.499126984444956e-05,8.499126984444956e-05,-3.418576459924642e-05,-3.418576459924642e-05,-3.418576459924642e-05,-5.763170457637217e-06,-5.763170457637217e-06,-5.763170457637217e-06,1.759797369560263e-06,1.759797369560263e-06,1.759797369560263e-06,3.180896351989187e-05,3.180896351989187e-05,3.180896351989187e-05,-0.0003898453487238462,-0.0003898453487238462,-0.0003898453487238462,-0.0005614426814111429,-0.0005614426814111429,-0.0005614426814111429,0.0,0.0,0.0,0.6425324266013762
2025-08-21 07:00:00,0.6440782967836536,0.641507572283903,0.6428971410159752,0.6440782967836536,0.6440782967836536,2.2646407883790528e-05,2.2646407883790528e-05,2.2646407883790528e-05,8.102036919541097e-06,8.102036919541097e-06,8.102036919541097e-06,-0.0020060030277673103,-0.0020060030277673103,-0.0020060030277673103,-0.00013549910994387185,-0.00013549910994387185,-0.00013549910994387185,-0.00055116774125963,-0.00055116774125963,-0.00055116774125963,-8.254088170761152e-05,-8.254088170761152e-05,-8.254088170761152e-05,-0.00028499191738271505,-0.00028499191738271505,-0.00028499191738271505,-0.0006126128329994899,-0.0006126128329994899,-0.0006126128329994899,-0.002761767440228844,-0.002761767440228844,-0.002761767440228844,-2.415369230735302e-06,-2.415369230735302e-06,-2.415369230735302e-06,-6.798414233205659e-05,-6.798414233205659e-05,-6.798414233205659e-05,7.005886796063208e-05,7.005886796063208e-05,7.005886796063208e-05,1.928628069952659e-05,1.928628069952659e-05,1.928628069952659e-05,1.962549750557124e-06,1.962549750557124e-06,1.962549750557124e-06,2.273657722617084e-05,2.273657722617084e-05,2.273657722617084e-05,-0.0004135837533514182,-0.0004135837533514182,-0.0004135837533514182,-0.0007557644124615336,-0.0007557644124615336,-0.0007557644124615336,0.0,0.0,0.0,0.6422995023146385
