Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,ma_10,ma_20,ma_50,volatility_14,volatility_annualized,rsi,volume_change,volume_ma_20,volume_ratio,high_20,low_20,price_position,hour,day_of_week,day_of_month,month,williams_r,cci,adx,volatility_regime,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,volume_roc,volume_ma_50,volume_ratio_50,volume_trend,trend_strength,market_regime,data_quality_flag,processing_timestamp,silver_processing_timestamp
2024-09-11 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,57650.2890625,57991.3203125,55567.33984375,57343.171875,37049062672,0.0,0.0,BTC-USD,BTC,Bitcoin,,,2423.98046875,307.1171875,,,,,,,,,,,,,0,2,11,9,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-12 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,57343.171875,58534.359375,57330.1015625,58127.01171875,33835707949,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0136692794995481,783.83984375,1204.2578125,783.83984375,,,,,,,-0.086732416186834,,,,,,0,3,12,9,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-13 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,58130.32421875,60648.0234375,57650.11328125,60571.30078125,32490528356,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0420508295579824,2444.2890625,2997.91015625,2440.9765625,,,,,,,-0.0397562124317767,,,,,,0,4,13,9,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-14 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,60569.1171875,60656.72265625,59517.8828125,60005.12109375,16428405496,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0093473258820168,-566.1796875,1138.83984375,563.99609375,,,,,,,-0.4943632397727328,,,,,,0,5,14,9,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-15 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,60000.7265625,60381.91796875,58696.30859375,59182.8359375,18120960867,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0137035829819472,-822.28515625,1685.609375,817.890625,,,,,,,0.1030261501283313,,,,,,0,6,15,9,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-16 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,59185.2265625,59205.51171875,57501.33984375,58192.5078125,32032822113,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0167333671885179,-990.328125,1704.171875,992.71875,,,,,,,0.7677220511708531,,,,,,0,0,16,9,,,,normal,0.014811457227225544,,,,,,,-0.13539453355161524,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-17 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,58192.5078125,61316.08984375,57628.0703125,60308.5390625,38075570118,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0363626062794542,2116.03125,3688.01953125,2116.03125,,,,,,,0.1886423863524546,,,,,,0,1,17,9,,,,normal,0.03753035429217344,,,,,,,0.12530732844102666,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-18 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,60309.0,61664.06640625,59218.25390625,61649.6796875,40990702891,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0222379889456469,1341.140625,2445.8125,1340.6796875,,,,,,,0.0765617629352815,,,,,,0,2,18,9,,,,normal,0.017803462899773415,,,,,,,0.2616200771456607,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-19 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,61651.15625,63872.44140625,61609.8671875,62940.45703125,42710252573,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0209372919744741,1290.77734375,2262.57421875,1289.30078125,,,,,,,0.0419497486191569,,,,,,0,3,19,9,,,,normal,0.04891809038955075,,,,,,,1.5997807628621734,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-20 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,62941.42578125,64119.53125,62364.60546875,63192.9765625,35177164222,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0040120384115518,252.51953125,1754.92578125,251.55078125,60151.36015625,,,,,,-0.1763765816679381,,,,,,0,4,20,9,,,,normal,0.06775850736917888,,,,,,,0.9412416637387577,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
2024-09-21 00:00:00+00:00,BTC,crypto,1d,yahoo_finance,63184.33984375,63543.359375,62783.10546875,63394.83984375,14408616220,0.0,0.0,BTC-USD,BTC,Bitcoin,0.003194394254405,201.86328125,760.25390625,210.5,60756.526953125,,,,,,-0.5903985855975062,,,,,,0,5,21,9,,,,normal,0.08939865674825787,0.10553423835608156,,,,,,-0.5501921070465878,,,0,,sideways,1,2025-09-11 12:47:24.058595,2025-09-13T14:15:21.516220
