,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,adx,adx_lower,adx_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,momentum_20,momentum_20_lower,momentum_20_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volatility_20,volatility_20_lower,volatility_20_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2025-08-11 13:00:00,1.3620934200277328,1.3780476979072454,1.379163746317921,1.3620934200277328,1.3620934200277328,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,1.747344899689473e-05,1.747344899689473e-05,1.747344899689473e-05,7.109427895633201e-05,7.109427895633201e-05,7.109427895633201e-05,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-8.599975194721947e-06,-8.599975194721947e-06,-8.599975194721947e-06,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,1.0503247232707859e-05,1.0503247232707859e-05,1.0503247232707859e-05,0.012106209102617616,0.012106209102617616,0.012106209102617616,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-1.2502442108999594e-06,-1.2502442108999594e-06,-1.2502442108999594e-06,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.012018891618875288,0.012018891618875288,0.012018891618875288,0.0,0.0,0.0,1.3785832077878881
1,2025-08-11 14:00:00,1.362128299257972,1.3778712783254663,1.3790010506544501,1.362128299257972,1.362128299257972,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,2.3283924380552582e-06,2.3283924380552582e-06,2.3283924380552582e-06,5.4162992852277803e-05,5.4162992852277803e-05,5.4162992852277803e-05,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-2.5531261298776158e-05,-2.5531261298776158e-05,-2.5531261298776158e-05,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,1.0503247232707859e-05,1.0503247232707859e-05,1.0503247232707859e-05,0.011988936417475131,0.011988936417475131,0.011988936417475131,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-5.081200229697922e-05,-5.081200229697922e-05,-5.081200229697922e-05,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.01198325703448178,0.01198325703448178,0.01198325703448178,0.0,0.0,0.0,1.3784587688302194
2,2025-08-11 15:00:00,1.362163178488211,1.3778278642167614,1.378938911008946,1.362163178488211,1.362163178488211,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,-1.3997985892398325e-05,-1.3997985892398325e-05,-1.3997985892398325e-05,7.157859943144788e-05,7.157859943144788e-05,7.157859943144788e-05,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-8.115654719606092e-06,-8.115654719606092e-06,-8.115654719606092e-06,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,1.0503247232707859e-05,1.0503247232707859e-05,1.0503247232707859e-05,0.011906693479155281,0.011906693479155281,0.011906693479155281,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-9.900579055478894e-05,-9.900579055478894e-05,-9.900579055478894e-05,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.011948118656171021,0.011948118656171021,0.011948118656171021,0.0,0.0,0.0,1.3783820379230618
3,2025-08-11 16:00:00,1.36219805771845,1.377726225967967,1.3788987748469608,1.36219805771845,1.36219805771845,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,-1.4730335558245567e-05,-1.4730335558245567e-05,-1.4730335558245567e-05,6.695837322561252e-05,6.695837322561252e-05,6.695837322561252e-05,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-1.2735880925441447e-05,-1.2735880925441447e-05,-1.2735880925441447e-05,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,1.0503247232707859e-05,1.0503247232707859e-05,1.0503247232707859e-05,0.0118203513634574,0.0118203513634574,0.0118203513634574,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-0.00014535467566508578,-0.00014535467566508578,-0.00014535467566508578,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.011913478001455119,0.011913478001455119,0.011913478001455119,0.0,0.0,0.0,1.3782997173873013
4,2025-08-11 17:00:00,1.3622329369486892,1.377665404303966,1.3788393293144603,1.3622329369486892,1.3622329369486892,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,7.893158241369102e-06,7.893158241369102e-06,7.893158241369102e-06,5.763447473901523e-05,5.763447473901523e-05,5.763447473901523e-05,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-2.2059779412038738e-05,-2.2059779412038738e-05,-2.2059779412038738e-05,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,1.0503247232707859e-05,1.0503247232707859e-05,1.0503247232707859e-05,0.01175545306871251,0.01175545306871251,0.01175545306871251,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-0.00018941112648678112,-0.00018941112648678112,-0.00018941112648678112,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.011879336562218908,0.011879336562218908,0.011879336562218908,0.0,0.0,0.0,1.3782466023076438
5,2025-08-11 18:00:00,1.3622678161789281,1.3774430993996567,1.3786175313646047,1.3622678161789281,1.3622678161789281,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,4.212372699843773e-05,4.212372699843773e-05,4.212372699843773e-05,-8.47243774676072e-05,-8.47243774676072e-05,-8.47243774676072e-05,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-3.520268911968665e-05,-3.520268911968665e-05,-3.520268911968665e-05,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,-0.00011871269526626666,-0.00011871269526626666,-0.00011871269526626666,0.01157233343232547,0.01157233343232547,0.01157233343232547,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-0.00023076172188453078,-0.00023076172188453078,-0.00023076172188453078,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.011845695804679169,0.011845695804679169,0.011845695804679169,0.0,0.0,0.0,1.3780324335718765
6,2025-08-11 19:00:00,1.3623026954091673,1.3775362205464978,1.3787136411438188,1.3623026954091673,1.3623026954091673,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,6.357197207468516e-05,6.357197207468516e-05,6.357197207468516e-05,-5.8632323855214785e-06,-5.8632323855214785e-06,-5.8632323855214785e-06,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-5.0246635987159495e-05,-5.0246635987159495e-05,-5.0246635987159495e-05,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,-2.480760331670809e-05,-2.480760331670809e-05,-2.480760331670809e-05,0.011601234512738687,0.011601234512738687,0.011601234512738687,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-0.0002690313963254337,-0.0002690313963254337,-0.0002690313963254337,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.011812557169374956,0.011812557169374956,0.011812557169374956,0.0,0.0,0.0,1.3781070884559452
7,2025-08-11 20:00:00,1.3623375746394062,1.3773734321034832,1.3785259486176424,1.3623375746394062,1.3623375746394062,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,5.554743184505055e-05,5.554743184505055e-05,5.554743184505055e-05,-6.65883005657011e-05,-6.65883005657011e-05,-6.65883005657011e-05,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-4.563849200889014e-05,-4.563849200889014e-05,-4.563849200889014e-05,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,-9.014081547515707e-05,-9.014081547515707e-05,-9.014081547515707e-05,0.011464994027013816,0.011464994027013816,0.011464994027013816,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-0.0003038871753891651,-0.0003038871753891651,-0.0003038871753891651,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.011779922071123633,0.011779922071123633,0.011779922071123633,0.0,0.0,0.0,1.3779567667954233
8,2025-08-11 21:00:00,1.3624167915861274,1.3772863379725218,1.378441967029186,1.3624167915861274,1.3624167915861274,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,2.4750309009385932e-05,2.4750309009385932e-05,2.4750309009385932e-05,-0.00010695038799236939,-0.00010695038799236939,-0.00010695038799236939,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-6.555513935846535e-05,-6.555513935846535e-05,-6.555513935846535e-05,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,-0.00011058625555225015,-0.00011058625555225015,-0.00011058625555225015,0.011330550460038159,0.011330550460038159,0.011330550460038159,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-0.0003350413599871883,-0.0003350413599871883,-0.0003350413599871883,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.01174779189900833,0.01174779189900833,0.01174779189900833,0.0,0.0,0.0,1.377853723790797
9,2025-08-11 22:00:00,1.3624960085328486,1.3773780238735185,1.378469400376998,1.3624960085328486,1.3624960085328486,-6.351673167015408e-07,-6.351673167015408e-07,-6.351673167015408e-07,2.4588250349821695e-06,2.4588250349821695e-06,2.4588250349821695e-06,4.686636365605587e-06,4.686636365605587e-06,4.686636365605587e-06,-3.1872194367371613e-06,-3.1872194367371613e-06,-3.1872194367371613e-06,-3.515076250747697e-05,-3.515076250747697e-05,-3.515076250747697e-05,5.567069684197754e-06,5.567069684197754e-06,5.567069684197754e-06,-6.455362607697125e-05,-6.455362607697125e-05,-6.455362607697125e-05,1.219009789664759e-05,1.219009789664759e-05,1.219009789664759e-05,2.755400268228059e-05,2.755400268228059e-05,2.755400268228059e-05,-3.978814334885183e-05,-3.978814334885183e-05,-3.978814334885183e-05,0.01131557590933623,0.01131557590933623,0.01131557590933623,9.662528507469722e-06,9.662528507469722e-06,9.662528507469722e-06,4.338730597603502e-07,4.338730597603502e-07,4.338730597603502e-07,0.0,0.0,0.0,-0.00036225412505781404,-0.00036225412505781404,-0.00036225412505781404,7.27314100410388e-06,7.27314100410388e-06,7.27314100410388e-06,0.011716168016338258,0.011716168016338258,0.011716168016338258,0.0,0.0,0.0,1.3779134355435696
