,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2025-08-11 13:00:00,1.05715626666069,1.161018179054262,1.1620046448258285,1.05715626666069,1.05715626666069,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-0.0001065761508259918,-0.0001065761508259918,-0.0001065761508259918,2.5921718143032096e-05,2.5921718143032096e-05,2.5921718143032096e-05,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-7.844070362913902e-05,-7.844070362913902e-05,-7.844070362913902e-05,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,7.2357341234249575e-06,7.2357341234249575e-06,7.2357341234249575e-06,0.09871158029091931,0.09871158029091931,0.09871158029091931,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-0.00014754646982533296,-0.00014754646982533296,-0.00014754646982533296,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09893978119342758,0.09893978119342758,0.09893978119342758,0.0,0.0,0.0,1.161509832357215
1,2025-08-11 14:00:00,1.0571384602425073,1.1610854996162094,1.1620886934130998,1.0571384602425073,1.0571384602425073,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-7.104685617041645e-05,-7.104685617041645e-05,-7.104685617041645e-05,2.0584327443071357e-05,2.0584327443071357e-05,2.0584327443071357e-05,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-8.377809432909976e-05,-8.377809432909976e-05,-8.377809432909976e-05,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,7.2357341234249575e-06,7.2357341234249575e-06,7.2357341234249575e-06,0.09880135952004285,0.09880135952004285,0.09880135952004285,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-9.925537794889324e-05,-9.925537794889324e-05,-9.925537794889324e-05,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09895107742671909,0.09895107742671909,0.09895107742671909,0.0,0.0,0.0,1.1615851773153918
2,2025-08-11 15:00:00,1.0571206538243245,1.1610226265969654,1.1620239271569188,1.0571206538243245,1.0571206538243245,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-4.450134120721945e-05,-4.450134120721945e-05,-4.450134120721945e-05,-9.86007373506303e-05,-9.86007373506303e-05,-9.86007373506303e-05,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-0.0002029631591228014,-0.0002029631591228014,-0.0002029631591228014,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,7.2357341234249575e-06,7.2357341234249575e-06,7.2357341234249575e-06,0.09875283953830073,0.09875283953830073,0.09875283953830073,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-6.364350415097731e-05,-6.364350415097731e-05,-6.364350415097731e-05,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09895958512100954,0.09895958512100954,0.09895958512100954,0.0,0.0,0.0,1.1615143201240616
3,2025-08-11 16:00:00,1.0571028474061417,1.161018667115943,1.161979341773848,1.0571028474061417,1.0571028474061417,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-6.106826737696302e-05,-6.106826737696302e-05,-6.106826737696302e-05,-8.985257208556668e-05,-8.985257208556668e-05,-8.985257208556668e-05,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-0.0001942149938577378,-0.0001942149938577378,-0.0001942149938577378,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,7.2357341234249575e-06,7.2357341234249575e-06,7.2357341234249575e-06,0.09877302863651556,0.09877302863651556,0.09877302863651556,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-4.1365546289499986e-05,-4.1365546289499986e-05,-4.1365546289499986e-05,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09896531502226757,0.09896531502226757,0.09896531502226757,0.0,0.0,0.0,1.1615160972247307
4,2025-08-11 17:00:00,1.0570850409879589,1.1609583695052492,1.1619485580960038,1.0570850409879589,1.0570850409879589,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-0.0001250737516054456,-0.0001250737516054456,-0.0001250737516054456,-8.266160970217518e-05,-8.266160970217518e-05,-8.266160970217518e-05,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-0.00018702403147434629,-0.00018702403147434629,-0.00018702403147434629,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,7.2357341234249575e-06,7.2357341234249575e-06,7.2357341234249575e-06,0.09872761049413971,0.09872761049413971,0.09872761049413971,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-3.293219670238729e-05,-3.293219670238729e-05,-3.293219670238729e-05,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.0989682780521497,0.0989682780521497,0.0989682780521497,0.0,0.0,0.0,1.1614485211737997
5,2025-08-11 18:00:00,1.057067234569776,1.1606417505841407,1.1616800317623335,1.057067234569776,1.057067234569776,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-0.00019612518999735052,-0.00019612518999735052,-0.00019612518999735052,-0.00024302485121416686,-0.00024302485121416686,-0.00024302485121416686,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-0.00014006881775825578,-0.00014006881775825578,-0.00014006881775825578,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,-0.0002000827211046572,-0.0002000827211046572,-0.0002000827211046572,0.09849063053290608,0.09849063053290608,0.09849063053290608,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-3.8704733521763486e-05,-3.8704733521763486e-05,-3.8704733521763486e-05,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09896848530763934,0.09896848530763934,0.09896848530763934,0.0,0.0,0.0,1.1611784530182285
6,2025-08-11 19:00:00,1.0570494281515934,1.1606754022380743,1.1616834025961207,1.0570494281515934,1.0570494281515934,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-0.00021476103626242682,-0.00021476103626242682,-0.00021476103626242682,-0.00018018545591680254,-0.00018018545591680254,-0.00018018545591680254,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-0.00010889445895548437,-0.00010889445895548437,-0.00010889445895548437,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,-0.00016841768461006436,-0.00016841768461006436,-0.00016841768461006436,0.09851211036241671,0.09851211036241671,0.09851211036241671,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-5.8891206007112996e-05,-5.8891206007112996e-05,-5.8891206007112996e-05,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09896594806060303,0.09896594806060303,0.09896594806060303,0.0,0.0,0.0,1.1611815980761926
7,2025-08-11 20:00:00,1.0570316217334106,1.1609777874963445,1.1619369447394552,1.0570316217334106,1.0570316217334106,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-0.00015096902094488622,-0.00015096902094488622,-0.00015096902094488622,8.982807637309302e-05,8.982807637309302e-05,8.982807637309302e-05,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-0.00015520732779372075,-0.00015520732779372075,-0.00015520732779372075,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,0.00014790871651806762,0.00014790871651806762,0.00014790871651806762,0.09880599255785717,0.09880599255785717,0.09880599255785717,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-9.354425474898751e-05,-9.354425474898751e-05,-9.354425474898751e-05,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09896067775717794,0.09896067775717794,0.09896067775717794,0.0,0.0,0.0,1.1614726802838218
8,2025-08-11 21:00:00,1.0570138153152278,1.1611922100613215,1.162152481976534,1.0570138153152278,1.0570138153152278,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,-3.267756984392864e-05,-3.267756984392864e-05,-3.267756984392864e-05,0.00022839148789251772,0.00022839148789251772,0.00022839148789251772,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-8.012387976791774e-05,-8.012387976791774e-05,-8.012387976791774e-05,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,0.00021138868001168923,0.00021138868001168923,0.00021138868001168923,0.09900583934655166,0.09900583934655166,0.09900583934655166,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-0.00014256058894206267,-0.00014256058894206267,-0.00014256058894206267,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09895268601744513,0.09895268601744513,0.09895268601744513,0.0,0.0,0.0,1.1616643553014128
9,2025-08-11 22:00:00,1.056996008897045,1.1611910728111108,1.162202117341274,1.056996008897045,1.056996008897045,4.326513469423096e-07,4.326513469423096e-07,4.326513469423096e-07,7.873546059351427e-06,7.873546059351427e-06,7.873546059351427e-06,7.393064616706944e-05,7.393064616706944e-05,7.393064616706944e-05,0.00023774285102035666,0.00023774285102035666,0.00023774285102035666,7.347893288007419e-05,7.347893288007419e-05,7.347893288007419e-05,-3.9080224083639745e-05,-3.9080224083639745e-05,-3.9080224083639745e-05,7.546252610969026e-06,7.546252610969026e-06,7.546252610969026e-06,0.0001796963874552502,0.0001796963874552502,0.0001796963874552502,0.09904797600809356,0.09904797600809356,0.09904797600809356,1.7860463642686754e-06,1.7860463642686754e-06,1.7860463642686754e-06,0.0,0.0,0.0,-0.00020568212391666805,-0.00020568212391666805,-0.00020568212391666805,6.009258387140527e-06,6.009258387140527e-06,6.009258387140527e-06,0.09894198463482279,0.09894198463482279,0.09894198463482279,0.0,0.0,0.0,1.1616893242269302
