ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,day_sin,day_sin_lower,day_sin_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hour_sin,hour_sin_lower,hour_sin_upper,market_session,market_session_lower,market_session_upper,momentum_lag_20,momentum_lag_20_lower,momentum_lag_20_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,return_regime,return_regime_lower,return_regime_upper,volatility_lag_20,volatility_lag_20_lower,volatility_lag_20_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,0.80617993975389,0.8026997628084237,0.8048814230688738,0.80617993975389,0.80617993975389,-0.0005790098793126012,-0.0005790098793126012,-0.0005790098793126012,-0.0028709266072237394,-0.0028709266072237394,-0.0028709266072237394,-0.00025804693911199114,-0.00025804693911199114,-0.00025804693911199114,0.0001473952287862033,0.0001473952287862033,0.0001473952287862033,-0.0022120363047982918,-0.0022120363047982918,-0.0022120363047982918,-0.002801866633526523,-0.002801866633526523,-0.002801866633526523,4.166756463032479e-05,4.166756463032479e-05,4.166756463032479e-05,0.00010083202850399448,0.00010083202850399448,0.00010083202850399448,-0.00011172830592137765,-0.00011172830592137765,-0.00011172830592137765,6.905997369721596e-05,6.905997369721596e-05,6.905997369721596e-05,0.0,0.0,0.0,0.8039211310800751
2025-08-20 23:00:00,0.8060516135308037,0.8030741903051286,0.8051088259932444,0.8060516135308037,0.8060516135308037,-0.0005790098793126012,-0.0005790098793126012,-0.0005790098793126012,-0.0026580775985965517,-0.0026580775985965517,-0.0026580775985965517,-0.00014107706397685374,-0.00014107706397685374,-0.00014107706397685374,0.0001473952287862033,0.0001473952287862033,0.0001473952287862033,-0.001985528876072533,-0.001985528876072533,-0.001985528876072533,-0.002563440191392715,-0.002563440191392715,-0.002563440191392715,-4.309943970353183e-05,-4.309943970353183e-05,-4.309943970353183e-05,8.499486702105355e-05,8.499486702105355e-05,8.499486702105355e-05,-0.00014175243533828892,-0.00014175243533828892,-0.00014175243533828892,9.463740720383647e-05,9.463740720383647e-05,9.463740720383647e-05,0.0,0.0,0.0,0.8039853484283418
2025-08-21 00:00:00,0.8059232873077173,0.8037178321644962,0.8054304041224778,0.8059232873077173,0.8059232873077173,-0.00011808702838379828,-0.00011808702838379828,-0.00011808702838379828,-0.0018390941306024471,-0.0018390941306024471,-0.0018390941306024471,-1.555292629729975e-05,-1.555292629729975e-05,-1.555292629729975e-05,3.8322759484412863e-05,3.8322759484412863e-05,3.8322759484412863e-05,-0.0016611683309065857,-0.0016611683309065857,-0.0016611683309065857,-0.0017051741306042827,-0.0017051741306042827,-0.0017051741306042827,-7.159375366035188e-07,-7.159375366035188e-07,-7.159375366035188e-07,7.987585465365719e-05,7.987585465365719e-05,7.987585465365719e-05,-0.0001617685216162298,-0.0001617685216162298,-0.0001617685216162298,0.0001339199999981645,0.0001339199999981645,0.0001339199999981645,0.0,0.0,0.0,0.8045490477669486
2025-08-21 01:00:00,0.805794961084631,0.8039090253682759,0.8054326387525251,0.805794961084631,0.805794961084631,-0.00011808702838379828,-0.00011808702838379828,-0.00011808702838379828,-0.0016469207769594827,-0.0016469207769594827,-0.0016469207769594827,0.00010997121138225383,0.00010997121138225383,0.00010997121138225383,3.8322759484412863e-05,3.8322759484412863e-05,3.8322759484412863e-05,-0.0015705771715288075,-0.0015705771715288075,-0.0015705771715288075,-0.0014604895247295206,-0.0014604895247295206,-0.0014604895247295206,-7.159375366035188e-07,-7.159375366035188e-07,-7.159375366035188e-07,7.594999751723079e-05,7.594999751723079e-05,7.594999751723079e-05,-0.0001817846078941707,-0.0001817846078941707,-0.0001817846078941707,0.0001864312522299621,0.0001864312522299621,0.0001864312522299621,0.0,0.0,0.0,0.804618105984887
2025-08-21 02:00:00,0.8056666348615446,0.80413894720733,0.8057666617929831,0.8056666348615446,0.8056666348615446,-0.00011808702838379828,-0.00011808702838379828,-0.00011808702838379828,-0.001243618532494352,-0.001243618532494352,-0.001243618532494352,0.0002269410865173914,0.0002269410865173914,0.0002269410865173914,3.8322759484412863e-05,3.8322759484412863e-05,3.8322759484412863e-05,-0.0011914495236621805,-0.0011914495236621805,-0.0011914495236621805,-0.0009921578601147505,-0.0009921578601147505,-0.0009921578601147505,-4.309943970353183e-05,-4.309943970353183e-05,-4.309943970353183e-05,6.056637213392169e-05,6.056637213392169e-05,6.056637213392169e-05,-0.00021681275888056718,-0.00021681275888056718,-0.00021681275888056718,0.0002514606723796012,0.0002514606723796012,0.0002514606723796012,0.0,0.0,0.0,0.8048672863771344
2025-08-21 03:00:00,0.8055383086384582,0.8039809770405815,0.8059146114586024,0.8055383086384582,0.8055383086384582,-0.00011808702838379828,-0.00011808702838379828,-0.00011808702838379828,-0.0011526697759069423,-0.0011526697759069423,-0.0011526697759069423,0.0003273853954195116,0.0003273853954195116,0.0003273853954195116,3.8322759484412863e-05,3.8322759484412863e-05,3.8322759484412863e-05,-0.0012499140926482118,-0.0012499140926482118,-0.0012499140926482118,-0.0008245977780938198,-0.0008245977780938198,-0.0008245977780938198,-7.159375366035188e-07,-7.159375366035188e-07,-7.159375366035188e-07,6.214786506882893e-05,6.214786506882893e-05,6.214786506882893e-05,-0.00021180873731108194,-0.00021180873731108194,-0.00021180873731108194,0.00032807199781312237,0.00032807199781312237,0.00032807199781312237,0.0,0.0,0.0,0.8048740635389855
2025-08-21 04:00:00,0.8054099824153718,0.8042612675216884,0.8059227480467605,0.8054099824153718,0.8054099824153718,-0.00011808702838379828,-0.00011808702838379828,-0.00011808702838379828,-0.0008964936947913312,-0.0008964936947913312,-0.0008964936947913312,0.0004044590244290038,0.0004044590244290038,0.0004044590244290038,3.8322759484412863e-05,3.8322759484412863e-05,3.8322759484412863e-05,-0.0010698228197930071,-0.0010698228197930071,-0.0010698228197930071,-0.00048137907879910677,-0.00048137907879910677,-0.00048137907879910677,-7.159375366035188e-07,-7.159375366035188e-07,-7.159375366035188e-07,6.115904431974303e-05,6.115904431974303e-05,6.115904431974303e-05,-0.00021180873731108194,-0.00021180873731108194,-0.00021180873731108194,0.0004151146159922245,0.0004151146159922245,0.0004151146159922245,0.0,0.0,0.0,0.805022274899981
2025-08-21 05:00:00,0.8052816561922855,0.8042948566836131,0.8059428137167739,0.8052816561922855,0.8052816561922855,-0.00011808702838379828,-0.00011808702838379828,-0.00011808702838379828,-0.0007328788948452867,-0.0007328788948452867,-0.0007328788948452867,0.00045290953309906525,0.00045290953309906525,0.00045290953309906525,3.8322759484412863e-05,3.8322759484412863e-05,3.8322759484412863e-05,-0.0009028846769217458,-0.0009028846769217458,-0.0009028846769217458,-0.0002216408485346171,-0.0002216408485346171,-0.0002216408485346171,-4.309943970353183e-05,-4.309943970353183e-05,-4.309943970353183e-05,5.6772716460878226e-05,5.6772716460878226e-05,5.6772716460878226e-05,-0.00021681275888056718,-0.00021681275888056718,-0.00021681275888056718,0.0005112380463106695,0.0005112380463106695,0.0005112380463106695,0.0,0.0,0.0,0.8051031728826977
2025-08-21 06:00:00,0.8051533299691991,0.8043501807596708,0.8061095068905085,0.8051533299691991,0.8051533299691991,-0.00011808702838379828,-0.00011808702838379828,-0.00011808702838379828,-0.000527080010767274,-0.000527080010767274,-0.000527080010767274,0.00046943509933208263,0.00046943509933208263,0.00046943509933208263,3.8322759484412863e-05,3.8322759484412863e-05,3.8322759484412863e-05,-0.0008181421669426804,-0.0008181421669426804,-0.0008181421669426804,8.782929098425401e-05,8.782929098425401e-05,8.782929098425401e-05,4.166756463032479e-05,4.166756463032479e-05,4.166756463032479e-05,6.152445528449584e-05,6.152445528449584e-05,6.152445528449584e-05,-0.0002018006941721115,-0.0002018006941721115,-0.0002018006941721115,0.0006149093017515281,0.0006149093017515281,0.0006149093017515281,0.0,0.0,0.0,0.805224046015304
2025-08-21 07:00:00,0.8050250037461127,0.8043662427816667,0.8063124482913908,0.8050250037461127,0.8050250037461127,-0.00011808702838379828,-0.00011808702838379828,-0.00011808702838379828,-0.00017573488927643204,-0.00017573488927643204,-0.00017573488927643204,0.00045290953309906525,0.00045290953309906525,0.00045290953309906525,3.8322759484412863e-05,3.8322759484412863e-05,3.8322759484412863e-05,-0.0003120786508691742,-0.0003120786508691742,-0.0003120786508691742,0.0005486980219346945,0.0005486980219346945,0.0005486980219346945,-4.309943970353183e-05,-4.309943970353183e-05,-4.309943970353183e-05,2.311069597716135e-05,2.311069597716135e-05,2.311069597716135e-05,-0.00021681275888056718,-0.00021681275888056718,-0.00021681275888056718,0.0007244329112111266,0.0007244329112111266,0.0007244329112111266,0.0,0.0,0.0,0.8054667193732762
