,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,adx,adx_lower,adx_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-09-10 23:00:00,1.4253330005037785,1.3022303896881293,1.308601355036678,1.4253330005037785,1.4253330005037785,-0.11972259002675706,-0.11972259002675706,-0.11972259002675706,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.006058277150225206,0.006058277150225206,0.006058277150225206,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,-0.0027832110828656517,-0.0027832110828656517,-0.0027832110828656517,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.12578086717698228,-0.12578086717698228,-0.12578086717698228,0.0,0.0,0.0,1.3056104104770214
1,2024-09-11 23:00:00,1.4254827264340828,1.3043525976192276,1.3103465926262645,1.4254827264340828,1.4254827264340828,-0.11811987224136938,-0.11811987224136938,-0.11811987224136938,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.00583039259873287,0.00583039259873287,0.00583039259873287,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,-0.0030110956343579885,-0.0030110956343579885,-0.0030110956343579885,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.12395026484010224,-0.12395026484010224,-0.12395026484010224,0.0,0.0,0.0,1.3073628541927134
2,2024-09-12 23:00:00,1.425632452364387,1.3065907881730103,1.313319519137932,1.425632452364387,1.425632452364387,-0.11552989029761368,-0.11552989029761368,-0.11552989029761368,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.006485043531022226,0.006485043531022226,0.006485043531022226,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,-0.0023564447020686316,-0.0023564447020686316,-0.0023564447020686316,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.1220149338286359,-0.1220149338286359,-0.1220149338286359,0.0,0.0,0.0,1.3101025620667734
3,2024-09-15 23:00:00,1.4260816301552999,1.3135178186379521,1.319989755635307,1.4260816301552999,1.4260816301552999,-0.10939948732946597,-0.10939948732946597,-0.10939948732946597,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.006823391351269628,0.006823391351269628,0.006823391351269628,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,-0.0020180968818212307,-0.0020180968818212307,-0.0020180968818212307,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.11622287868073561,-0.11622287868073561,-0.11622287868073561,0.0,0.0,0.0,1.316682142825834
4,2024-09-16 23:00:00,1.4262313560856041,1.316358245153258,1.3227047908987302,1.4262313560856041,1.4262313560856041,-0.10676282048334096,-0.10676282048334096,-0.10676282048334096,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.007712365573234395,0.007712365573234395,0.007712365573234395,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,-0.0011291226598564626,-0.0011291226598564626,-0.0011291226598564626,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.11447518605657538,-0.11447518605657538,-0.11447518605657538,0.0,0.0,0.0,1.319468535602263
5,2024-09-17 23:00:00,1.4263810820159084,1.3180010306478125,1.3243982600281734,1.4263810820159084,1.4263810820159084,-0.10513435251099791,-0.10513435251099791,-0.10513435251099791,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.007754161971384193,0.007754161971384193,0.007754161971384193,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,-0.0010873262617066659,-0.0010873262617066659,-0.0010873262617066659,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.11288851448238209,-0.11288851448238209,-0.11288851448238209,0.0,0.0,0.0,1.3212467295049104
6,2024-09-18 23:00:00,1.4265308079462127,1.3198432093302344,1.326158472641781,1.4265308079462127,1.4265308079462127,-0.1033598513799618,-0.1033598513799618,-0.1033598513799618,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.008132418486208918,0.008132418486208918,0.008132418486208918,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,-0.0007090697468819406,-0.0007090697468819406,-0.0007090697468819406,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.11149226986617072,-0.11149226986617072,-0.11149226986617072,0.0,0.0,0.0,1.3231709565662508
7,2024-09-19 23:00:00,1.426680533876517,1.3225548440363482,1.3288131715274447,1.426680533876517,1.426680533876517,-0.1009991696445083,-0.1009991696445083,-0.1009991696445083,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.00930848985729372,0.00930848985729372,0.00930848985729372,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,0.00046700162420286185,0.00046700162420286185,0.00046700162420286185,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.110307659501802,-0.110307659501802,-0.110307659501802,0.0,0.0,0.0,1.3256813642320087
8,2024-09-22 23:00:00,1.4271297116674302,1.3262676059788758,1.332515457623634,1.4271297116674302,1.4271297116674302,-0.09764764607706837,-0.09764764607706837,-0.09764764607706837,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.010471314088687204,0.010471314088687204,0.010471314088687204,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,0.0016298258555963456,0.0016298258555963456,0.0016298258555963456,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.10811896016575558,-0.10811896016575558,-0.10811896016575558,0.0,0.0,0.0,1.3294820655903619
9,2024-09-23 23:00:00,1.4272794375977345,1.3279503296395068,1.3343870997407097,1.4272794375977345,1.4272794375977345,-0.09614799376703366,-0.09614799376703366,-0.09614799376703366,3.707415610099652e-05,3.707415610099652e-05,3.707415610099652e-05,-9.375212672197721e-05,-9.375212672197721e-05,-9.375212672197721e-05,-0.00019506601280351794,-0.00019506601280351794,-0.00019506601280351794,0.011692794749834893,0.011692794749834893,0.011692794749834893,0.0036805365190895477,0.0036805365190895477,0.0036805365190895477,0.005562873946900803,0.005562873946900803,0.005562873946900803,0.0028513065167440335,0.0028513065167440335,0.0028513065167440335,-9.940446027074311e-05,-9.940446027074311e-05,-9.940446027074311e-05,-5.077378920425054e-05,-5.077378920425054e-05,-5.077378920425054e-05,0.0,0.0,0.0,-0.10784078851686855,-0.10784078851686855,-0.10784078851686855,0.0,0.0,0.0,1.3311314438307007
