ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,market_session,market_session_lower,market_session_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,returns_lag_1,returns_lag_1_lower,returns_lag_1_upper,volatility_lag_5,volatility_lag_5_lower,volatility_lag_5_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,0.6437892799467445,0.6424821223202837,0.6443454376572575,0.6437892799467445,0.6437892799467445,6.344247176191491e-05,6.344247176191491e-05,6.344247176191491e-05,0.00014244352433449167,0.00014244352433449167,0.00014244352433449167,-0.0006340888408702646,-0.0006340888408702646,-0.0006340888408702646,-4.4330914991617817e-05,-4.4330914991617817e-05,-4.4330914991617817e-05,-3.467013758095893e-05,-3.467013758095893e-05,-3.467013758095893e-05,-0.0006975313126321796,-0.0006975313126321796,-0.0006975313126321796,0.0,0.0,0.0,0.6433810603484584
2025-08-20 23:00:00,0.6438586950093231,0.6425320952747474,0.6441834326999766,0.6438586950093231,0.6438586950093231,0.00012922490546264778,0.00012922490546264778,0.00012922490546264778,0.00014244352433449167,0.00014244352433449167,0.00014244352433449167,-0.000767972715262308,-0.000767972715262308,-0.000767972715262308,3.54708285705232e-05,3.54708285705232e-05,3.54708285705232e-05,-4.86894474423671e-05,-4.86894474423671e-05,-4.86894474423671e-05,-0.000897197620724956,-0.000897197620724956,-0.000897197620724956,0.0,0.0,0.0,0.6433642290990715
2025-08-21 00:00:00,0.6439281100719018,0.6423385784259332,0.6441404254212136,0.6439281100719018,0.6439281100719018,-3.624454464963434e-05,-3.624454464963434e-05,-3.624454464963434e-05,3.59693798864782e-05,3.59693798864782e-05,3.59693798864782e-05,-0.001146584544638091,-0.001146584544638091,-0.001146584544638091,3.5459271867414297e-05,3.5459271867414297e-05,3.5459271867414297e-05,-0.00010767319640352683,-0.00010767319640352683,-0.00010767319640352683,-0.0011103399999884567,-0.0011103399999884567,-0.0011103399999884567,0.0,0.0,0.0,0.6431897920530353
2025-08-21 01:00:00,0.6439975251344805,0.6418648416461442,0.643913124328689,0.6439975251344805,0.6439975251344805,-0.00040921636237830033,-0.00040921636237830033,-0.00040921636237830033,3.59693798864782e-05,3.59693798864782e-05,3.59693798864782e-05,-0.0017437849700052464,-0.0017437849700052464,-0.0017437849700052464,-0.0004029838222549074,-0.0004029838222549074,-0.0004029838222549074,-4.220192000987111e-05,-4.220192000987111e-05,-4.220192000987111e-05,-0.001334568607626946,-0.001334568607626946,-0.001334568607626946,0.0,0.0,0.0,0.6428745319294304
2025-08-21 02:00:00,0.6440669401970591,0.6423997326967823,0.6440243166257673,0.6440669401970591,0.6440669401970591,0.00018446140138963092,0.00018446140138963092,0.00018446140138963092,3.59693798864782e-05,3.59693798864782e-05,3.59693798864782e-05,-0.001382802546542617,-0.001382802546542617,-0.001382802546542617,0.00017503445459948695,0.00017503445459948695,0.00017503445459948695,-2.6542433096334235e-05,-2.6542433096334235e-05,-2.6542433096334235e-05,-0.001567263947932248,-0.001567263947932248,-0.001567263947932248,0.0,0.0,0.0,0.6431763227920106
2025-08-21 03:00:00,0.6441363552596379,0.6415629079454912,0.6433426275398796,0.6441363552596379,0.6441363552596379,-0.0005386391533089379,-0.0005386391533089379,-0.0005386391533089379,3.59693798864782e-05,3.59693798864782e-05,3.59693798864782e-05,-0.0023442500976854214,-0.0023442500976854214,-0.0023442500976854214,-0.0006015433263767734,-0.0006015433263767734,-0.0006015433263767734,2.6934793181357393e-05,2.6934793181357393e-05,2.6934793181357393e-05,-0.001805610944376484,-0.001805610944376484,-0.001805610944376484,0.0,0.0,0.0,0.6426263385458977
2025-08-21 04:00:00,0.6442057703222165,0.6419387798496908,0.6439688950593474,0.6442057703222165,0.6442057703222165,0.0001408433767471717,0.0001408433767471717,0.0001408433767471717,3.59693798864782e-05,3.59693798864782e-05,3.59693798864782e-05,-0.0019057925194556887,-0.0019057925194556887,-0.0019057925194556887,7.514627003204765e-05,7.514627003204765e-05,7.514627003204765e-05,2.9727726828645828e-05,2.9727726828645828e-05,2.9727726828645828e-05,-0.0020466358962028604,-0.0020466358962028604,-0.0020466358962028604,0.0,0.0,0.0,0.6429780477841462
2025-08-21 05:00:00,0.6442751853847952,0.6418261678756851,0.6434955344595532,0.6442751853847952,0.6442751853847952,-6.463601775418186e-05,-6.463601775418186e-05,-6.463601775418186e-05,3.59693798864782e-05,3.59693798864782e-05,3.59693798864782e-05,-0.002351881861632065,-0.002351881861632065,-0.002351881861632065,-0.00012387720207673224,-0.00012387720207673224,-0.00012387720207673224,2.327180443607218e-05,2.327180443607218e-05,2.327180443607218e-05,-0.002287245843877883,-0.002287245843877883,-0.002287245843877883,0.0,0.0,0.0,0.6427599262623891
2025-08-21 06:00:00,0.6443446004473738,0.6422921898777505,0.6440182229389829,0.6443446004473738,0.6443446004473738,0.00032191621610546035,0.00032191621610546035,0.00032191621610546035,3.59693798864782e-05,3.59693798864782e-05,3.59693798864782e-05,-0.0022023536179387117,-0.0022023536179387117,-0.0022023536179387117,0.000254497508843732,0.000254497508843732,0.000254497508843732,3.1449327375250176e-05,3.1449327375250176e-05,3.1449327375250176e-05,-0.0025242698340441723,-0.0025242698340441723,-0.0025242698340441723,0.0,0.0,0.0,0.6429255257853793
2025-08-21 07:00:00,0.6444140155099525,0.6416942498389842,0.6432502740771312,0.6444140155099525,0.6444140155099525,-0.00014512254166363452,-0.00014512254166363452,-0.00014512254166363452,3.59693798864782e-05,3.59693798864782e-05,3.59693798864782e-05,-0.0028996240902685543,-0.0028996240902685543,-0.0028996240902685543,-0.00020357143617281785,-0.00020357143617281785,-0.00020357143617281785,2.2479514622705164e-05,2.2479514622705164e-05,2.2479514622705164e-05,-0.00275450154860492,-0.00275450154860492,-0.00275450154860492,0.0,0.0,0.0,0.6425454571064732
