ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr_14,atr_14_lower,atr_14_upper,carry_trade_proxy,carry_trade_proxy_lower,carry_trade_proxy_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,market_session,market_session_lower,market_session_upper,mean_reversion,mean_reversion_lower,mean_reversion_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,risk_sentiment,risk_sentiment_lower,risk_sentiment_upper,rsi_14,rsi_14_lower,rsi_14_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-11 12:00:00,0.6520885548901558,0.6510635976797713,0.651336053675629,0.6520885548901558,0.6520885548901558,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.001266175763433342,-0.001266175763433342,-0.001266175763433342,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,-4.52601492894182e-06,-4.52601492894182e-06,-4.52601492894182e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-7.894930062743056e-06,-7.894930062743056e-06,-7.894930062743056e-06,-0.0013684253790629602,-0.0013684253790629602,-0.0013684253790629602,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,-0.00010224961562961837,-0.00010224961562961837,-0.00010224961562961837,0.0,0.0,0.0,0.6511962203622477
2025-08-11 13:00:00,0.6521110870895204,0.6510995162737507,0.6513644116369176,0.6521110870895204,0.6521110870895204,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.001266175763433342,-0.001266175763433342,-0.001266175763433342,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,-4.52601492894182e-06,-4.52601492894182e-06,-4.52601492894182e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-7.894930062743056e-06,-7.894930062743056e-06,-7.894930062743056e-06,-0.001353108726035473,-0.001353108726035473,-0.001353108726035473,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,-8.693296260213103e-05,-8.693296260213103e-05,-8.693296260213103e-05,0.0,0.0,0.0,0.651228709887235
2025-08-11 14:00:00,0.6521336192888849,0.6510995786233764,0.6514258490445697,0.6521336192888849,0.6521336192888849,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.001266175763433342,-0.001266175763433342,-0.001266175763433342,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,-4.52601492894182e-06,-4.52601492894182e-06,-4.52601492894182e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-7.894930062743056e-06,-7.894930062743056e-06,-7.894930062743056e-06,-0.0013382600451462175,-0.0013382600451462175,-0.0013382600451462175,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,-7.208428171287576e-05,-7.208428171287576e-05,-7.208428171287576e-05,0.0,0.0,0.0,0.6512608949220939
2025-08-11 15:00:00,0.6521561514882495,0.6511623629159814,0.6514573436608359,0.6521561514882495,0.6521561514882495,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.001266175763433342,-0.001266175763433342,-0.001266175763433342,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,-4.52601492894182e-06,-4.52601492894182e-06,-4.52601492894182e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-7.894930062743056e-06,-7.894930062743056e-06,-7.894930062743056e-06,-0.001323976004220163,-0.001323976004220163,-0.001323976004220163,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,-5.780024078682094e-05,-5.780024078682094e-05,-5.780024078682094e-05,0.0,0.0,0.0,0.6512927123926744
2025-08-11 16:00:00,0.6521786836876141,0.6512016549887104,0.6514540651750402,0.6521786836876141,0.6521786836876141,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.0012570405347716175,-0.0012570405347716175,-0.0012570405347716175,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,4.60921373278266e-06,4.60921373278266e-06,4.60921373278266e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-7.894930062743056e-06,-7.894930062743056e-06,-7.894930062743056e-06,-0.0013012065320065444,-0.0013012065320065444,-0.0013012065320065444,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,-4.4165997234926955e-05,-4.4165997234926955e-05,-4.4165997234926955e-05,0.0,0.0,0.0,0.6513300645243644
2025-08-11 17:00:00,0.6522012158869785,0.6512125305240392,0.6514917153659574,0.6522012158869785,0.6522012158869785,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.0012570405347716175,-0.0012570405347716175,-0.0012570405347716175,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,4.60921373278266e-06,4.60921373278266e-06,4.60921373278266e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-7.894930062743056e-06,-7.894930062743056e-06,-7.894930062743056e-06,-0.0012882949494480256,-0.0012882949494480256,-0.0012882949494480256,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,-3.1254414676408225e-05,-3.1254414676408225e-05,-3.1254414676408225e-05,0.0,0.0,0.0,0.6513609883545275
2025-08-11 18:00:00,0.6522237480863432,0.6512332517903163,0.6515190164674806,0.6522237480863432,0.6522237480863432,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.0012538235245280168,-0.0012538235245280168,-0.0012538235245280168,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,4.60921373278266e-06,4.60921373278266e-06,4.60921373278266e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-4.6779198191422885e-06,-4.6779198191422885e-06,-4.6779198191422885e-06,-0.0012729489767549901,-0.0012729489767549901,-0.0012729489767549901,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,-1.9125452226973416e-05,-1.9125452226973416e-05,-1.9125452226973416e-05,0.0,0.0,0.0,0.6513935005336013
2025-08-11 19:00:00,0.6522462802857077,0.6512732370228201,0.6515640096221207,0.6522462802857077,0.6522462802857077,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.0012549614545348717,-0.0012549614545348717,-0.0012549614545348717,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,4.60921373278266e-06,4.60921373278266e-06,4.60921373278266e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-5.815849825997207e-06,-5.815849825997207e-06,-5.815849825997207e-06,-0.0012627871872816086,-0.0012627871872816086,-0.0012627871872816086,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,-7.825732746736822e-06,-7.825732746736822e-06,-7.825732746736822e-06,0.0,0.0,0.0,0.6514226320400109
2025-08-11 20:00:00,0.6522688124850723,0.6513279689095649,0.6515756846015538,0.6522688124850723,0.6522688124850723,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.0012494089814973277,-0.0012494089814973277,-0.0012494089814973277,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,4.60921373278266e-06,4.60921373278266e-06,4.60921373278266e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-2.6337678845314337e-07,-2.6337678845314337e-07,-2.6337678845314337e-07,-0.001246797275540802,-0.001246797275540802,-0.001246797275540802,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,2.6117059565257465e-06,2.6117059565257465e-06,2.6117059565257465e-06,0.0,0.0,0.0,0.6514555655067457
2025-08-11 21:00:00,0.6522913446844368,0.651346380678822,0.6516155482853271,0.6522913446844368,0.6522913446844368,0.0002935865893521605,0.0002935865893521605,0.0002935865893521605,3.051814387005673e-05,3.051814387005673e-05,3.051814387005673e-05,-0.0012494095779814905,-0.0012494095779814905,-0.0012494095779814905,-0.0008834817987517824,-0.0008834817987517824,-0.0008834817987517824,4.60921373278266e-06,4.60921373278266e-06,4.60921373278266e-06,-0.001329063605957191,-0.001329063605957191,-0.001329063605957191,-2.6397327261598715e-07,-2.6397327261598715e-07,-2.6397327261598715e-07,-0.001237242102588288,-0.001237242102588288,-0.001237242102588288,-1.2695035732151283e-05,-1.2695035732151283e-05,-1.2695035732151283e-05,0.0006239225865502493,0.0006239225865502493,0.0006239225865502493,2.345830222700096e-05,2.345830222700096e-05,2.345830222700096e-05,1.2167475393202635e-05,1.2167475393202635e-05,1.2167475393202635e-05,0.0,0.0,0.0,0.6514843023696394
