,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2025-08-11 12:00:00,1.4268915038120746,1.3781599178122275,1.3800269998356005,1.4268915038120746,1.4268915038120746,-0.047785493773284525,-0.047785493773284525,-0.047785493773284525,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,3.3574427059416856e-05,3.3574427059416856e-05,3.3574427059416856e-05,-0.04782707861190203,-0.04782707861190203,-0.04782707861190203,0.0,0.0,0.0,1.3791060100387902
1,2025-08-11 13:00:00,1.4268811293260264,1.3779782382743042,1.3799787272784039,1.4268811293260264,1.4268811293260264,-0.04793836543403454,-0.04793836543403454,-0.04793836543403454,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,4.561248175229385e-05,4.561248175229385e-05,4.561248175229385e-05,-0.04799198832734493,-0.04799198832734493,-0.04799198832734493,0.0,0.0,0.0,1.3789427638919918
2,2025-08-11 14:00:00,1.4268707548399786,1.3778390376595224,1.3797552765293501,1.4268707548399786,1.4268707548399786,-0.04808416491564015,-0.04808416491564015,-0.04808416491564015,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,6.132241593151824e-05,6.132241593151824e-05,6.132241593151824e-05,-0.048153497743129756,-0.048153497743129756,-0.048153497743129756,0.0,0.0,0.0,1.3787865899243386
3,2025-08-11 15:00:00,1.4268603803539304,1.3776899886815026,1.3796246788861706,1.4268603803539304,1.4268603803539304,-0.04822197972858095,-0.04822197972858095,-0.04822197972858095,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,8.163171745804559e-05,8.163171745804559e-05,8.163171745804559e-05,-0.048311621857597076,-0.048311621857597076,-0.048311621857597076,0.0,0.0,0.0,1.3786384006253494
4,2025-08-11 16:00:00,1.4268500058678821,1.377553387415815,1.379444884963296,1.4268500058678821,1.4268500058678821,-0.04835099008783141,-0.04835099008783141,-0.04835099008783141,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.00010737525741546678,0.00010737525741546678,0.00010737525741546678,-0.04846637575680497,-0.04846637575680497,-0.04846637575680497,0.0,0.0,0.0,1.3784990157800507
5,2025-08-11 17:00:00,1.4268396313818343,1.377404322877022,1.3793941365604372,1.4268396313818343,1.4268396313818343,-0.04847048021739852,-0.04847048021739852,-0.04847048021739852,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.00013928398388250458,0.00013928398388250458,0.00013928398388250458,-0.048617774612839115,-0.048617774612839115,-0.048617774612839115,0.0,0.0,0.0,1.3783691511644358
6,2025-08-11 18:00:00,1.426829256895786,1.3772441056914828,1.3793069848323571,1.426829256895786,1.426829256895786,-0.0485798481507826,-0.0485798481507826,-0.0485798481507826,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.00017797512077541986,0.00017797512077541986,0.00017797512077541986,-0.0487658336831161,-0.0487658336831161,-0.0487658336831161,0.0,0.0,0.0,1.3782494087450035
7,2025-08-11 19:00:00,1.4268188824097379,1.3771673863550389,1.3790740554826564,1.4268188824097379,1.4268188824097379,-0.04867861390621959,-0.04867861390621959,-0.04867861390621959,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.00022394399114501144,0.00022394399114501144,0.00022394399114501144,-0.04891056830892268,-0.04891056830892268,-0.04891056830892268,0.0,0.0,0.0,1.3781402685035182
8,2025-08-11 20:00:00,1.4268085079236896,1.377046943651041,1.3790722870637073,1.4268085079236896,1.4268085079236896,-0.04876642593996242,-0.04876642593996242,-0.04876642593996242,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.0002775575625470755,0.0002775575625470755,0.0002775575625470755,-0.04905199391406758,-0.04905199391406758,-0.04905199391406758,0.0,0.0,0.0,1.3780420819837271
9,2025-08-11 21:00:00,1.4267981334376418,1.376997735005151,1.3790163224690875,1.4267981334376418,1.4267981334376418,-0.04884306580265062,-0.04884306580265062,-0.04884306580265062,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.0003390497896978382,0.0003390497896978382,0.0003390497896978382,-0.04919012600390655,-0.04919012600390655,-0.04919012600390655,0.0,0.0,0.0,1.3779550676349912
10,2025-08-11 22:00:00,1.4267877589515936,1.3768508970993734,1.3789275333120055,1.4267877589515936,1.4267877589515936,-0.04890845094675978,-0.04890845094675978,-0.04890845094675978,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.00040851880579498675,0.00040851880579498675,0.00040851880579498675,-0.04932498016411285,-0.04932498016411285,-0.04932498016411285,0.0,0.0,0.0,1.3778793080048337
11,2025-08-11 23:00:00,1.4267773844655454,1.3768119341178378,1.3788445036354935,1.4267773844655454,1.4267773844655454,-0.04896263565774769,-0.04896263565774769,-0.04896263565774769,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.00048592598984414156,0.00048592598984414156,0.00048592598984414156,-0.04945657205914992,-0.04945657205914992,-0.04945657205914992,0.0,0.0,0.0,1.3778147488077976
12,2025-08-12 00:00:00,1.4267670099794976,1.3767544579970674,1.3787090105963022,1.4267670099794976,1.4267670099794976,-0.04900581010724952,-0.04900581010724952,-0.04900581010724952,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,8.010411558087695e-06,0.0,0.0,0.0,0.000571096912731235,0.000571096912731235,0.000571096912731235,-0.04958491743153884,-0.04958491743153884,-0.04958491743153884,0.0,0.0,0.0,1.377761199872248
13,2025-08-12 01:00:00,1.4267566354934493,1.375692358932483,1.3776453452180932,1.4267566354934493,1.4267566354934493,-0.05010041920389994,-0.05010041920389994,-0.05010041920389994,-0.0010541112442268511,-0.0010541112442268511,-0.0010541112442268511,-0.0010541112442268511,-0.0010541112442268511,-0.0010541112442268511,0.0,0.0,0.0,0.0006637241404679469,0.0006637241404679469,0.0006637241404679469,-0.049710032100141036,-0.049710032100141036,-0.049710032100141036,0.0,0.0,0.0,1.3766562162895495
14,2025-08-12 02:00:00,1.426746261007401,1.37547310784425,1.3774730947162868,1.426746261007401,1.426746261007401,-0.05028620722272991,-0.05028620722272991,-0.05028620722272991,-0.0012176471123208214,-0.0012176471123208214,-0.0012176471123208214,-0.0012176471123208214,-0.0012176471123208214,-0.0012176471123208214,0.0,0.0,0.0,0.0007633718487868333,0.0007633718487868333,0.0007633718487868333,-0.04983193195919592,-0.04983193195919592,-0.04983193195919592,0.0,0.0,0.0,1.3764600537846712
15,2025-08-12 03:00:00,1.4267358865213533,1.376236186709256,1.378287752573289,1.4267358865213533,1.4267358865213533,-0.04942893778483646,-0.04942893778483646,-0.04942893778483646,-0.0003477869875435993,-0.0003477869875435993,-0.0003477869875435993,-0.0003477869875435993,-0.0003477869875435993,-0.0003477869875435993,0.0,0.0,0.0,0.0008694821799550216,0.0008694821799550216,0.0008694821799550216,-0.04995063297724788,-0.04995063297724788,-0.04995063297724788,0.0,0.0,0.0,1.3773069487365168
16,2025-08-12 04:00:00,1.426725512035305,1.3754376926371576,1.3774154373863947,1.426725512035305,1.426725512035305,-0.0503590212634256,-0.0503590212634256,-0.0503590212634256,-0.00127425331781512,-0.00127425331781512,-0.00127425331781512,-0.00127425331781512,-0.00127425331781512,-0.00127425331781512,0.0,0.0,0.0,0.000981383249777562,0.000981383249777562,0.000981383249777562,-0.05006615119538804,-0.05006615119538804,-0.05006615119538804,0.0,0.0,0.0,1.3763664907718796
