ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_5,ma_5_lower,ma_5_upper,market_session,market_session_lower,market_session_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-11 12:00:00,1.3811642091344594,1.3783204550360308,1.3790342681138847,1.3811642091344594,1.3811642091344594,-0.0019805742151572845,-0.0019805742151572845,-0.0019805742151572845,-0.0007277665870013809,-0.0007277665870013809,-0.0007277665870013809,-3.367330813955784e-05,-3.367330813955784e-05,-3.367330813955784e-05,-0.0017682923938814599,-0.0017682923938814599,-0.0017682923938814599,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,0.00021228182127582484,0.00021228182127582484,0.00021228182127582484,0.0,0.0,0.0,1.3787219069687455
2025-08-11 13:00:00,1.3811273440721108,1.378280653405672,1.378995324151514,1.3811273440721108,1.3811273440721108,-0.0019805742151572845,-0.0019805742151572845,-0.0019805742151572845,-0.0007277665870013809,-0.0007277665870013809,-0.0007277665870013809,-3.367330813955784e-05,-3.367330813955784e-05,-3.367330813955784e-05,-0.001808868113409674,-0.001808868113409674,-0.001808868113409674,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,0.00017170610174761049,0.00017170610174761049,0.00017170610174761049,0.0,0.0,0.0,1.3786290668588606
2025-08-11 14:00:00,1.381090479009762,1.3781545809182183,1.3789492479400243,1.381090479009762,1.381090479009762,-0.0019805742151572845,-0.0019805742151572845,-0.0019805742151572845,-0.0007277665870013809,-0.0007277665870013809,-0.0007277665870013809,-3.367330813955784e-05,-3.367330813955784e-05,-3.367330813955784e-05,-0.0018526961015476301,-0.0018526961015476301,-0.0018526961015476301,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,0.00012787811360965448,0.00012787811360965448,0.00012787811360965448,0.0,0.0,0.0,1.3785317380634161
2025-08-11 15:00:00,1.3810536139474132,1.378007351950622,1.3788756507168531,1.3810536139474132,1.3810536139474132,-0.0019805742151572845,-0.0019805742151572845,-0.0019805742151572845,-0.0007277665870013809,-0.0007277665870013809,-0.0007277665870013809,-3.367330813955784e-05,-3.367330813955784e-05,-3.367330813955784e-05,-0.0018991671367818246,-0.0018991671367818246,-0.0018991671367818246,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,8.140707837545974e-05,8.140707837545974e-05,8.140707837545974e-05,0.0,0.0,0.0,1.3784307623096705
2025-08-11 16:00:00,1.3810167488850644,1.3779336192900553,1.3787741965444524,1.3810167488850644,1.3810167488850644,-0.0019805742151572845,-0.0019805742151572845,-0.0019805742151572845,-0.0007277665870013809,-0.0007277665870013809,-0.0007277665870013809,-3.367330813955784e-05,-3.367330813955784e-05,-3.367330813955784e-05,-0.001947655327830399,-0.001947655327830399,-0.001947655327830399,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,3.291888732688539e-05,3.291888732688539e-05,3.291888732688539e-05,0.0,0.0,0.0,1.3783270042562754
2025-08-11 17:00:00,1.3809798838227159,1.3779288246564902,1.378720334927281,1.3809798838227159,1.3809798838227159,-0.0019577005212439895,-0.0019577005212439895,-0.0019577005212439895,-0.0007728585040021201,-0.0007728585040021201,-0.0007728585040021201,3.4292302774476175e-05,3.4292302774476175e-05,3.4292302774476175e-05,-0.0019746520169852213,-0.0019746520169852213,-0.0019746520169852213,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,-1.695149574123167e-05,-1.695149574123167e-05,-1.695149574123167e-05,0.0,0.0,0.0,1.3782529291097094
2025-08-11 18:00:00,1.380943018760367,1.3778118970068265,1.3784769749630779,1.380943018760367,1.380943018760367,-0.0019666138943578455,-0.0019666138943578455,-0.0019666138943578455,-0.0007817718771159759,-0.0007817718771159759,-0.0007817718771159759,3.4292302774476175e-05,3.4292302774476175e-05,3.4292302774476175e-05,-0.0020341815185260705,-0.0020341815185260705,-0.0020341815185260705,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,-6.756762416822507e-05,-6.756762416822507e-05,-6.756762416822507e-05,0.0,0.0,0.0,1.3781339299934672
2025-08-11 19:00:00,1.3809061536980183,1.3775593742137946,1.378283319114295,1.3809061536980183,1.3809061536980183,-0.00200069848313039,-0.00200069848313039,-0.00200069848313039,-0.0008158564658885205,-0.0008158564658885205,-0.0008158564658885205,3.4292302774476175e-05,3.4292302774476175e-05,3.4292302774476175e-05,-0.002118997541125132,-0.002118997541125132,-0.002118997541125132,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,-0.00011829905799474197,-0.00011829905799474197,-0.00011829905799474197,0.0,0.0,0.0,1.3779800169538077
2025-08-11 20:00:00,1.3808692886356695,1.377396611204938,1.3781302848308512,1.3808692886356695,1.3808692886356695,-0.0020426463421534045,-0.0020426463421534045,-0.0020426463421534045,-0.0008578043249115351,-0.0008578043249115351,-0.0008578043249115351,3.4292302774476175e-05,3.4292302774476175e-05,3.4292302774476175e-05,-0.002211175005082644,-0.002211175005082644,-0.002211175005082644,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,-0.00016852866292923916,-0.00016852866292923916,-0.00016852866292923916,0.0,0.0,0.0,1.3778159449793521
2025-08-11 21:00:00,1.380832423573321,1.377336215482253,1.3781590061552118,1.380832423573321,1.380832423573321,-0.002057329030403333,-0.002057329030403333,-0.002057329030403333,-0.0008724870131614638,-0.0008724870131614638,-0.0008724870131614638,3.4292302774476175e-05,3.4292302774476175e-05,3.4292302774476175e-05,-0.0022749886617054182,-0.0022749886617054182,-0.0022749886617054182,-0.0012191343200163456,-0.0012191343200163456,-0.0012191343200163456,-0.00021765963130208449,-0.00021765963130208449,-0.00021765963130208449,0.0,0.0,0.0,1.3776910454659765
