Datetime,open,high,low,close,volume,dividends,stock splits,source,symbol,provider
2025-08-28 00:00:00+00:00,4506.8681640625,4506.8681640625,4506.8681640625,4506.8681640625,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:02:00+00:00,4505.8525390625,4505.8525390625,4505.8525390625,4505.8525390625,662065152,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:03:00+00:00,4505.673828125,4505.673828125,4505.673828125,4505.673828125,35827712,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:04:00+00:00,4506.23291015625,4506.23291015625,4506.23291015625,4506.23291015625,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:05:00+00:00,4513.01220703125,4513.01220703125,4513.01220703125,4513.01220703125,1111855104,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:06:00+00:00,4512.6728515625,4512.6728515625,4512.6728515625,4512.6728515625,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:07:00+00:00,4513.18701171875,4513.18701171875,4513.18701171875,4513.18701171875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:08:00+00:00,4516.42919921875,4516.42919921875,4516.42919921875,4516.42919921875,69832704,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:09:00+00:00,4518.85791015625,4518.85791015625,4518.85791015625,4518.85791015625,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:11:00+00:00,4514.8603515625,4514.8603515625,4514.8603515625,4514.8603515625,100413440,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:12:00+00:00,4515.6982421875,4515.6982421875,4515.6982421875,4515.6982421875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:13:00+00:00,4516.466796875,4516.466796875,4516.466796875,4516.466796875,16453632,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:14:00+00:00,4516.76123046875,4516.76123046875,4516.76123046875,4516.76123046875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:15:00+00:00,4517.89599609375,4517.89599609375,4517.89599609375,4517.89599609375,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:16:00+00:00,4519.03125,4519.03125,4519.03125,4519.03125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:17:00+00:00,4517.26953125,4517.26953125,4517.26953125,4517.26953125,36225024,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:18:00+00:00,4514.63037109375,4514.63037109375,4514.63037109375,4514.63037109375,36052992,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:19:00+00:00,4505.9375,4505.9375,4505.9375,4505.9375,1062912000,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:20:00+00:00,4501.412109375,4501.412109375,4501.412109375,4501.412109375,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:21:00+00:00,4499.67041015625,4499.67041015625,4499.67041015625,4499.67041015625,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:22:00+00:00,4496.9697265625,4496.9697265625,4496.9697265625,4496.9697265625,198082560,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:23:00+00:00,4491.41845703125,4491.41845703125,4491.41845703125,4491.41845703125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:24:00+00:00,4489.283203125,4489.283203125,4489.283203125,4489.283203125,310394880,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:25:00+00:00,4480.68505859375,4480.68505859375,4480.68505859375,4480.68505859375,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:26:00+00:00,4485.80615234375,4485.80615234375,4485.80615234375,4485.80615234375,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:27:00+00:00,4490.68017578125,4490.68017578125,4490.68017578125,4490.68017578125,1170862080,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:28:00+00:00,4494.40087890625,4494.40087890625,4494.40087890625,4494.40087890625,52510720,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:29:00+00:00,4491.8046875,4491.8046875,4491.8046875,4491.8046875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:31:00+00:00,4492.810546875,4492.810546875,4492.810546875,4492.810546875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:32:00+00:00,4495.5732421875,4495.5732421875,4495.5732421875,4495.5732421875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:33:00+00:00,4493.88623046875,4493.88623046875,4493.88623046875,4493.88623046875,33316864,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:34:00+00:00,4482.0390625,4482.0390625,4482.0390625,4482.0390625,23781376,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:35:00+00:00,4471.5498046875,4471.5498046875,4471.5498046875,4471.5498046875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:36:00+00:00,4471.94775390625,4471.94775390625,4471.94775390625,4471.94775390625,52944896,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:37:00+00:00,4475.12158203125,4475.12158203125,4475.12158203125,4475.12158203125,124141568,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:38:00+00:00,4476.07568359375,4476.07568359375,4476.07568359375,4476.07568359375,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:39:00+00:00,4479.53955078125,4479.53955078125,4479.53955078125,4479.53955078125,413519872,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:40:00+00:00,4482.15869140625,4482.15869140625,4482.15869140625,4482.15869140625,72744960,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:41:00+00:00,4478.40478515625,4478.40478515625,4478.40478515625,4478.40478515625,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:42:00+00:00,4478.986328125,4478.986328125,4478.986328125,4478.986328125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:43:00+00:00,4482.033203125,4482.033203125,4482.033203125,4482.033203125,34713600,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:44:00+00:00,4488.26171875,4488.26171875,4488.26171875,4488.26171875,71192576,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:45:00+00:00,4492.869140625,4492.869140625,4492.869140625,4492.869140625,110129152,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:46:00+00:00,4498.90478515625,4498.90478515625,4498.90478515625,4498.90478515625,1051131904,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:47:00+00:00,4504.52783203125,4504.52783203125,4504.52783203125,4504.52783203125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:48:00+00:00,4504.7529296875,4504.7529296875,4504.7529296875,4504.7529296875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:49:00+00:00,4503.6376953125,4503.6376953125,4503.6376953125,4503.6376953125,180776960,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:50:00+00:00,4503.14013671875,4503.14013671875,4503.14013671875,4503.14013671875,89305088,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:51:00+00:00,4497.6357421875,4497.6357421875,4497.6357421875,4497.6357421875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:52:00+00:00,4489.291015625,4489.291015625,4489.291015625,4489.291015625,38043648,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:53:00+00:00,4492.3505859375,4492.3505859375,4492.3505859375,4492.3505859375,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:54:00+00:00,4488.625,4488.625,4488.625,4488.625,1443106816,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:55:00+00:00,4486.67724609375,4486.67724609375,4486.67724609375,4486.67724609375,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:56:00+00:00,4485.84814453125,4485.84814453125,4485.84814453125,4485.84814453125,181673984,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:57:00+00:00,4478.7060546875,4478.7060546875,4478.7060546875,4478.7060546875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:58:00+00:00,4487.15771484375,4487.15771484375,4487.15771484375,4487.15771484375,1158656000,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 00:59:00+00:00,4490.4970703125,4490.4970703125,4490.4970703125,4490.4970703125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:00:00+00:00,4491.923828125,4491.923828125,4491.923828125,4491.923828125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:01:00+00:00,4496.90234375,4496.90234375,4496.90234375,4496.90234375,875311104,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:02:00+00:00,4496.0048828125,4496.0048828125,4496.0048828125,4496.0048828125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:03:00+00:00,4500.27783203125,4500.27783203125,4500.27783203125,4500.27783203125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:05:00+00:00,4505.49853515625,4505.49853515625,4505.49853515625,4505.49853515625,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:06:00+00:00,4502.60205078125,4502.60205078125,4502.60205078125,4502.60205078125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:07:00+00:00,4496.03955078125,4496.03955078125,4496.03955078125,4496.03955078125,434335744,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:08:00+00:00,4502.45361328125,4502.45361328125,4502.45361328125,4502.45361328125,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:09:00+00:00,4500.8203125,4500.8203125,4500.8203125,4500.8203125,443969536,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:10:00+00:00,4501.31005859375,4501.31005859375,4501.31005859375,4501.31005859375,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:12:00+00:00,4505.47412109375,4505.47412109375,4505.47412109375,4505.47412109375,427429888,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:13:00+00:00,4506.90576171875,4506.90576171875,4506.90576171875,4506.90576171875,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:14:00+00:00,4507.18603515625,4507.18603515625,4507.18603515625,4507.18603515625,355012608,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:15:00+00:00,4505.71533203125,4505.71533203125,4505.71533203125,4505.71533203125,139096064,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
2025-08-28 01:17:00+00:00,4501.33837890625,4501.33837890625,4501.33837890625,4501.33837890625,0,0.0,0.0,yahoo_finance,ETH-USD,Yahoo Finance
