,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,adx,adx_lower,adx_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,momentum_20,momentum_20_lower,momentum_20_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volatility_20,volatility_20_lower,volatility_20_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2024-09-10 23:00:00,0.8998518042109013,1.3572279085056522,1.3617232037366307,0.8998518042109013,0.8998518042109013,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884668849,0.7256766884668849,0.7256766884668849,-0.0016029538466267516,-0.0016029538466267516,-0.0016029538466267516,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.0019468185717022928,-0.0019468185717022928,-0.0019468185717022928,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,3.522786120115141e-05,3.522786120115141e-05,3.522786120115141e-05,0.5107400205520924,0.5107400205520924,0.5107400205520924,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.01243160845634525,-0.01243160845634525,-0.01243160845634525,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.20090210561182045,-0.20090210561182045,-0.20090210561182045,0.0,0.0,0.0,1.3594421331874145
1,2024-09-11 23:00:00,0.8995819443913662,1.3571142604625863,1.361627838135844,0.8995819443913662,0.8995819443913662,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884596366,0.7256766884596366,0.7256766884596366,-0.0017702180406656705,-0.0017702180406656705,-0.0017702180406656705,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.0021140827657412115,-0.0021140827657412115,-0.0021140827657412115,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,3.522786120115141e-05,3.522786120115141e-05,3.522786120115141e-05,0.5112075859259589,0.5112075859259589,0.5112075859259589,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.011442087496426818,-0.011442087496426818,-0.011442087496426818,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.20125679699658527,-0.20125679699658527,-0.20125679699658527,0.0,0.0,0.0,1.3594550585262568
2,2024-09-12 23:00:00,0.8993120845718313,1.3555929427607751,1.3603286965601769,0.8993120845718313,0.8993120845718313,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884637381,0.7256766884637381,0.7256766884637381,-0.0018353463461869778,-0.0018353463461869778,-0.0018353463461869778,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.002179211071262519,-0.002179211071262519,-0.002179211071262519,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,3.522786120115141e-05,3.522786120115141e-05,3.522786120115141e-05,0.5100964331216858,0.5100964331216858,0.5100964331216858,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.012409812370621599,-0.012409812370621599,-0.012409812370621599,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.2013350966252437,-0.2013350966252437,-0.2013350966252437,0.0,0.0,0.0,1.3580479711751505
3,2024-09-15 23:00:00,0.8985025051132263,1.3565030215195484,1.360962464235229,0.8985025051132263,0.8985025051132263,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884604418,0.7256766884604418,0.7256766884604418,-0.0018428796760735669,-0.0018428796760735669,-0.0018428796760735669,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.002186744401149108,-0.002186744401149108,-0.002186744401149108,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,3.522786120115141e-05,3.522786120115141e-05,3.522786120115141e-05,0.5121390105457106,0.5121390105457106,0.5121390105457106,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.011437184251619104,-0.011437184251619104,-0.011437184251619104,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.20025761398703837,-0.20025761398703837,-0.20025761398703837,0.0,0.0,0.0,1.3586606890547563
4,2024-09-16 23:00:00,0.8981991487045072,1.3556720429365559,1.3603069275579844,0.8981991487045072,0.8981991487045072,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884645431,0.7256766884645431,0.7256766884645431,-0.0017601545367351657,-0.0017601545367351657,-0.0017601545367351657,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.0021040192618107067,-0.0021040192618107067,-0.0021040192618107067,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,3.522786120115141e-05,3.522786120115141e-05,3.522786120115141e-05,0.5117994940104192,0.5117994940104192,0.5117994940104192,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.012545354456405406,-0.012545354456405406,-0.012545354456405406,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.19957168546098342,-0.19957168546098342,-0.19957168546098342,0.0,0.0,0.0,1.3578970185320633
5,2024-09-17 23:00:00,0.8978957922957884,1.3557757625853368,1.3602824265651148,0.8978957922957884,0.8978957922957884,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884686446,0.7256766884686446,0.7256766884686446,-0.0019999845936432945,-0.0019999845936432945,-0.0019999845936432945,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.001992067178216967,-0.001992067178216967,-0.001992067178216967,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-0.00031655427930071724,-0.00031655427930071724,-0.00031655427930071724,0.5124709305039891,0.5124709305039891,0.5124709305039891,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.012431608456344476,-0.012431608456344476,-0.012431608456344476,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.19877416491466793,-0.19877416491466793,-0.19877416491466793,0.0,0.0,0.0,1.3580412844692276
6,2024-09-18 23:00:00,0.8975924358870696,1.357952527234329,1.3625701412069406,0.8975924358870696,0.8975924358870696,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884613965,0.7256766884613965,0.7256766884613965,-0.000953599395235342,-0.000953599395235342,-0.000953599395235342,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.0017181525516006095,-0.0017181525516006095,-0.0017181525516006095,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,0.0004559162924908779,0.0004559162924908779,0.0004559162924908779,0.5153877393769036,0.5153877393769036,0.5153877393769036,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.011442087496433221,-0.011442087496433221,-0.011442087496433221,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.1978932621928244,-0.1978932621928244,-0.1978932621928244,0.0,0.0,0.0,1.360200572300715
7,2024-09-19 23:00:00,0.8972890794783506,1.3565735223300595,1.3612151751737962,0.8972890794783506,0.8972890794783506,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884612469,0.7256766884612469,0.7256766884612469,-0.0020239229891759595,-0.0020239229891759595,-0.0020239229891759595,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.002083648298960884,-0.002083648298960884,-0.002083648298960884,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-0.00024891155408946527,-0.00024891155408946527,-0.00024891155408946527,0.5142881354869834,0.5142881354869834,0.5142881354869834,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.012409812370573411,-0.012409812370573411,-0.012409812370573411,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.1969548176145141,-0.1969548176145141,-0.1969548176145141,0.0,0.0,0.0,1.3587542071561032
8,2024-09-22 23:00:00,0.8924827490804293,1.3523205268739602,1.356940101035076,0.8924827490804293,0.8924827490804293,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884622016,0.7256766884622016,0.7256766884622016,-0.0022633189252311958,-0.0022633189252311958,-0.0022633189252311958,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.0023168729775210747,-0.0023168729775210747,-0.0023168729775210747,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-0.0002550828115845105,-0.0002550828115845105,-0.0002550828115845105,0.5179649420310346,0.5179649420310346,0.5179649420310346,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.011437184251533323,-0.011437184251533323,-0.011437184251533323,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.19401124325440244,-0.19401124325440244,-0.19401124325440244,0.0,0.0,0.0,1.3547575244715724
9,2024-09-23 23:00:00,0.8908806389477888,1.348792427972004,1.3531977950609713,0.8908806389477888,0.8908806389477888,-0.0003489911962493089,-0.0003489911962493089,-0.0003489911962493089,0.0013694908111392702,0.0013694908111392702,0.0013694908111392702,6.120097538199513e-05,6.120097538199513e-05,6.120097538199513e-05,0.7256766884663031,0.7256766884663031,0.7256766884663031,-0.0035221267028382294,-0.0035221267028382294,-0.0035221267028382294,-0.0009254511764296084,-0.0009254511764296084,-0.0009254511764296084,0.00042162530210254227,0.00042162530210254227,0.00042162530210254227,-0.0029040223702626873,-0.0029040223702626873,-0.0029040223702626873,2.212784848610139e-05,2.212784848610139e-05,2.212784848610139e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-4.6768589171093426e-05,-0.0009267411964499319,-0.0009267411964499319,-0.0009267411964499319,0.5165649110724001,0.5165649110724001,0.5165649110724001,-3.081200310027459e-05,-3.081200310027459e-05,-3.081200310027459e-05,-0.00021981147933407795,-0.00021981147933407795,-0.00021981147933407795,0.0,0.0,0.0,-0.012545354456422715,-0.012545354456422715,-0.012545354456422715,6.026371048843979e-06,6.026371048843979e-06,6.026371048843979e-06,-0.19304429623464187,-0.19304429623464187,-0.19304429623464187,0.0,0.0,0.0,1.3510783169819762
