date,forecast_price,lower_bound,upper_bound,current_price,days_ahead,price_change_pct
2025-09-12,4558.540428863632,4039.347010227043,5034.909202886859,4414.10009765625,1,3.2722486579784444
2025-09-13,4580.375158659543,4087.2922300632517,5067.207730096987,4414.10009765625,2,3.766907349735443
2025-09-14,4602.209888452788,4101.587986653684,5108.502607987841,4414.10009765625,3,4.26156604143205
2025-09-15,4624.044618246034,4155.731817176745,5097.455624037334,4414.10009765625,4,4.756224733128677
2025-09-16,4645.879348049127,4124.491871936124,5160.039038768046,4414.10009765625,5,5.2508834250483885
2025-09-17,4667.714077842372,4155.758527699702,5180.450122488653,4414.10009765625,6,5.7455421167449945
2025-09-18,4689.548807635617,4192.289019306847,5141.69531247048,4414.10009765625,7,6.240200808441602
2025-09-19,4711.38353743871,4171.450413119279,5183.559106987838,4414.10009765625,8,6.734859500361312
2025-09-20,4733.218267234622,4199.2287392390845,5224.162040999548,4414.10009765625,9,7.229518192118331
2025-09-21,4755.052997027867,4254.484109466897,5236.259697954674,4414.10009765625,10,7.7241768838149385
2025-09-22,4776.887726821113,4251.920597752563,5257.351202628453,4414.10009765625,11,8.218835575511568
2025-09-23,4798.722456624205,4346.270604802369,5293.31760006477,4414.10009765625,12,8.713494267431257
2025-09-24,4820.557186420116,4310.418970136401,5319.341621557156,4414.10009765625,13,9.208152959188254
2025-09-25,4842.391916213362,4367.7992857796135,5317.972224004223,4414.10009765625,14,9.702811650884883
2025-09-26,4864.226646016454,4349.82518334127,5359.1555270712015,4414.10009765625,15,10.197470342804573
2025-09-27,4886.0613758097,4369.244246111722,5362.418330762541,4414.10009765625,16,10.6921290345012
2025-09-28,4907.896105602945,4369.271471738691,5433.906129512076,4414.10009765625,17,11.186787726197807
2025-09-29,4929.730835406038,4405.380663435608,5408.198731343037,4414.10009765625,18,11.681446418117517
2025-09-30,4951.565565199284,4464.177381742948,5457.34622866444,4414.10009765625,19,12.176105109814145
2025-10-01,4973.400294995195,4461.6392290678,5459.989966186978,4414.10009765625,20,12.670763801571145
2025-10-02,4995.23502478844,4492.914340521483,5515.233052352667,4414.10009765625,21,13.16542249326775
2025-10-03,5017.069754591533,4513.665739979564,5533.219194603205,4414.10009765625,22,13.660081185187462
2025-10-04,5038.904484384779,4516.797787544892,5561.381273148867,4414.10009765625,23,14.154739876884086
2025-10-05,5060.73921418069,4557.306632645951,5590.2172301272185,4414.10009765625,24,14.649398568641105
2025-10-06,5082.573943983782,4568.9887492042235,5566.709145179483,4414.10009765625,25,15.144057260560775
2025-10-07,5104.408673777028,4546.983388180751,5658.797468926703,4414.10009765625,26,15.638715952257403
2025-10-08,5126.243403570273,4595.696363003499,5628.2870194292545,4414.10009765625,27,16.13337464395401
2025-10-09,5148.078133373366,4665.346961755625,5693.588679748336,4414.10009765625,28,16.62803333587372
2025-10-10,5169.912863166612,4680.918552237434,5660.18842089677,4414.10009765625,29,17.12269202757035
2025-10-11,5191.747592959857,4674.2048334320725,5702.516418108776,4414.10009765625,30,17.617350719266955
