ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,day_sin,day_sin_lower,day_sin_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hour_sin,hour_sin_lower,hour_sin_upper,market_session,market_session_lower,market_session_upper,momentum_lag_10,momentum_lag_10_lower,momentum_lag_10_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,return_regime,return_regime_lower,return_regime_upper,returns_lag_1,returns_lag_1_lower,returns_lag_1_upper,volatility_lag_20,volatility_lag_20_lower,volatility_lag_20_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-20 22:00:00,0.6443565857326985,0.6427527874628727,0.6443210466567588,0.6443565857326985,0.6443565857326985,-5.616148815544404e-05,-5.616148815544404e-05,-5.616148815544404e-05,-0.0005793881660615054,-0.0005793881660615054,-0.0005793881660615054,0.00012970922280283048,0.00012970922280283048,0.00012970922280283048,-9.167336115481877e-05,-9.167336115481877e-05,-9.167336115481877e-05,-0.00012153734721306562,-0.00012153734721306562,-0.00012153734721306562,-0.0013316678961710483,-0.0013316678961710483,-0.0013316678961710483,-1.297587109718624e-06,-1.297587109718624e-06,-1.297587109718624e-06,-1.8197639783793803e-05,-1.8197639783793803e-05,-1.8197639783793803e-05,0.00011527659956036796,0.00011527659956036796,0.00011527659956036796,-0.000535506565007863,-0.000535506565007863,-0.000535506565007863,-0.0007522797301095429,-0.0007522797301095429,-0.0007522797301095429,0.0,0.0,0.0,0.6434985167537919
2025-08-20 23:00:00,0.6444156398342561,0.6423402591056856,0.6442306651185136,0.6444156398342561,0.6444156398342561,-5.616148815544404e-05,-5.616148815544404e-05,-5.616148815544404e-05,-0.0009878538656738762,-0.0009878538656738762,-0.0009878538656738762,7.018026180233665e-05,7.018026180233665e-05,7.018026180233665e-05,-9.167336115481877e-05,-9.167336115481877e-05,-9.167336115481877e-05,-0.0005440177238368112,-0.0005440177238368112,-0.0005440177238368112,-0.0019289407644800432,-0.0019289407644800432,-0.0019289407644800432,-1.297587109718624e-06,-1.297587109718624e-06,-1.297587109718624e-06,1.4560614444369861e-05,1.4560614444369861e-05,1.4560614444369861e-05,3.6546334418778645e-05,3.6546334418778645e-05,3.6546334418778645e-05,-0.00041599091608256883,-0.00041599091608256883,-0.00041599091608256883,-0.0009410868988061667,-0.0009410868988061667,-0.0009410868988061667,0.0,0.0,0.0,0.6431726002373113
2025-08-21 00:00:00,0.6444746939358137,0.6427187816151069,0.6443556366593822,0.6444746939358137,0.6444746939358137,-1.1710051527211034e-05,-1.1710051527211034e-05,-1.1710051527211034e-05,-0.0002468544221179763,-0.0002468544221179763,-0.0002468544221179763,6.297817814823775e-06,6.297817814823775e-06,6.297817814823775e-06,-2.3149061835235288e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,0.00012707294302393275,0.00012707294302393275,0.00012707294302393275,-0.0013876604221074338,-0.0013876604221074338,-0.0013876604221074338,-1.297587109718624e-06,-1.297587109718624e-06,-1.297587109718624e-06,1.455587047009584e-05,1.455587047009584e-05,1.455587047009584e-05,2.748765089658154e-05,2.748765089658154e-05,2.748765089658154e-05,-0.00038611200385124526,-0.00038611200385124526,-0.00038611200385124526,-0.0011408059999894575,-0.0011408059999894575,-0.0011408059999894575,0.0,0.0,0.0,0.6435803819099891
2025-08-21 01:00:00,0.6445337480373713,0.6422017527171804,0.6438222084741986,0.6445337480373713,0.6445337480373713,-1.1710051527211034e-05,-1.1710051527211034e-05,-1.1710051527211034e-05,-0.0009722888363438886,-0.0009722888363438886,-0.0009722888363438886,-5.75846261726889e-05,-5.75846261726889e-05,-5.75846261726889e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,-0.00026310905417079993,-0.00026310905417079993,-0.00026310905417079993,-0.0023217034967281695,-0.0023217034967281695,-0.0023217034967281695,-3.633243907212147e-05,-3.633243907212147e-05,-3.633243907212147e-05,-0.0001654230335078308,-0.0001654230335078308,-0.0001654230335078308,-2.8868566206756033e-05,-2.8868566206756033e-05,-2.8868566206756033e-05,-0.00038611200385124526,-0.00038611200385124526,-0.00038611200385124526,-0.0013494146603842808,-0.0013494146603842808,-0.0013494146603842808,0.0,0.0,0.0,0.6430373317807936
2025-08-21 02:00:00,0.6445928021389289,0.6425027860335686,0.6440095946580661,0.6445928021389289,0.6445928021389289,-1.1710051527211034e-05,-1.1710051527211034e-05,-1.1710051527211034e-05,-0.00046596353309589735,-0.00046596353309589735,-0.00046596353309589735,-0.00011711358717318281,-0.00011711358717318281,-0.00011711358717318281,-2.3149061835235288e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,2.289564936827227e-06,2.289564936827227e-06,2.289564936827227e-06,-0.0020306466518616884,-0.0020306466518616884,-0.0020306466518616884,3.373726485268423e-05,3.373726485268423e-05,3.373726485268423e-05,7.18508507021915e-05,7.18508507021915e-05,7.18508507021915e-05,-3.575650920072586e-05,-3.575650920072586e-05,-3.575650920072586e-05,-0.00038611200385124526,-0.00038611200385124526,-0.00038611200385124526,-0.001564683118765791,-0.001564683118765791,-0.001564683118765791,0.0,0.0,0.0,0.6432838619234513
2025-08-21 03:00:00,0.6446518562404865,0.6415717585824904,0.6431733932738509,0.6446518562404865,0.6446518562404865,-1.1710051527211034e-05,-1.1710051527211034e-05,-1.1710051527211034e-05,-0.0016540503007486645,-0.0016540503007486645,-0.0016540503007486645,-0.00016823226487073378,-0.00016823226487073378,-0.00016823226487073378,-2.3149061835235288e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,-0.000730938001731647,-0.000730938001731647,-0.000730938001731647,-0.0034382545666145218,-0.0034382545666145218,-0.0034382545666145218,-3.633243907212147e-05,-3.633243907212147e-05,-3.633243907212147e-05,-0.000246930810469837,-0.000246930810469837,-0.000246930810469837,3.899106930333696e-05,3.899106930333696e-05,3.899106930333696e-05,-0.0004757487405452158,-0.0004757487405452158,-0.0004757487405452158,-0.0017842042658658573,-0.0017842042658658573,-0.0017842042658658573,0.0,0.0,0.0,0.6424353790518911
2025-08-21 04:00:00,0.6447109103420441,0.6416996548797063,0.6433465566493962,0.6447109103420441,0.6447109103420441,-1.1710051527211034e-05,-1.1710051527211034e-05,-1.1710051527211034e-05,-0.0014682330154554594,-0.0014682330154554594,-0.0014682330154554594,-0.00020745700585786284,-0.00020745700585786284,-0.00020745700585786284,-2.3149061835235288e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,-0.0008093117934187829,-0.0008093117934187829,-0.0008093117934187829,-0.0034736593990509265,-0.0034736593990509265,-0.0034736593990509265,-1.297587109718624e-06,-1.297587109718624e-06,-1.297587109718624e-06,3.084720343348359e-05,3.084720343348359e-05,3.084720343348359e-05,4.4533477520745475e-05,4.4533477520745475e-05,4.4533477520745475e-05,-0.0004906881966608777,-0.0004906881966608777,-0.0004906881966608777,-0.0020054263835954677,-0.0020054263835954677,-0.0020054263835954677,0.0,0.0,0.0,0.6424714042286638
2025-08-21 05:00:00,0.6447699644436018,0.641850799136201,0.643114617233317,0.6447699644436018,0.6447699644436018,-1.1710051527211034e-05,-1.1710051527211034e-05,-1.1710051527211034e-05,-0.0013390891037902513,-0.0013390891037902513,-0.0013390891037902513,-0.0002321147088582465,-0.0002321147088582465,-0.0002321147088582465,-2.3149061835235288e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,-0.0006217826359810424,-0.0006217826359810424,-0.0006217826359810424,-0.0035647772568452732,-0.0035647772568452732,-0.0035647772568452732,-1.297587109718624e-06,-1.297587109718624e-06,-1.297587109718624e-06,-5.085103028536293e-05,-5.085103028536293e-05,-5.085103028536293e-05,1.7806887889134444e-05,1.7806887889134444e-05,1.7806887889134444e-05,-0.00041599091608256883,-0.00041599091608256883,-0.00041599091608256883,-0.002225688153055022,-0.002225688153055022,-0.002225688153055022,0.0,0.0,0.0,0.6424715031384564
2025-08-21 06:00:00,0.6448290185451594,0.6417685001503016,0.6434098272014293,0.6448290185451594,0.6448290185451594,-1.1710051527211034e-05,-1.1710051527211034e-05,-1.1710051527211034e-05,-0.0010551377659953217,-0.0010551377659953217,-0.0010551377659953217,-0.00024052499216118943,-0.00024052499216118943,-0.00024052499216118943,-2.3149061835235288e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,-0.0004658386170843086,-0.0004658386170843086,-0.0004658386170843086,-0.0034973932347045996,-0.0034973932347045996,-0.0034973932347045996,3.373726485268423e-05,3.373726485268423e-05,3.373726485268423e-05,0.00010447007449963077,0.00010447007449963077,0.00010447007449963077,3.8565813921185435e-05,3.8565813921185435e-05,3.8565813921185435e-05,-0.0004906881966608777,-0.0004906881966608777,-0.0004906881966608777,-0.0024422554687092784,-0.0024422554687092784,-0.0024422554687092784,0.0,0.0,0.0,0.6425737978981584
2025-08-21 07:00:00,0.644888072646717,0.6416018766471043,0.6430269953077673,0.644888072646717,0.644888072646717,-1.1710051527211034e-05,-1.1710051527211034e-05,-1.1710051527211034e-05,-0.0014355701345519205,-0.0014355701345519205,-0.0014355701345519205,-0.0002321147088582465,-0.0002321147088582465,-0.0002321147088582465,-2.3149061835235288e-05,-2.3149061835235288e-05,-2.3149061835235288e-05,-0.000606175579559497,-0.000606175579559497,-0.000606175579559497,-0.004087929705654131,-0.004087929705654131,-0.004087929705654131,-1.297587109718624e-06,-1.297587109718624e-06,-1.297587109718624e-06,-8.356515236473169e-05,-8.356515236473169e-05,-8.356515236473169e-05,4.300911559492082e-05,4.300911559492082e-05,4.300911559492082e-05,-0.0005205671088922012,-0.0005205671088922012,-0.0005205671088922012,-0.0026523595711022106,-0.0026523595711022106,-0.0026523595711022106,0.0,0.0,0.0,0.6422518155377225
