,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr,atr_lower,atr_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2025-08-11 12:00:00,1.3608265817120075,1.3779396917388176,1.379362996337816,1.3608265817120075,1.3608265817120075,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,-1.0539350000483028e-05,-1.0539350000483028e-05,-1.0539350000483028e-05,-8.506225570613683e-05,-8.506225570613683e-05,-8.506225570613683e-05,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-7.028542953445043e-05,-7.028542953445043e-05,-7.028542953445043e-05,0.013090379112390882,0.013090379112390882,0.013090379112390882,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0003253505411520036,-0.0003253505411520036,-0.0003253505411520036,0.013511331259249505,0.013511331259249505,0.013511331259249505,0.0,0.0,0.0,1.3786403175728366
1,2025-08-11 13:00:00,1.360808855232657,1.3777813083182018,1.3791988973405178,1.360808855232657,1.360808855232657,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,-1.6409530119875607e-06,-1.6409530119875607e-06,-1.6409530119875607e-06,-0.00011467421255229439,-0.00011467421255229439,-0.00011467421255229439,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-9.9897386380608e-05,-9.9897386380608e-05,-9.9897386380608e-05,0.013006914596736903,0.013006914596736903,0.013006914596736903,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0003729977074020495,-0.0003729977074020495,-0.0003729977074020495,0.013496227469703234,0.013496227469703234,0.013496227469703234,0.0,0.0,0.0,1.3785087797951514
2,2025-08-11 14:00:00,1.3607911287533065,1.3776477021561506,1.3791149155730336,1.3607911287533065,1.3607911287533065,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,-5.0714318948494077e-05,-5.0714318948494077e-05,-5.0714318948494077e-05,-8.421520386844996e-05,-8.421520386844996e-05,-8.421520386844996e-05,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-6.943837769676356e-05,-6.943837769676356e-05,-6.943837769676356e-05,0.012932193975023355,0.012932193975023355,0.012932193975023355,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0004154148707254499,-0.0004154148707254499,-0.0004154148707254499,0.01348253836856575,0.01348253836856575,0.01348253836856575,0.0,0.0,0.0,1.3783891435898352
3,2025-08-11 15:00:00,1.3607734022739562,1.3774481921194892,1.378942478012381,1.3607734022739562,1.3607734022739562,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,-0.00012347110941192377,-0.00012347110941192377,-0.00012347110941192377,-9.22957441289989e-05,-9.22957441289989e-05,-9.22957441289989e-05,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-7.75189179573125e-05,-7.75189179573125e-05,-7.75189179573125e-05,0.012802268604142478,0.012802268604142478,0.012802268604142478,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.00045221911391274145,-0.00045221911391274145,-0.00045221911391274145,0.01347025457159614,0.01347025457159614,0.01347025457159614,0.0,0.0,0.0,1.37819438887924
4,2025-08-11 16:00:00,1.3607556757946058,1.377317267770802,1.378763418719106,1.3607556757946058,1.3607556757946058,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,-0.0001479935774721447,-0.0001479935774721447,-0.0001479935774721447,-0.00010860276758405471,-0.00010860276758405471,-0.00010860276758405471,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-9.382594141236833e-05,-9.382594141236833e-05,-9.382594141236833e-05,0.01271968370225283,0.01271968370225283,0.01271968370225283,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0004830865633747117,-0.0004830865633747117,-0.0004830865633747117,0.01345936661068374,0.01345936661068374,0.01345936661068374,0.0,0.0,0.0,1.3780640575867584
5,2025-08-11 17:00:00,1.3607379493152552,1.377335981105685,1.3788194250865293,1.3607379493152552,1.3607379493152552,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,-8.240529704454687e-05,-8.240529704454687e-05,-8.240529704454687e-05,-0.00013158904710848044,-0.00013158904710848044,-0.00013158904710848044,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-0.00011681222093679405,-0.00011681222093679405,-0.00011681222093679405,0.01272811559914896,0.01272811559914896,0.01272811559914896,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0005077549915060333,-0.0005077549915060333,-0.0005077549915060333,0.013449864934808022,0.013449864934808022,0.013449864934808022,0.0,0.0,0.0,1.3780575792342886
6,2025-08-11 18:00:00,1.3607202228359045,1.3774220935701282,1.378893563440078,1.3607202228359045,1.3607202228359045,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,3.815926999398625e-05,3.815926999398625e-05,3.815926999398625e-05,-0.00015790014377873413,-0.00015790014377873413,-0.00015790014377873413,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-0.00014312331760704775,-0.00014312331760704775,-0.00014312331760704775,0.012795973299932189,0.012795973299932189,0.012795973299932189,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0005260257367001311,-0.0005260257367001311,-0.0005260257367001311,0.01344173991041707,0.01344173991041707,0.01344173991041707,0.0,0.0,0.0,1.3781319624759905
7,2025-08-11 19:00:00,1.3607024963565542,1.3774951736101826,1.3789164517301429,1.3607024963565542,1.3607024963565542,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,0.00012477661140479382,0.00012477661140479382,0.00012477661140479382,-0.0001498407347186794,-0.0001498407347186794,-0.0001498407347186794,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-0.00013506390854699303,-0.00013506390854699303,-0.00013506390854699303,0.01287215277336805,0.01287215277336805,0.01287215277336805,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0005377649255731063,-0.0005377649255731063,-0.0005377649255731063,0.01343498182225504,0.01343498182225504,0.01343498182225504,0.0,0.0,0.0,1.378217666768759
8,2025-08-11 20:00:00,1.3606847698772038,1.3774170382859812,1.378845387067701,1.3606847698772038,1.3606847698772038,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,0.00011153384241845374,0.00011153384241845374,0.00011153384241845374,-0.0001846739362965878,-0.0001846739362965878,-0.0001846739362965878,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-0.00016989711012490143,-0.00016989711012490143,-0.00016989711012490143,0.012813536790170514,0.012813536790170514,0.012813536790170514,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0005429039900404545,-0.0005429039900404545,-0.0005429039900404545,0.013429580874089103,0.013429580874089103,0.013429580874089103,0.0,0.0,0.0,1.37811995423585
9,2025-08-11 21:00:00,1.3606670433978534,1.37721224935024,1.378696913327951,1.3606670433978534,1.3606670433978534,-1.972532031543436e-05,-1.972532031543436e-05,-1.972532031543436e-05,1.594750445704521e-05,1.594750445704521e-05,1.594750445704521e-05,-0.00018292234058848883,-0.00018292234058848883,-0.00018292234058848883,1.7468756444590092e-06,1.7468756444590092e-06,1.7468756444590092e-06,-0.00016814551441680245,-0.00016814551441680245,-0.00016814551441680245,0.012717112872968436,0.012717112872968436,0.012717112872968436,3.2016184992889596e-06,3.2016184992889596e-06,3.2016184992889596e-06,0.0,0.0,0.0,-0.0005414394801865178,-0.0005414394801865178,-0.0005414394801865178,0.013425527189286399,0.013425527189286399,0.013425527189286399,0.0,0.0,0.0,1.377970799771272
