ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr_14,atr_14_lower,atr_14_upper,bbands_upper,bbands_upper_lower,bbands_upper_upper,carry_trade_proxy,carry_trade_proxy_lower,carry_trade_proxy_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_5,ma_5_lower,ma_5_upper,macd,macd_lower,macd_upper,market_session,market_session_lower,market_session_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-11 12:00:00,0.6519579356144071,0.65075278179947,0.6512635718756489,0.6519579356144071,0.6519579356144071,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.00028897996439419463,0.00028897996439419463,0.00028897996439419463,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-7.061289251084733e-05,-7.061289251084733e-05,-7.061289251084733e-05,-0.00020431734637594667,-0.00020431734637594667,-0.00020431734637594667,-1.298824183867629e-06,-1.298824183867629e-06,-1.298824183867629e-06,0.00014920186479666468,0.00014920186479666468,0.00014920186479666468,-0.001480069476393929,-0.001480069476393929,-0.001480069476393929,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.0017690494407881236,-0.0017690494407881236,-0.0017690494407881236,0.0,0.0,0.0,0.6509929925740114
2025-08-11 13:00:00,0.6519700810468181,0.6508108032718091,0.6512768954931498,0.6519700810468181,0.6519700810468181,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.00030300733376891945,0.00030300733376891945,0.00030300733376891945,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-7.061289251084733e-05,-7.061289251084733e-05,-7.061289251084733e-05,-0.00019028997700122185,-0.00019028997700122185,-0.00019028997700122185,-1.298824183867629e-06,-1.298824183867629e-06,-1.298824183867629e-06,0.00014920186479666468,0.00014920186479666468,0.00014920186479666468,-0.001403532892170883,-0.001403532892170883,-0.001403532892170883,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.0017065402259398028,-0.0017065402259398028,-0.0017065402259398028,0.0,0.0,0.0,0.6510550195933575
2025-08-11 14:00:00,0.6519822264792291,0.6509324533062574,0.6513350092030983,0.6519822264792291,0.6519822264792291,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.00028143617766002784,0.00028143617766002784,0.00028143617766002784,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-7.061289251084733e-05,-7.061289251084733e-05,-7.061289251084733e-05,-0.00021186113311011333,-0.00021186113311011333,-0.00021186113311011333,-1.298824183867629e-06,-1.298824183867629e-06,-1.298824183867629e-06,0.00014920186479666468,0.00014920186479666468,0.00014920186479666468,-0.0013568246816932092,-0.0013568246816932092,-0.0013568246816932092,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.0016382608593532371,-0.0016382608593532371,-0.0016382608593532371,0.0,0.0,0.0,0.6510976009023168
2025-08-11 15:00:00,0.65199437191164,0.6508801692134063,0.6514545989250894,0.65199437191164,0.65199437191164,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.0003091853478297619,0.0003091853478297619,0.0003091853478297619,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-7.061289251084733e-05,-7.061289251084733e-05,-7.061289251084733e-05,-0.00018411196294037928,-0.00018411196294037928,-0.00018411196294037928,-1.298824183867629e-06,-1.298824183867629e-06,-1.298824183867629e-06,0.00014920186479666468,0.00014920186479666468,0.00014920186479666468,-0.0012556736783032802,-0.0012556736783032802,-0.0012556736783032802,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.0015648590261330422,-0.0015648590261330422,-0.0015648590261330422,0.0,0.0,0.0,0.6511756797404287
2025-08-11 16:00:00,0.652006517344051,0.6510295123686642,0.6515072371298486,0.652006517344051,0.652006517344051,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.00032771473544714584,0.00032771473544714584,0.00032771473544714584,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-7.061289251084733e-05,-7.061289251084733e-05,-7.061289251084733e-05,-0.00016558257532299533,-0.00016558257532299533,-0.00016558257532299533,-1.298824183867629e-06,-1.298824183867629e-06,-1.298824183867629e-06,0.00014920186479666468,0.00014920186479666468,0.00014920186479666468,-0.0011592903256281723,-0.0011592903256281723,-0.0011592903256281723,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.0014870050610753182,-0.0014870050610753182,-0.0014870050610753182,0.0,0.0,0.0,0.6512506524962475
2025-08-11 17:00:00,0.652018662776462,0.6510994438864421,0.6516219924350212,0.652018662776462,0.652018662776462,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.0003634889742131993,0.0003634889742131993,0.0003634889742131993,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-5.976959872441397e-05,-5.976959872441397e-05,-5.976959872441397e-05,-0.00014327315415566696,-0.00014327315415566696,-0.00014327315415566696,1.322699628424019e-06,1.322699628424019e-06,1.322699628424019e-06,0.00014920186479666468,0.00014920186479666468,0.00014920186479666468,-0.0010418951339048492,-0.0010418951339048492,-0.0010418951339048492,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.0014053841081180486,-0.0014053841081180486,-0.0014053841081180486,0.0,0.0,0.0,0.6513393277045001
2025-08-11 18:00:00,0.652030808208873,0.6511072844661256,0.6516088868772257,0.652030808208873,0.652030808208873,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.00033178627446228025,0.00033178627446228025,0.00033178627446228025,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-5.276195681230929e-05,-5.276195681230929e-05,-5.276195681230929e-05,-0.00012118701964972529,-0.00012118701964972529,-0.00012118701964972529,1.322699628424019e-06,1.322699628424019e-06,1.322699628424019e-06,8.840538862769923e-05,8.840538862769923e-05,8.840538862769923e-05,-0.000988901987922574,-0.000988901987922574,-0.000988901987922574,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.0013206882623848543,-0.0013206882623848543,-0.0013206882623848543,0.0,0.0,0.0,0.6513860136464485
2025-08-11 19:00:00,0.6520429536412841,0.6512225438821352,0.6517503481992761,0.6520429536412841,0.6520429536412841,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.0003433583841460752,0.0003433583841460752,0.0003433583841460752,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-4.440173375560944e-05,-4.440173375560944e-05,-4.440173375560944e-05,-0.00013948023537078765,-0.00013948023537078765,-0.00013948023537078765,1.322699628424019e-06,1.322699628424019e-06,1.322699628424019e-06,0.00010991049097585677,0.00010991049097585677,0.00010991049097585677,-0.0008902504064371452,-0.0008902504064371452,-0.0008902504064371452,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.0012336087905832204,-0.0012336087905832204,-0.0012336087905832204,0.0,0.0,0.0,0.6514624721367904
2025-08-11 20:00:00,0.6520550990736951,0.6512018739905034,0.6516912587039659,0.6520550990736951,0.6520550990736951,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.0002409961787397714,0.0002409961787397714,0.0002409961787397714,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-4.266593580248154e-05,-4.266593580248154e-05,-4.266593580248154e-05,-0.00013864515827846706,-0.00013864515827846706,-0.00013864515827846706,1.322699628424019e-06,1.322699628424019e-06,1.322699628424019e-06,4.9774105241044185e-06,4.9774105241044185e-06,4.9774105241044185e-06,-0.0009038323450594256,-0.0009038323450594256,-0.0009038323450594256,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.001144828523799197,-0.001144828523799197,-0.001144828523799197,0.0,0.0,0.0,0.6514657505843914
2025-08-11 21:00:00,0.652067244506106,0.6513015281665994,0.6518161255380046,0.652067244506106,0.652067244506106,5.490069737820838e-05,5.490069737820838e-05,5.490069737820838e-05,0.00012330465626052145,0.00012330465626052145,0.00012330465626052145,-0.0005432443118971949,-0.0005432443118971949,-0.0005432443118971949,0.0002474037457338052,0.0002474037457338052,0.0002474037457338052,-0.00037018050387176377,-0.00037018050387176377,-0.00037018050387176377,-4.09292669020729e-05,-4.09292669020729e-05,-4.09292669020729e-05,-0.00013398553280520844,-0.00013398553280520844,-0.00013398553280520844,1.322699628424019e-06,1.322699628424019e-06,1.322699628424019e-06,4.988683144470995e-06,4.988683144470995e-06,4.988683144470995e-06,-0.0008076107678636427,-0.0008076107678636427,-0.0008076107678636427,0.0011649105775281732,0.0011649105775281732,0.0011649105775281732,-1.368395272975285e-05,-1.368395272975285e-05,-1.368395272975285e-05,-0.001055014513597448,-0.001055014513597448,-0.001055014513597448,0.0,0.0,0.0,0.6515406279780717
