Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,PairCode,BaseCurrency,QuoteCurrency,Category,IsCommodityLinked,IsSafeHaven
2025-08-11 00:00:00+01:00,0.595450758934021,0.595450758934021,0.5950255990028381,0.5950255990028381,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 01:00:00+01:00,0.5949193835258484,0.5950964093208313,0.5946363806724548,0.5948132276535034,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 02:00:00+01:00,0.5948486328125,0.5956280827522278,0.5948132276535034,0.5955571532249451,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 03:00:00+01:00,0.5956280827522278,0.595770001411438,0.5953089594841003,0.5953089594841003,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 04:00:00+01:00,0.5953089594841003,0.5959120392799377,0.5950964093208313,0.5959120392799377,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 05:00:00+01:00,0.5959120392799377,0.5960540771484375,0.5953444242477417,0.5953798294067383,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 06:00:00+01:00,0.5953089594841003,0.595450758934021,0.5951672196388245,0.595450758934021,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 07:00:00+01:00,0.5954862236976624,0.5958055257797241,0.5949193835258484,0.5949193835258484,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 08:00:00+01:00,0.5948839783668518,0.5948839783668518,0.5942124128341675,0.5942829847335815,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 09:00:00+01:00,0.5943183302879333,0.5948132276535034,0.5942829847335815,0.5946717262268066,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 10:00:00+01:00,0.594742476940155,0.5948486328125,0.5940358638763428,0.5942476391792297,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 11:00:00+01:00,0.5942829847335815,0.5945302844047546,0.5942124128341675,0.5943536162376404,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 12:00:00+01:00,0.5942829847335815,0.5943536162376404,0.5930494666099548,0.5935069918632507,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 13:00:00+01:00,0.59357750415802,0.59357750415802,0.5927330851554871,0.5930846333503723,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 14:00:00+01:00,0.593155026435852,0.5936127305030823,0.5930494666099548,0.5935422778129578,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 15:00:00+01:00,0.5935422778129578,0.59357750415802,0.5928033590316772,0.5930846333503723,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 16:00:00+01:00,0.593155026435852,0.5936832427978516,0.5928736925125122,0.5935069918632507,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 17:00:00+01:00,0.5936479568481445,0.5940358638763428,0.5935069918632507,0.5936127305030823,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 18:00:00+01:00,0.5936127305030823,0.5938242077827454,0.593155026435852,0.5937889814376831,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 19:00:00+01:00,0.5937889814376831,0.5940711498260498,0.5936479568481445,0.5940711498260498,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 20:00:00+01:00,0.5940005779266357,0.5940005779266357,0.5935422778129578,0.5936832427978516,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 21:00:00+01:00,0.5937184691429138,0.5941770672798157,0.5937184691429138,0.5940711498260498,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
2025-08-11 22:00:00+01:00,0.5937184691429138,0.5941770672798157,0.5937184691429138,0.5940005779266357,0,0.0,0.0,NZDUSD=X,NZDUSD,NZD,USD,major,True,False
