,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,adx,adx_lower,adx_upper,atr,atr_lower,atr_upper,cci,cci_lower,cci_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,momentum_10,momentum_10_lower,momentum_10_upper,momentum_20,momentum_20_lower,momentum_20_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volatility_20,volatility_20_lower,volatility_20_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,williams_r,williams_r_lower,williams_r_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2025-08-11 13:00:00,140.78199199169921,147.80407094884094,148.01831361457852,140.78199199169921,140.78199199169921,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,-3.968022001261472e-05,-3.968022001261472e-05,-3.968022001261472e-05,-0.00015317112780719946,-0.00015317112780719946,-0.00015317112780719946,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,-6.414825239098864e-05,-6.414825239098864e-05,-6.414825239098864e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,-5.025324517488241e-06,-5.025324517488241e-06,-5.025324517488241e-06,0.0505845338409668,0.0505845338409668,0.0505845338409668,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.0006665656263030345,0.0006665656263030345,0.0006665656263030345,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.050110819562483574,0.050110819562483574,0.050110819562483574,0.0,0.0,0.0,147.90338342980203
1,2025-08-11 14:00:00,140.78678711262435,147.80788696202,148.01967385777272,140.78678711262435,140.78678711262435,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,-0.00011211006553782244,-0.00011211006553782244,-0.00011211006553782244,-0.00013341768146537508,-0.00013341768146537508,-0.00013341768146537508,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,-4.4394806049164246e-05,-4.4394806049164246e-05,-4.4394806049164246e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,-5.025324517488241e-06,-5.025324517488241e-06,-5.025324517488241e-06,0.050634668270390364,0.050634668270390364,0.050634668270390364,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.0005915652132272481,0.0005915652132272481,0.0005915652132272481,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.050288630804166304,0.050288630804166304,0.050288630804166304,0.0,0.0,0.0,147.91547937492618
2,2025-08-11 15:00:00,140.79158223354946,147.8331015511421,148.05323280823185,140.79158223354946,140.79158223354946,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,-0.000137735289006969,-0.000137735289006969,-0.000137735289006969,-7.406524641790095e-05,-7.406524641790095e-05,-7.406524641790095e-05,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,1.4957628998309891e-05,1.4957628998309891e-05,1.4957628998309891e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,-5.025324517488241e-06,-5.025324517488241e-06,-5.025324517488241e-06,0.05077425753452905,0.05077425753452905,0.05077425753452905,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.0005191192605537742,0.0005191192605537742,0.0005191192605537742,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.05046693880940014,0.05046693880940014,0.05046693880940014,0.0,0.0,0.0,147.94017028856953
3,2025-08-11 16:00:00,140.79637735447463,147.8581893023342,148.07389268730114,140.79637735447463,140.79637735447463,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,-8.401851266716308e-05,-8.401851266716308e-05,-8.401851266716308e-05,-6.863419211083045e-05,-6.863419211083045e-05,-6.863419211083045e-05,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,2.0388683305380396e-05,2.0388683305380396e-05,2.0388683305380396e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,-5.025324517488241e-06,-5.025324517488241e-06,-5.025324517488241e-06,0.050943419186535714,0.050943419186535714,0.050943419186535714,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.0004503350818642993,0.0004503350818642993,0.0004503350818642993,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.0506457368094494,0.0506457368094494,0.0506457368094494,0.0,0.0,0.0,147.9690262259893
4,2025-08-11 17:00:00,140.80117247539974,147.892725107217,148.11890835856752,140.80117247539974,140.80117247539974,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,2.465583213299145e-05,2.465583213299145e-05,2.465583213299145e-05,-7.092134197340635e-05,-7.092134197340635e-05,-7.092134197340635e-05,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,1.81015334428045e-05,1.81015334428045e-05,1.81015334428045e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,-5.025324517488241e-06,-5.025324517488241e-06,-5.025324517488241e-06,0.05116501787213759,0.05116501787213759,0.05116501787213759,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.0003862653928182599,0.0003862653928182599,0.0003862653928182599,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.05082501798915974,0.05082501798915974,0.05082501798915974,0.0,0.0,0.0,148.00526698152152
5,2025-08-11 18:00:00,140.80596759632488,147.97952411284137,148.18866770153468,140.80596759632488,140.80596759632488,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,0.00012007969999716108,0.00012007969999716108,0.00012007969999716108,0.00023943970851973825,0.00023943970851973825,0.00023943970851973825,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,1.703891350328868e-05,1.703891350328868e-05,1.703891350328868e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,0.0003063983459151722,0.0003063983459151722,0.0003063983459151722,0.0516921904611539,0.0516921904611539,0.0516921904611539,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.00032789556546818674,0.00032789556546818674,0.00032789556546818674,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.05100477548716881,0.05100477548716881,0.05100477548716881,0.0,0.0,0.0,148.08453649138116
6,2025-08-11 19:00:00,140.81076271725,148.02497367747628,148.23801777979105,140.81076271725,140.81076271725,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,0.00014420363602724376,0.00014420363602724376,0.00014420363602724376,0.0004107714700239348,0.0004107714700239348,0.0004107714700239348,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,8.53821267894899e-05,8.53821267894899e-05,8.53821267894899e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,0.0004093868941331675,0.0004093868941331675,0.0004093868941331675,0.05201610920696473,0.05201610920696473,0.05201610920696473,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.00027613170463043017,0.00027613170463043017,0.00027613170463043017,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.05118500239628311,0.05118500239628311,0.05118500239628311,0.0,0.0,0.0,148.13519072826645
7,2025-08-11 20:00:00,140.81555783817515,148.03204522065852,148.25269308831466,140.81555783817515,140.81555783817515,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,9.645258663205289e-05,9.645258663205289e-05,9.645258663205289e-05,0.00039048874058989055,0.00039048874058989055,0.00039048874058989055,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,0.00017688607751025466,0.00017688607751025466,0.00017688607751025466,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,0.0002976002139783585,0.0002976002139783585,0.0002976002139783585,0.05208442278257992,0.05208442278257992,0.05208442278257992,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.00023178969155089786,0.00023178969155089786,0.00023178969155089786,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.05136569176380708,0.05136569176380708,0.05136569176380708,0.0,0.0,0.0,148.1498548869835
8,2025-08-11 21:00:00,140.80083082032706,148.0335792979192,148.25218759436424,140.80083082032706,140.80083082032706,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,3.0815101553569064e-05,3.0815101553569064e-05,3.0815101553569064e-05,0.0003352700867599685,0.0003352700867599685,0.0003352700867599685,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,0.0001880462409262302,0.0001880462409262302,0.0001880462409262302,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,0.00023122139673246086,0.00023122139673246086,0.00023122139673246086,0.05210850710840132,0.05210850710840132,0.05210850710840132,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.0001955853282379202,0.0001955853282379202,0.0001955853282379202,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.05154683659184986,0.05154683659184986,0.05154683659184986,0.0,0.0,0.0,148.13775191399688
9,2025-08-11 22:00:00,140.78610380247898,148.01858666194732,148.2376446287653,140.78610380247898,140.78610380247898,2.967689137132613e-06,2.967689137132613e-06,2.967689137132613e-06,4.759039897831158e-06,4.759039897831158e-06,4.759039897831158e-06,-5.085789011903973e-06,-5.085789011903973e-06,-5.085789011903973e-06,5.143365542230445e-06,5.143365542230445e-06,5.143365542230445e-06,0.0002639102797735855,0.0002639102797735855,0.0002639102797735855,-1.875059214198013e-05,-1.875059214198013e-05,-1.875059214198013e-05,0.00016989179559810923,0.00016989179559810923,0.00016989179559810923,-1.1256865556165465e-05,-1.1256865556165465e-05,-1.1256865556165465e-05,-2.975610633004796e-05,-2.975610633004796e-05,-2.975610633004796e-05,0.00017801603507419883,0.00017801603507419883,0.00017801603507419883,0.05216560918527423,0.05216560918527423,0.05216560918527423,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.2197841254071785e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,-1.0577560095953492e-05,0.0,0.0,0.0,0.000168125702295014,0.000168125702295014,0.000168125702295014,-4.099525543563562e-06,-4.099525543563562e-06,-4.099525543563562e-06,0.05172842983766339,0.05172842983766339,0.05172842983766339,0.0,0.0,0.0,148.13029667215653
