,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr,atr_lower,atr_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,macd,macd_lower,macd_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi,rsi_lower,rsi_upper,volume,volume_lower,volume_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2024-09-10 23:00:00,0.6094901828269959,0.6108642855773928,0.6176291608590656,0.6094901828269959,0.6094901828269959,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.0004525417640614312,0.0004525417640614312,0.0004525417640614312,0.003074485519314435,0.003074485519314435,0.003074485519314435,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.003140249418995927,0.003140249418995927,0.003140249418995927,0.008254817462423097,0.008254817462423097,0.008254817462423097,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.018822353751504615,0.018822353751504615,0.018822353751504615,-0.014094563572457385,-0.014094563572457385,-0.014094563572457385,0.0,0.0,0.0,0.6145214130313715
1,2024-09-11 23:00:00,0.6094960592540394,0.610103008636749,0.6169189011891841,0.6094960592540394,0.6094960592540394,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.0004525417641181725,0.0004525417641181725,0.0004525417641181725,0.0028661600575540886,0.0028661600575540886,0.0028661600575540886,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.0029319239572355806,0.0029319239572355806,0.0029319239572355806,0.006872437938035767,0.006872437938035767,0.006872437938035767,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.017078146562642612,0.017078146562642612,0.017078146562642612,-0.013524410446279105,-0.013524410446279105,-0.013524410446279105,0.0,0.0,0.0,0.6136847830947402
2,2024-09-12 23:00:00,0.6095019356810828,0.6127815087533232,0.6196900742411762,0.6095019356810828,0.6095019356810828,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.0004525417640860648,0.0004525417640860648,0.0004525417640860648,0.0036902517887269335,0.0036902517887269335,0.0036902517887269335,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.0037560156884084255,0.0037560156884084255,0.0037560156884084255,0.010888740342163389,0.010888740342163389,0.010888740342163389,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.019185949703276098,0.019185949703276098,0.019185949703276098,-0.012440002913925705,-0.012440002913925705,-0.012440002913925705,0.0,0.0,0.0,0.6161386439967601
3,2024-09-15 23:00:00,0.6095195649622134,0.6148983601446183,0.6218186127496824,0.6095195649622134,0.6095195649622134,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.0004525417641118704,0.0004525417641118704,0.0004525417641118704,0.0036210185270330653,0.0036210185270330653,0.0036210185270330653,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.0036867824267145573,0.0036867824267145573,0.0036867824267145573,0.01444125785420717,0.01444125785420717,0.01444125785420717,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.01788276214474272,0.01788276214474272,0.01788276214474272,-0.007515064581680483,-0.007515064581680483,-0.007515064581680483,0.0,0.0,0.0,0.6183217941670169
4,2024-09-16 23:00:00,0.6095254413892569,0.6169542887087724,0.623785839691788,0.6095254413892569,0.6095254413892569,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.0004525417640797627,0.0004525417640797627,0.0004525417640797627,0.004232059285323026,0.004232059285323026,0.004232059285323026,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.004297823185004519,0.004297823185004519,0.004297823185004519,0.017720019371439567,0.017720019371439567,0.017720019371439567,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.01876473795759086,0.01876473795759086,0.01876473795759086,-0.005729319635554082,-0.005729319635554082,-0.005729319635554082,0.0,0.0,0.0,0.6203262440180598
5,2024-09-17 23:00:00,0.6095313178163004,0.6180233992525592,0.6251510747608501,0.6095313178163004,0.6095313178163004,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.000452541764047655,0.000452541764047655,0.000452541764047655,0.004530825254540567,0.004530825254540567,0.004530825254540567,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.0045965891542220595,0.0045965891542220595,0.0045965891542220595,0.019763489251885712,0.019763489251885712,0.019763489251885712,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.018822353751499318,0.018822353751499318,0.018822353751499318,-0.004042231518201829,-0.004042231518201829,-0.004042231518201829,0.0,0.0,0.0,0.6215777834646505
6,2024-09-18 23:00:00,0.6095371942433438,0.6182418267645329,0.6252370969073038,0.6095371942433438,0.6095371942433438,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.0004525417641043965,0.0004525417641043965,0.0004525417641043965,0.005047737382877042,0.005047737382877042,0.005047737382877042,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.005113501282558534,0.005113501282558534,0.005113501282558534,0.02004649395816738,0.02004649395816738,0.02004649395816738,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.017078146562662377,0.017078146562662377,0.017078146562662377,-0.0025319317514764343,-0.0025319317514764343,-0.0025319317514764343,0.0,0.0,0.0,0.6217562779250214
7,2024-09-19 23:00:00,0.6095430706703874,0.6210305485956604,0.6279999863237379,0.6095430706703874,0.6095430706703874,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.0004525417641055681,0.0004525417641055681,0.0004525417641055681,0.006055696871490278,0.006055696871490278,0.006055696871490278,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.00612146077117177,0.00612146077117177,0.00612146077117177,0.024434783221699344,0.024434783221699344,0.024434783221699344,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.019185949703211247,0.019185949703211247,0.019185949703211247,-0.0012594051171077487,-0.0012594051171077487,-0.0012594051171077487,0.0,0.0,0.0,0.6244371234665073
8,2024-09-22 23:00:00,0.6095606999682522,0.6218897443745796,0.6285281532018563,0.6095606999682522,0.6095606999682522,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.00045254176409809436,0.00045254176409809436,0.00045254176409809436,0.0066873295102754735,0.0066873295102754735,0.0066873295102754735,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.006753093409956966,0.006753093409956966,0.006753093409956966,0.02579937255212351,0.02579937255212351,0.02579937255212351,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.01788276214462413,0.01788276214462413,0.01788276214462413,0.0007767391331258127,0.0007767391331258127,0.0007767391331258127,0.0,0.0,0.0,0.6252869835598663
9,2024-09-23 23:00:00,0.6095665764008739,0.62337465987018,0.6298561377482507,0.6095665764008739,0.6095665764008739,-5.391073994876089e-05,-5.391073994876089e-05,-5.391073994876089e-05,0.00045254176406598685,0.00045254176406598685,0.00045254176406598685,0.00791031650621219,0.00791031650621219,0.00791031650621219,0.0002584899920056639,0.0002584899920056639,0.0002584899920056639,3.0055851338522288e-05,3.0055851338522288e-05,3.0055851338522288e-05,0.007976080405893683,0.007976080405893683,0.007976080405893683,0.02795125341367086,0.02795125341367086,0.02795125341367086,-0.00030039900307691754,-0.00030039900307691754,-0.00030039900307691754,0.0,0.0,0.0,0.018764737957627918,0.018764737957627918,0.018764737957627918,0.0008236571857647701,0.0008236571857647701,0.0008236571857647701,0.0,0.0,0.0,0.6266047262503583
